timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
2518586951,3.9099,3.7206,-30.8125,16.5938,-41.8125,32.2188,18.0938,-40.25,-0.0808,-0.2003,0.9764,-0.1817,-0.2108,0.9605,0.5669,-0.3169,9.7344,0.5552,-0.2168,8.5002
2523586951,3.8584,3.7886,-30.75,16.5,-41.6875,32.2812,17.9375,-40.5938,-0.0761,-0.1917,0.9785,-0.1717,-0.2022,0.9642,0.5479,-0.333,9.6966,0.5557,-0.2236,8.5807
2528586951,3.8327,3.7923,-30.6562,16.3125,-41.5938,32.3438,17.8125,-40.4375,-0.0687,-0.1782,0.9816,-0.1722,-0.1888,0.9668,0.519,-0.3479,9.5358,0.5488,-0.2482,8.7726
2533712951,3.8584,3.8364,-30.6875,16.375,-41.8125,32.3125,17.8438,-40.375,-0.0753,-0.1821,0.9804,-0.1748,-0.1946,0.9652,0.5205,-0.3506,9.5821,0.5464,-0.2388,8.6417
2538712951,3.8143,3.818,-30.4688,16.3125,-41.4062,32.5312,17.6875,-40.6562,-0.0783,-0.1754,0.9814,-0.1836,-0.1869,0.9651,0.4888,-0.3481,9.1977,0.5459,-0.2617,8.8884
2543712951,3.8841,3.9135,-30.6562,16.3125,-41.5938,32.375,17.6875,-40.8125,-0.06,-0.1792,0.982,-0.1617,-0.1917,0.968,0.4951,-0.344,9.2231,0.543,-0.2494,8.7197
2548712951,3.9025,3.8107,-30.6562,16.5938,-41.4688,32.375,18.0625,-40.6875,-0.055,-0.2003,0.9782,-0.1695,-0.2127,0.9623,0.5122,-0.3201,9.1509,0.5796,-0.2134,8.7399
2553712951,3.8584,3.8254,-30.5625,16.1875,-41.75,32.4688,17.5312,-40.6562,-0.072,-0.1358,0.9881,-0.1658,-0.1474,0.9751,0.4741,-0.3767,9.3499,0.4829,-0.2815,8.3959
2558712951,3.8952,3.8952,-30.4688,16.375,-41.625,32.5625,17.625,-41.0,-0.0578,-0.099,0.9934,-0.1494,-0.1096,0.9827,0.4663,-0.3772,9.2677,0.4993,-0.2832,8.5986
2563712951,3.9062,3.9981,-30.1875,16.2812,-41.9375,32.8438,17.3438,-41.25,-0.0658,-0.0337,0.9973,-0.1579,-0.0454,0.9864,0.4058,-0.3921,8.7569,0.4304,-0.3159,8.1879
2568712951,3.9944,3.8584,-30.3438,15.6562,-42.1875,32.6875,16.8438,-41.0,-0.0472,0.0678,0.9966,-0.1645,0.0581,0.9847,0.3162,-0.4524,8.4361,0.2988,-0.4031,7.6945
2573712951,4.0973,4.0348,-30.5938,15.4375,-42.0312,32.4688,16.5,-41.5,0.0043,0.1464,0.9892,-0.1249,0.1377,0.9826,0.2102,-0.5415,8.2731,0.2368,-0.4644,7.6965
2578712951,3.8915,3.965,-30.1875,15.3125,-41.875,32.8438,16.1875,-41.5,-0.0148,0.2079,0.978,-0.1416,0.1993,0.9696,0.1519,-0.5928,8.2164,0.162,-0.5269,7.5795
2583712951,3.8401,3.9209,-30.3438,15.1875,-41.4688,32.6875,15.9375,-40.9375,0.0173,0.279,0.9601,-0.1409,0.2714,0.9521,0.0237,-0.6567,7.5498,0.0543,-0.5962,7.1899
2588712951,3.9099,3.8143,-30.6562,15.3438,-41.5938,32.375,16.3125,-40.5938,0.0564,0.2958,0.9536,-0.1235,0.2893,0.9492,0.0195,-0.6807,7.78,0.0374,-0.5898,6.9336
2593712951,4.0422,3.8548,-30.6875,15.2812,-41.375,32.3438,16.0938,-41.125,0.0862,0.3531,0.9316,-0.0773,0.3485,0.9341,-0.0477,-0.7373,7.7049,0.0212,-0.6294,7.2087
2598712951,3.9356,3.9981,-30.625,14.6875,-40.9688,32.4062,15.5625,-41.375,0.1029,0.4223,0.9006,-0.0536,0.4206,0.9057,-0.1395,-0.8174,7.6423,-0.0728,-0.7378,7.437
2603712951,3.9135,4.0128,-30.8125,14.75,-40.6875,32.2188,15.375,-40.4375,0.1249,0.46,0.8791,-0.0758,0.4592,0.8851,-0.1467,-0.8223,7.6213,-0.1191,-0.7754,7.3711
