fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,125001000,355253000,230,688.031,368.381,-8.340205371136609,15.688150710087791,20.964000000000055,0.0,0.0,0.0,545.4921807692308,screen,0
2,470380000,600505000,130,651.181,458.436,-10.620075912131792,9.880915324851742,33.759999999999934,97.30275188811463,1.959203679817488,115127000.0,545.4921807692308,screen,0
3,665510000,795639000,130,702.724,789.917,-7.283754232204029,-11.444380483228215,34.55600000000004,335.4643560946528,1.4165385558298715,65005000.0,545.4921807692308,keyboard,1
5,1286140000,1441264000,155,671.775,716.963,-9.231301643725786,-6.736823786192885,57.581999999999994,79.24725053274727,-1.9720113971179254,490501000.0,545.4921807692308,keyboard,0
6,1466264000,1641515000,175,693.365,733.456,-7.842892871820819,-7.807846709504148,49.894000000000005,27.16886359419553,0.6523495884596714,25000000.0,545.4921807692308,keyboard,0
7,1676516000,1991769000,315,762.433,738.938,-3.3560021663293464,-8.184272901087269,51.410999999999945,69.28521449775556,0.07920500881301808,35001000.0,545.4921807692308,keyboard,0
8,2051899000,4068663000,2017,675.171,435.062,-9.085557428343336,11.39923041799562,56.37000000000006,316.1570496130048,-1.85043502089386,60130000.0,545.4921807692308,screen,1
9,4118789000,4268915000,150,783.509,737.233,-1.984523870076038,-8.077545453125477,41.482000000000085,321.0053511781384,1.2265408495804533,50126000.0,545.4921807692308,keyboard,1
10,4288915000,4529168000,240,759.36,747.43,-3.5591045407253143,-8.731531050503241,26.875,26.213603529465384,2.7420506063840473,20000000.0,545.4921807692308,keyboard,0
12,4869421000,4954547000,85,854.26,653.529,2.60409462399106,-2.6678698855293046,28.737999999999943,133.5043362629094,-0.780106927244453,340253000.0,545.4921807692308,keyboard,0
13,5009547000,5144674000,135,718.654,400.135,-6.276846303822792,13.673436527451852,42.63299999999998,287.3978191844886,-2.062173697867964,55000000.0,545.4921807692308,screen,1
14,5174802000,5760308000,586,719.11,413.138,-6.233229353489419,12.837756027669563,56.30700000000007,13.010993236490428,1.535741862075869,30128000.0,545.4921807692308,screen,0
15,5795305000,5895430000,100,673.49,431.818,-9.19972694175458,11.606163181197571,15.954999999999927,49.29631629239655,2.7529496369375375,34997000.0,545.4921807692308,screen,0
18,6756189000,6896315000,140,635.787,697.322,-11.546181532925786,-5.458268521134648,75.37400000000002,268.16765320411037,1.711858567691099,860759000.0,545.4921807692308,keyboard,1
19,6951440000,7531946000,581,887.659,686.358,4.770376944913427,-4.784867555584664,58.024,252.11051878095046,-0.043502583704068384,55125000.0,545.4921807692308,keyboard,0
20,7591947000,7752198000,160,671.554,399.01,-9.37543443521966,13.708972421858322,39.28199999999998,359.54171403190475,-2.2156191184967406,60001000.0,545.4921807692308,screen,1
21,7772198000,8092455000,320,671.428,412.805,-9.36191911985224,12.824286782465094,35.90700000000004,13.795575413878192,1.579929816922735,20000000.0,545.4921807692308,screen,0
22,8152581000,8642956000,490,676.533,658.494,-8.892142572055281,-2.9764251090134906,96.80799999999999,245.74203089011863,1.550021015256971,60126000.0,545.4921807692308,keyboard,1
23,8682957000,8853209000,170,790.349,718.668,-1.5367699298120232,-6.879308177540779,29.72699999999986,128.74390133905374,0.4863395570464311,40001000.0,545.4921807692308,keyboard,0
25,9408714000,9583840000,175,718.404,676.212,-6.190333811050072,-4.1269478482464645,25.85900000000015,83.53798513849857,-2.608471424657598,555505000.0,545.4921807692308,keyboard,0
