timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.5663,3.5975,-30.75,14.875,-39.375,32.2188,18.4062,-40.1875,-0.1177,-0.1096,0.987,-0.1931,-0.1223,0.9735,0.4355,-0.4004,9.1813,0.5044,-0.2937,8.772,63.07296808562286
5008000,3.4505,3.6251,-30.875,15.0625,-39.1875,32.125,18.5,-39.75,-0.1012,-0.1145,0.9883,-0.2016,-0.1252,0.9714,0.4531,-0.3845,9.2014,0.5127,-0.2883,8.8063,63.09621868622556
10000000,3.5038,3.5148,-30.875,14.8125,-39.2188,32.0625,18.4062,-39.75,-0.0985,-0.099,0.9902,-0.1981,-0.1096,0.974,0.4331,-0.4041,9.1948,0.4961,-0.2927,8.6678,63.04225376190163
15000000,3.5167,3.4928,-30.8125,15.0,-39.125,32.125,18.5625,-39.625,-0.1012,-0.1184,0.9878,-0.2034,-0.129,0.9706,0.4443,-0.3877,9.1384,0.5132,-0.2842,8.7661,63.04022773198079
20000000,3.4983,3.4818,-30.9062,15.0,-39.25,32.0625,18.5625,-39.75,-0.1012,-0.1126,0.9885,-0.1988,-0.1232,0.9723,0.4453,-0.3821,9.0869,0.5171,-0.2715,8.6704,63.07137691488905
25003000,3.4616,3.5663,-30.7812,14.9375,-39.2188,32.1562,18.375,-39.9688,-0.1061,-0.1048,0.9888,-0.1932,-0.1174,0.9741,0.4375,-0.3916,9.1054,0.5103,-0.3022,8.9322,63.03566629305983
30004000,3.4744,3.5259,-30.9062,14.75,-39.5625,32.0312,18.375,-39.9375,-0.1178,-0.099,0.9881,-0.1876,-0.1126,0.9758,0.4417,-0.4116,9.3746,0.4988,-0.3037,8.8192,63.04282329306009
35001000,3.4597,3.5277,-30.9062,15.0625,-39.0,32.0625,18.4688,-39.6562,-0.0829,-0.1145,0.99,-0.1911,-0.1261,0.9734,0.4507,-0.3879,9.2121,0.5112,-0.2864,8.7683,63.06417888009008
40002000,3.4707,3.5167,-30.9688,15.0625,-39.3438,31.9688,18.5625,-39.8125,-0.0983,-0.1155,0.9884,-0.1911,-0.1281,0.9732,0.4619,-0.3794,9.2429,0.52,-0.2783,8.7787,63.036585991390744
45000000,3.4781,3.5038,-31.0,14.9688,-39.4375,31.9531,18.4062,-40.0938,-0.1061,-0.1077,0.9885,-0.1741,-0.1203,0.9774,0.4617,-0.3918,9.3785,0.4944,-0.2905,8.6244,63.05029141931067
50000000,3.5755,3.5663,-30.7812,14.8125,-39.5938,32.1562,18.375,-40.0,-0.1255,-0.099,0.9871,-0.199,-0.1126,0.9735,0.4385,-0.4045,9.2603,0.5078,-0.2954,8.8293,63.03945370519957
55000000,3.4432,3.5093,-30.875,14.9375,-39.4375,32.0625,18.5,-39.75,-0.1061,-0.1116,0.9881,-0.1978,-0.1223,0.9726,0.4429,-0.3906,9.1546,0.5098,-0.2878,8.7679,63.03901941456577
60000000,3.4946,3.4322,-30.9062,14.9375,-39.4375,32.0312,18.4688,-39.7812,-0.109,-0.1126,0.9877,-0.1912,-0.1232,0.9738,0.45,-0.3906,9.2337,0.5044,-0.2876,8.7047,63.03732646726065
65002000,3.4395,3.4322,-30.9688,14.8438,-39.2812,31.9531,18.4062,-39.4688,-0.0936,-0.1009,0.9905,-0.201,-0.1116,0.9732,0.4487,-0.4019,9.345,0.4917,-0.2964,8.6588,63.02294333915229
70000000,3.4413,3.5277,-30.6875,15.0625,-39.2188,32.2188,18.625,-39.7812,-0.1137,-0.1203,0.9862,-0.2108,-0.1329,0.9684,0.4604,-0.3833,9.2698,0.5278,-0.2715,8.7916,63.00960466230526
75000000,3.412,3.4432,-30.7812,14.8438,-39.1562,32.1875,18.25,-39.875,-0.1043,-0.096,0.9899,-0.2059,-0.1048,0.973,0.4297,-0.4087,9.2083,0.4951,-0.3237,8.999,63.06485591492301
80000000,3.4652,3.5314,-30.7812,14.8125,-39.4062,32.1875,18.2812,-39.7812,-0.1149,-0.099,0.9884,-0.2019,-0.1096,0.9732,0.4387,-0.4033,9.2494,0.4956,-0.3149,8.9074,63.0652811329657
85000000,3.5112,3.3917,-30.9375,15.0,-39.375,32.0,18.3125,-40.0,-0.1013,-0.1096,0.9888,-0.1826,-0.1223,0.9756,0.4617,-0.386,9.3134,0.4961,-0.3147,8.9102,63.0277096799495
90000000,3.4322,3.513,-31.0,14.875,-39.5,31.9375,18.4688,-39.8125,-0.1071,-0.1067,0.9885,-0.1913,-0.1184,0.9744,0.4541,-0.4026,9.4132,0.5054,-0.2937,8.783,63.04079600496809
95000000,3.4542,3.4395,-30.875,14.9688,-39.4062,32.0625,18.5625,-39.8125,-0.1167,-0.1126,0.9868,-0.1959,-0.1252,0.9726,0.448,-0.3914,9.22,0.5215,-0.2854,8.8732,63.04132506245407
100000000,3.4634,3.4652,-30.9062,14.9688,-39.4062,32.0625,18.4688,-39.8125,-0.1109,-0.1096,0.9878,-0.1912,-0.1203,0.9741,0.4529,-0.3926,9.2882,0.5093,-0.2932,8.8216,63.06720430921288
105015000,3.491,3.4726,-30.9375,15.0625,-39.3125,32.0,18.5938,-39.6562,-0.103,-0.1232,0.987,-0.1975,-0.1368,0.9707,0.4717,-0.3799,9.3577,0.5176,-0.2668,8.6248,63.03742630874138
110126000,3.5259,3.4818,-30.8125,14.6562,-39.5312,32.125,18.1875,-39.7812,-0.1247,-0.0902,0.9881,-0.2021,-0.1019,0.974,0.4255,-0.4187,9.2735,0.4756,-0.3269,8.8147,63.03698506384962
115126000,3.4358,3.4726,-30.875,15.0625,-39.1562,32.125,18.5938,-40.0,-0.1031,-0.1203,0.9874,-0.19,-0.1329,0.9727,0.4636,-0.3845,9.319,0.5366,-0.2737,8.9151,63.10453294439315
120126000,3.4726,3.4505,-30.7812,14.7188,-39.4375,32.1562,18.4062,-39.5312,-0.1178,-0.1009,0.9879,-0.2085,-0.1126,0.9715,0.4236,-0.416,9.2218,0.5049,-0.29,8.7371,63.04539647912446
125126000,3.6196,3.524,-30.875,15.0,-39.3125,32.0625,18.4688,-39.8125,-0.106,-0.1145,0.9877,-0.193,-0.1261,0.9731,0.4543,-0.3845,9.2151,0.521,-0.2961,8.986,63.03500202022683
130132000,3.3752,3.4781,-31.0,14.9688,-39.4375,31.9375,18.5938,-39.9062,-0.1002,-0.1155,0.9882,-0.1777,-0.1281,0.9757,0.4597,-0.3896,9.3322,0.5254,-0.2788,8.8446,63.04355011371108
135126000,3.4211,3.445,-30.6875,15.0,-39.25,32.2188,18.5625,-39.4375,-0.1147,-0.1145,0.9868,-0.2195,-0.1261,0.9674,0.446,-0.384,9.1168,0.519,-0.2791,8.7757,63.00737371284412
