fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,125127000,260259000,135,654.497,466.378,-10.394260877089277,9.373939678224511,22.741999999999962,0.0,0.0,0.0,585.6709090909092,screen,0
2,325254000,725640000,400,671.964,744.718,-9.24300387770563,-8.52077151165657,44.63099999999997,278.88752515844084,1.5081243243313232,64995000.0,585.6709090909092,keyboard,1
3,1005887000,1411265000,405,797.002,759.954,-1.109744108798201,-9.54526177050047,54.803999999999974,125.96284031411793,0.12125320643615078,280247000.0,585.6709090909092,keyboard,0
4,1476390000,2066897000,591,698.152,440.299,-7.577533679180306,11.078613314835332,60.674999999999955,334.5902591603646,-1.8707081601208977,65125000.0,585.6709090909092,screen,1
5,2122022000,2727528000,606,737.42,735.685,-4.981366481101416,-7.968166875987798,60.37200000000007,297.9846721225774,1.4386333226090409,55125000.0,585.6709090909092,keyboard,1
6,2792653000,2932780000,140,703.029,426.959,-7.2728501171758735,11.939272474083944,19.062000000000012,310.63561282795627,-1.6817354609166995,65125000.0,585.6709090909092,screen,1
7,2957780000,3177908000,220,689.805,448.384,-8.114086833917142,10.553603670169196,26.387,25.177466135415646,2.1237835420820614,25000000.0,585.6709090909092,screen,0
8,3233033000,3388164000,155,823.013,752.277,0.5859421416958854,-9.04999851086053,31.649999999999864,331.80615834098086,1.1576823167003878,55125000.0,585.6709090909092,keyboard,1
9,3413164000,3608412000,195,844.285,740.649,1.9693739919383093,-8.297396139204483,37.71100000000001,24.242697209675292,-0.5002553334922446,25000000.0,585.6709090909092,keyboard,0
10,3653412000,3803548000,150,767.133,750.057,-3.053917831638035,-8.90265183139439,26.397000000000048,77.72349431156572,3.02025062102174,45000000.0,585.6709090909092,keyboard,0
11,3863539000,4889550000,1026,722.309,439.317,-5.99944027562334,11.155191255116756,70.67700000000002,313.9562685725514,-1.7140573420596035,59991000.0,585.6709090909092,screen,1
12,4924550000,5099802000,175,700.803,457.233,-7.387846586826351,9.991049437888009,24.20300000000003,27.990910881927345,2.4470099012327253,35000000.0,585.6709090909092,screen,0
13,5159802000,5390055000,230,647.968,747.406,-10.805123539701713,-8.677852654513982,33.551000000000045,294.9439050972235,1.7509042561274932,60000000.0,585.6709090909092,keyboard,1
14,5445065000,5645307000,200,899.752,721.133,5.566400525844552,-7.025348689699426,49.27899999999988,253.15104816097443,-0.10397110779051524,55010000.0,585.6709090909092,keyboard,0
