fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,0,635631000,636,642.983,386.956,-11.277103746369209,14.450652982218031,52.86100000000005,0.0,0.0,0.0,499.5980903846154,screen,0
5,1811642000,2036897000,225,644.576,340.243,-11.280776587461656,17.43843371113537,95.98199999999997,46.7401542359458,-1.5367076809961242,1176011000.0,499.5980903846154,screen,0
6,2066899000,2992778000,926,650.807,333.617,-10.883333066768971,17.870413860188314,57.84800000000007,9.095561390040727,-0.8161110663560366,30002000.0,499.5980903846154,screen,0
7,3057779000,3318037000,260,773.6,728.05,-2.626750045615605,-7.483434100202825,47.63099999999997,413.1047232095028,1.2689911858748344,65001000.0,499.5980903846154,keyboard,1
8,3363168000,3958663000,595,676.852,699.955,-8.890744998370094,-5.645098947866971,57.74700000000007,100.74474938675466,-2.858972203831365,45131000.0,499.5980903846154,keyboard,0
9,4033788000,4138789000,105,692.001,314.276,-8.178193692038578,19.158961020339564,35.84000000000003,385.976402441911,-1.5315377297106336,75125000.0,499.5980903846154,screen,1
10,4168922000,4299041000,130,679.064,330.172,-9.008759302196092,18.12657940137753,16.932000000000073,20.495091729484912,2.253927049913741,30133000.0,499.5980903846154,screen,0
11,4354041000,4529168000,175,715.036,688.155,-6.412501571854317,-4.89667768052474,25.033000000000015,359.7857877584938,1.4706472829918262,55000000.0,499.5980903846154,keyboard,1
12,4564180000,4889546000,325,797.73,683.19,-1.0546143828166232,-4.586962779757322,52.55200000000002,82.84291678230561,-0.05996864099992711,35012000.0,499.5980903846154,keyboard,0
13,4949547000,5384926000,435,711.812,322.516,-6.837485933228125,18.65074210987107,46.702,370.7662835264286,-1.8046529545701588,60001000.0,499.5980903846154,screen,1
14,5450052000,6465937000,1016,711.813,670.488,-6.615068413055402,-3.756414142872057,77.79499999999996,347.9720000014369,1.5707934530004535,65126000.0,499.5980903846154,keyboard,1
15,6501062000,6606063000,105,703.467,729.734,-7.184195532935787,-7.572666156572353,36.533000000000015,59.830963823090784,1.7107457064199347,35125000.0,499.5980903846154,keyboard,0
16,6656189000,6861315000,205,875.722,671.358,3.994614302621248,-3.818123113052294,26.057999999999993,181.87782272998544,-0.3267458096535464,50126000.0,499.5980903846154,keyboard,0
17,6901452000,7046567000,145,765.171,686.79,-3.164560772465371,-4.817359524556792,25.81000000000006,111.62289292524176,3.002897203677761,40137000.0,499.5980903846154,keyboard,0
18,7116568000,7276694000,160,728.007,323.221,-5.753974732543522,18.618915962914745,22.726,365.4635148096181,-1.6726624494301792,70001000.0,499.5980903846154,screen,1
19,7306820000,7592073000,285,716.55,291.282,-6.574734408398783,20.657311257511207,27.1160000000001,33.93173396689301,-1.9152139157916477,30126000.0,499.5980903846154,screen,0
20,7652073000,8157578000,506,634.801,641.683,-11.581257145499793,-1.887809029963647,63.21500000000003,359.81072774724214,1.7999978566345263,60000000.0,499.5980903846154,keyboard,1
21,8212584000,8502840000,290,903.476,636.896,5.783523640597397,-1.5896672341939448,42.557000000000016,268.717641761757,-0.017815180257054884,55006000.0,499.5980903846154,keyboard,0
22,8547957000,9048345000,500,723.93,636.343,-5.8247595843251405,-1.5543293881684537,25.664999999999964,179.5468516153932,-3.138512672685953,45117000.0,499.5980903846154,keyboard,0
23,9113466000,9498841000,385,759.628,312.441,-3.650173096059964,19.3304544051384,44.46500000000003,325.8632424929206,-1.4610269953814972,65121000.0,499.5980903846154,screen,1
24,9533841000,9814094000,280,689.689,342.611,-8.276285528012023,17.341488627784226,25.17599999999993,76.16884284929115,2.7343339690572948,35000000.0,499.5980903846154,screen,0
27,10419725000,10674852000,255,620.121,592.199,-12.52596994525309,1.287032947125932,51.918000000000006,259.10205782278143,1.8426282233361782,605631000.0,499.5980903846154,keyboard,1
28,10729988000,10975238000,245,939.135,588.604,8.085436472954703,1.5248829295076514,42.73700000000008,319.0342555604335,-0.01126862091371333,55136000.0,499.5980903846154,keyboard,0
29,11020231000,11870989000,851,680.751,561.73,-8.6212678066151,3.2555993031028443,74.226,259.7777960719507,-3.0379572909636066,44993000.0,499.5980903846154,keyboard,0
30,11921002000,12026115000,105,822.297,613.406,0.5361766626722176,-0.0735502390593188,20.325000000000045,150.6840372833168,0.3500478567945518,50013000.0,499.5980903846154,keyboard,0
