saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s],main sequence ratio,Q ratio
4,1671516000,1726517000,55,315.10906982421875,20.227787017822266,5299.57861328125,10101.4462890625,32.05698361744242,1.906084809035064
5,1896644000,1926769000,30,50.5372314453125,3.2540807723999023,1684.259521484375,2181.77783203125,43.171692821998015,1.295392903647296
6,2126896000,2166897000,40,111.55524444580078,7.19228982925415,2924.095947265625,4136.876953125,37.083661764865795,1.4147541762415383
7,2492285000,2557275000,65,370.2101135253906,23.88842391967773,5713.85546875,9310.0439453125,25.148000028027266,1.6293803713150667
8,3172907000,3232908000,60,349.515869140625,22.51816749572754,5843.79931640625,10478.5771484375,29.980261480549615,1.7931103689716523
9,4133792000,4193796000,60,315.8790588378906,20.347959518432617,4608.82763671875,8731.6298828125,27.642319547664535,1.8945446805706483
10,4444045000,4509174000,65,422.18463134765625,27.16177749633789,6159.4892578125,11857.91015625,28.08702467069525,1.9251450339343972
11,4694301000,4744298000,50,160.95135498046875,10.376053810119627,3541.704345703125,5517.8056640625,34.28244306941112,1.5579520833682308
12,5054676000,5089676000,35,75.72642517089844,4.888667583465576,2167.0654296875,2821.06201171875,37.25333667015461,1.3017890337190046
13,5324929000,5394929000,70,387.8929443359375,25.020130157470703,4999.076171875,9618.7919921875,24.797543066050398,1.9241139085463839
14,5815309000,5875440000,60,345.32977294921875,22.17248916625977,5123.21728515625,10427.142578125,30.194739622576147,2.0352723684658223
15,6095561000,6145690000,50,278.5629272460937,17.98041343688965,4884.07958984375,8999.12109375,32.30552314594187,1.8425418603872294
16,6445940000,6505941000,60,386.67230224609375,24.938928604125977,6473.55419921875,9925.9873046875,25.670282683889273,1.5333133853865626
17,7136572000,7196574000,60,364.5787353515625,23.49344253540039,5747.400390625,10742.7607421875,29.46622965222664,1.869151270496274
18,7286699000,7321699000,35,39.292755126953125,2.535750389099121,1128.9761962890625,1413.132568359375,35.96420163955435,1.251693855906203
19,7596952000,7707078000,110,322.2049560546875,20.77427673339844,4944.93359375,11350.978515625,35.229062440921645,2.295476430658589
20,7882205000,7907333000,25,27.22360038757324,1.7367379665374756,1098.9156494140625,1241.029541015625,45.586532396431956,1.1293219290100538
21,8442835000,8472836000,30,41.53691864013672,2.639559268951416,1412.26904296875,1702.9930419921875,40.99950351990246,1.2058559595785676
22,8597962000,8652963000,55,299.40997314453125,19.186717987060547,5552.11328125,9653.0146484375,32.24012395798785,1.7386199019095347
23,8818094000,8888215000,70,316.0895690917969,20.24466323852539,4641.1806640625,8018.2841796875,25.367126801197532,1.7276388833071123
27,10239479000,10294484000,55,321.5795288085937,20.74754905700684,5966.43505859375,10309.173828125,32.05792939096285,1.7278615667283916
30,11765870000,11815870000,50,162.33151245117188,10.485467910766602,3629.92822265625,6171.68603515625,38.01902626276982,1.7002226095368997
31,12011122000,12051122000,40,114.58547973632812,7.404994487762451,2862.492919921875,4147.08056640625,36.1920251671422,1.4487653532849383
32,12446501000,12471505000,25,30.14448547363281,1.948054909706116,1216.4444580078125,1527.5252685546875,50.673456340490674,1.2557295637289814
33,12811880000,12861881000,50,177.82708740234375,11.48900318145752,3769.248046875,6254.0791015625,35.16944011691703,1.6592378702026835
34,13202259000,13262260000,60,371.6676940917969,23.912784576416016,5821.04150390625,10797.0595703125,29.05030418825095,1.8548329475175633
35,13412386000,13437386000,25,33.68177032470703,2.119290828704834,1343.10546875,1565.2945556640625,46.47304879090193,1.1654293665566333
38,14393271000,14413271000,20,19.15482711791992,1.2378647327423096,954.7669677734376,1016.9987182617188,53.0935994358459,1.065180041401525
39,14543409000,14583523000,40,161.4888153076172,10.428840637207031,4051.165771484375,5869.35400390625,36.34526634383825,1.448806179500198
40,14718649000,14763650000,45,230.1470489501953,14.862728118896484,5134.162109375,7734.193359375,33.605442236405594,1.5064178330583549
41,14913776000,14983902000,70,368.4594421386719,23.72597312927246,5038.2880859375,10134.791015625,27.505852358672115,2.011554488897228
45,17451177000,17511178000,60,352.7159423828125,22.75044822692871,5915.8525390625,10204.2275390625,28.930440371157268,1.7248955195694566
50,18727315000,18762315000,35,56.0988883972168,3.6242868900299072,1608.033203125,2154.308349609375,38.40197927551547,1.3397163350997736
51,18947567000,18997568000,50,174.53648376464844,11.266435623168944,3499.892333984375,6040.65087890625,34.60967442802212,1.7259533444074278
52,19493073000,19548073000,55,334.7644958496094,21.60484313964844,6088.98876953125,10325.5263671875,30.844150127037878,1.6957703089970377
53,19668200000,19703200000,35,67.64649200439453,4.358465194702148,1809.4615478515625,2686.071533203125,39.70747711542277,1.4844590294789035
54,19893452000,19923452000,30,35.65769958496094,2.302263259887696,1222.592529296875,1632.1165771484375,45.77178550903498,1.3349636432729421
55,20053582000,20083579000,30,30.65210723876953,1.975859761238098,1061.17041015625,1224.1444091796875,39.93671298498394,1.153579479284049
59,21685095000,21710095000,25,25.50822257995605,1.6427184343338013,1101.06396484375,1291.8865966796875,50.64588850243259,1.1733074897815012
60,21965348000,22040487000,75,489.8457946777344,31.532039642333984,6236.86083984375,12271.7666015625,25.052305715181237,1.9676191142770376
61,22976233000,23016364000,40,97.91952514648438,6.267604827880859,2499.94873046875,3671.263427734375,37.49265963292087,1.468535487544178
62,23251497000,23286611000,35,87.99530792236328,5.6366376876831055,2524.590087890625,3371.35107421875,38.31285046690483,1.3354053358561748
