section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143809498649,3.5424,3.2025,-31.8438,16.8125,-39.1875,31.1719,18.1562,-38.4375,0.074,0.3356,0.9391,-0.0557,0.331,0.942,-0.1534,-0.7236,6.3911,-0.1404,-0.6846,6.0811
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143814508649,3.3311,2.9489,-31.75,16.625,-38.9062,31.25,18.0,-38.5312,0.0771,0.3531,0.9324,-0.0681,0.3494,0.9345,-0.1875,-0.749,6.3143,-0.1504,-0.7046,6.2034
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143819498649,3.5791,3.0573,-31.625,16.75,-39.0,31.375,18.1562,-38.8125,0.0664,0.3439,0.9367,-0.0473,0.3366,0.9405,-0.1555,-0.7212,6.34,-0.1343,-0.6802,6.097
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143824498649,3.3274,3.2007,-31.625,16.3125,-39.0,31.3906,17.5625,-38.4375,0.0583,0.3767,0.9245,-0.0694,0.3694,0.9267,-0.2047,-0.7979,6.6985,-0.1959,-0.77,6.4677
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143829499649,3.412,2.824,-32.125,16.7188,-38.9375,30.875,18.25,-38.625,0.1011,0.3457,0.9329,-0.04,0.3393,0.9398,-0.1655,-0.7539,6.6119,-0.1262,-0.6528,5.87
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143834507649,3.3495,2.8258,-32.0312,16.5625,-38.75,30.9688,17.7812,-38.5625,0.1086,0.3613,0.9261,-0.0278,0.3567,0.9338,-0.1926,-0.7734,6.5439,-0.1938,-0.7251,5.966
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143839498649,3.4469,3.3513,-31.8438,17.1562,-39.3125,31.1719,18.3125,-38.5312,0.08,0.3162,0.9453,-0.0626,0.3107,0.9484,-0.1196,-0.6851,6.3134,-0.119,-0.6597,6.0273
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143844499649,3.4652,2.8846,-32.0625,16.4375,-39.0625,30.9219,17.875,-38.5312,0.1029,0.3667,0.9246,-0.0296,0.3613,0.932,-0.194,-0.7949,6.7817,-0.1636,-0.7056,6.0705
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143849499649,3.4101,3.05,-31.8438,16.3125,-38.7812,31.1875,17.6562,-38.5,0.0924,0.3803,0.9202,-0.0566,0.3749,0.9253,-0.2104,-0.8037,6.7047,-0.1936,-0.7466,6.219
6c6fd109-c50c-4d82-923c-b10ba04b6310,251502ac-5da9-4a4f-bce3-21ed047beb0c,1760516143854499649,3.4395,3.2007,-31.9062,16.5312,-39.1562,31.0938,17.6875,-38.5625,0.0767,0.3658,0.9275,-0.0396,0.3594,0.9323,-0.1805,-0.7642,6.5675,-0.1978,-0.7388,6.0824
