fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,125119000,540498000,415,773.143,778.203,-2.6717728104216385,-10.7189969246464,49.47700000000009,0.0,0.0,0.0,534.9642758620689,keyboard,0
2,600624000,1396258000,796,699.127,442.513,-7.5115553937592034,10.936853472888336,43.70300000000003,343.7530281408442,-1.7878131441043235,60126000.0,534.9642758620689,screen,1
3,1511384000,1726637000,215,701.456,436.031,-7.366011062806811,11.35504444270899,48.271999999999935,6.88771115828763,-1.2258581953590717,115126000.0,534.9642758620689,screen,0
4,1781637000,2307143000,526,712.839,718.654,-6.5690254377461255,-6.862323875452948,53.835000000000036,282.85213949694634,1.5305418149527799,55000000.0,534.9642758620689,keyboard,1
5,2357146000,2637521000,280,799.463,694.288,-0.9430489090567972,-5.304479442938219,45.34699999999998,89.98566181342439,-0.2741995445972503,50003000.0,534.9642758620689,keyboard,0
6,2787648000,3177902000,390,713.21,419.497,-6.61370407204404,12.425354920045736,46.99599999999998,288.00984998780854,-1.8749432284063623,150127000.0,534.9642758620689,screen,1
7,3228030000,3953660000,726,743.466,684.605,-4.570177395389442,-4.673201611717659,58.96300000000008,266.82892871650927,1.4571609186598453,50128000.0,534.9642758620689,keyboard,1
8,4013786000,4404040000,390,718.799,423.183,-6.243678056158005,12.19153036456436,38.65999999999997,262.58317343843646,-1.6648748019375759,60126000.0,534.9642758620689,screen,1
9,4459177000,4649293000,190,746.095,723.079,-4.412152893129299,-7.157353233303002,61.78699999999992,301.1356545346299,1.4800282064170163,55137000.0,534.9642758620689,keyboard,1
11,4984672000,5294925000,310,860.541,699.206,3.0167772433790407,-5.619029385082576,78.89600000000007,116.90939673524966,-0.20564730217048263,335379000.0,534.9642758620689,keyboard,0
12,5334925000,5465052000,130,769.823,685.452,-2.8628932608046207,-4.731380834666372,32.891000000000076,91.75471671799774,-2.991125877523346,40000000.0,534.9642758620689,keyboard,0
13,5580178000,5820431000,240,732.797,406.754,-5.34042431752304,13.25586312369212,37.972999999999956,281.146758615496,-1.702876360800729,115126000.0,534.9642758620689,screen,1
14,5870436000,6050574000,180,698.785,645.689,-7.451174506869458,-2.154993777629555,52.752000000000066,241.3436354433238,1.7121947165847817,50005000.0,534.9642758620689,keyboard,1
15,6095684000,6265818000,170,897.081,641.972,5.371020189209529,-1.917932767479332,26.527000000000044,198.3308339744479,-0.01874250994375393,45110000.0,534.9642758620689,keyboard,0
16,6305811000,6481063000,175,746.581,640.363,-4.360756761944196,-1.8155396359252256,34.63499999999999,150.50860068780122,-3.1309020309830706,39993000.0,534.9642758620689,keyboard,0
17,6541064000,6831317000,290,750.933,412.986,-4.1441127430647935,12.86294685366175,38.18999999999994,227.4186448666864,-1.5516586449752552,60001000.0,534.9642758620689,screen,1
18,6851317000,7071572000,220,721.154,424.487,-6.088175015609209,12.108952025630195,33.22000000000003,31.92274803333824,2.7730289072100898,20000000.0,534.9642758620689,screen,0
21,7607075000,7817329000,210,662.316,669.22,-9.814765689098811,-3.6632215551428966,70.572,251.70647892535465,1.8067356608863314,535503000.0,534.9642758620689,keyboard,1
22,7872329000,8217582000,345,922.486,663.139,7.016203604545211,-3.2802660895211977,37.9849999999999,260.2410564476712,-0.023368924171058528,55000000.0,534.9642758620689,keyboard,0
23,8262707000,8768213000,506,723.219,630.378,-5.870130926094303,-1.169173043964658,41.66899999999998,201.94212143582124,-2.9786428340428395,45125000.0,534.9642758620689,keyboard,0
24,8808213000,8983343000,175,814.427,680.847,0.0271355658112433,-4.43574099162473,24.94100000000003,104.24019965924847,0.5054036018160737,40000000.0,534.9642758620689,keyboard,0
27,9483845000,9754109000,270,744.391,669.432,-4.506745112330924,-3.693423292994273,59.827999999999975,70.96015446009125,-2.980025723984814,500502000.0,534.9642758620689,keyboard,0
28,9804106000,10094352000,290,931.81,645.483,7.614232777119252,-2.1406708289499736,46.46899999999994,188.94294419744813,-0.1270944331483265,49997000.0,534.9642758620689,keyboard,0
29,10129478000,10364618000,235,892.946,678.024,5.110399161172891,-4.245958231788723,39.11200000000008,50.688531020340264,2.4445153421805474,35126000.0,534.9642758620689,keyboard,0
30,10404730000,10579857000,175,742.778,675.214,-4.612374956289899,-4.0666333302739845,22.341999999999985,150.19428858648388,-3.1228824617230275,40112000.0,534.9642758620689,keyboard,0
31,10624858000,10804985000,180,897.453,636.241,5.394401097264969,-1.5478501032383905,24.374000000000024,159.5094052211342,-0.24682912469501878,45001000.0,534.9642758620689,keyboard,0
33,11385616000,11525743000,140,700.25,612.546,-7.353362537055423,-0.0177527953340484,87.52900000000011,198.62143951245542,-3.022010563106809,580631000.0,534.9642758620689,keyboard,0
34,11555743000,11825996000,270,651.376,613.204,-10.508392840628565,-0.0598234745011858,26.053999999999974,48.8784291891628,3.128130275873455,30000000.0,534.9642758620689,keyboard,0
35,11880996000,12026123000,145,754.127,396.917,-3.945275436249424,13.89852639637164,43.05000000000001,239.4531987048826,-1.127292632595622,55000000.0,534.9642758620689,screen,1
36,12046248000,12216375000,170,727.359,420.706,-5.684913351120987,12.35550854350263,31.73300000000006,35.811204182490115,2.4150500290645347,20125000.0,534.9642758620689,screen,0
37,12261376000,13367388000,1106,870.593,405.555,3.717994447490957,13.341594137724064,51.66800000000006,144.03309188169217,-0.10538606960956852,45001000.0,534.9642758620689,screen,0
38,13412513000,14043020000,631,728.436,406.783,-5.626964514648465,13.25172851439274,30.890999999999963,142.1623038396606,3.1329545319597414,45125000.0,534.9642758620689,screen,0
39,14123146000,14313273000,190,949.957,630.56,8.78270049053484,-1.177395860283028,46.40399999999988,314.87727636334756,0.7904643902806647,80126000.0,534.9642758620689,keyboard,1
40,14348398000,14653652000,305,911.128,621.507,6.276485256487256,-0.5960363172006123,64.21100000000013,39.870390642681144,-2.9125341390456563,35125000.0,534.9642758620689,keyboard,0
41,14708652000,15013919000,305,755.342,402.833,-3.861236580585045,13.518207526692358,54.62500000000006,268.4913333275396,-2.1898040657557005,55000000.0,534.9642758620689,screen,1
42,15064031000,15339284000,275,660.534,602.515,-9.917916357533082,0.6276943456006012,48.01200000000006,221.04628019489488,2.014077326248171,50112000.0,534.9642758620689,keyboard,1
43,15379290000,15604537000,225,767.207,668.067,-3.029736596558947,-3.607542576125871,40.13600000000008,125.20460707577817,0.5510229074125172,40006000.0,534.9642758620689,keyboard,0
44,15664537000,15829664000,165,926.862,637.13,7.293539761772657,-1.6027750519883244,42.56899999999996,162.62477361705993,-0.19140198946304407,60000000.0,534.9642758620689,keyboard,0
45,15879790000,16205043000,325,742.154,607.828,-4.645675370507968,0.2870199750447116,45.20100000000002,187.01778650171215,-2.984264132348317,50126000.0,534.9642758620689,keyboard,0
46,16260181000,16420296000,160,737.146,380.151,-5.079039167203585,14.968935507929746,29.76800000000003,227.7320715072868,-1.5927888537758206,55138000.0,534.9642758620689,screen,1
47,16445296000,16580434000,135,755.106,391.285,-3.884804982939866,14.261273002548297,26.03400000000005,21.13119864087226,0.5549474630045189,25000000.0,534.9642758620689,screen,0
48,16625432000,17050802000,425,765.112,601.963,-3.161563149533172,0.6664392750352471,40.226,210.915480038806,1.5233377092244167,44998000.0,534.9642758620689,keyboard,1
49,17095928000,17301055000,205,956.467,661.369,9.209700086362908,-3.1591762817507525,50.78899999999999,200.3641905655799,0.30101540281076117,45126000.0,534.9642758620689,keyboard,0
51,17761560000,17966688000,205,753.456,400.286,-3.9870695155596767,13.681407432685374,60.96100000000001,330.7231455613592,-2.2317116721254786,460505000.0,534.9642758620689,screen,1
52,17991688000,18151814000,160,782.012,395.432,-2.1096379681709068,14.002424621278482,30.371999999999957,28.96560808959473,-0.16837245874331508,25000000.0,534.9642758620689,screen,0
53,18191940000,18286941000,95,674.306,417.351,-9.166512352410116,12.535129336975515,15.079000000000008,109.91371614589318,2.940826594645767,40126000.0,534.9642758620689,screen,0
