timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.5847,3.1051,-31.25,17.0312,-37.8125,31.75,19.625,-38.5,-0.1274,-0.2318,0.9644,-0.1905,-0.245,0.9506,0.5317,-0.3369,9.5575,0.6372,-0.209,9.3497,63.05712057087605
25004000,3.5663,3.118,-31.25,16.8438,-37.9062,31.7344,19.5625,-38.25,-0.1259,-0.2175,0.9679,-0.1995,-0.2308,0.9523,0.5186,-0.3643,9.7115,0.6255,-0.2272,9.4149,63.043986005724605
30000000,3.57,3.1345,-31.2812,17.0312,-37.9375,31.6875,19.7188,-38.25,-0.1303,-0.2308,0.9642,-0.2037,-0.2413,0.9489,0.5591,-0.3423,9.9265,0.6455,-0.1991,9.3365,63.02680405748018
35000000,3.5626,3.1253,-31.1875,17.0,-37.8125,31.8125,19.6562,-38.375,-0.136,-0.2289,0.9639,-0.1972,-0.2413,0.9502,0.5337,-0.344,9.658,0.6382,-0.2168,9.4465,63.05847924498338
40000000,3.5571,3.1602,-31.0938,16.875,-37.8438,31.8594,19.4375,-38.375,-0.1401,-0.2184,0.9657,-0.2023,-0.2308,0.9517,0.5176,-0.3523,9.568,0.6206,-0.2354,9.4488,63.00757073503152
45000000,3.5663,3.1602,-30.9375,16.8438,-37.9062,32.0312,19.5312,-38.3125,-0.1513,-0.2203,0.9636,-0.217,-0.2337,0.9478,0.5044,-0.3623,9.5303,0.6353,-0.2284,9.5401,63.02733040626106
50000000,3.5479,3.2007,-31.0,16.6875,-38.0,32.0,19.3125,-38.5625,-0.1538,-0.2022,0.9672,-0.2087,-0.2156,0.9539,0.4949,-0.3782,9.5992,0.6113,-0.2452,9.4513,63.05717271849413
55000000,3.5387,3.2264,-31.125,16.7188,-38.0,31.8438,19.4062,-38.375,-0.1432,-0.2099,0.9672,-0.2074,-0.2232,0.9525,0.5024,-0.3745,9.6437,0.6147,-0.2458,9.497,63.0272363125657
60000000,3.4965,3.2007,-31.2188,17.0,-37.6562,31.7812,19.5312,-38.625,-0.123,-0.2232,0.967,-0.1835,-0.2346,0.9546,0.5327,-0.3467,9.6766,0.6289,-0.2231,9.4098,63.058271042584096
65011000,3.5057,3.1033,-31.125,16.625,-38.0,31.8438,19.3438,-38.3125,-0.1436,-0.1974,0.9697,-0.2079,-0.2108,0.9552,0.4861,-0.3799,9.5194,0.605,-0.2484,9.4137,63.028242107249035
70003000,3.5442,3.1529,-31.0938,16.8125,-37.9062,31.8906,19.4062,-38.3125,-0.1384,-0.2108,0.9677,-0.2148,-0.2232,0.9508,0.5161,-0.3655,9.6975,0.6147,-0.2372,9.4019,63.03909106847909
