section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170883387467,3.5498,3.2815,-31.1875,16.3125,-38.0,31.8438,18.875,-39.1875,-0.0649,-0.1686,0.9835,-0.1231,-0.1811,0.9757,0.5361,-0.3867,10.1594,0.5991,-0.2693,9.5763
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170888387467,3.4836,3.1896,-30.9375,16.4062,-37.9375,32.0,19.0625,-38.625,-0.0763,-0.1792,0.9808,-0.1656,-0.1888,0.968,0.543,-0.3674,10.0226,0.6318,-0.2534,9.7758
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170893387467,3.5332,3.2521,-31.0625,16.4062,-38.125,31.8906,19.0,-38.625,-0.0811,-0.1782,0.9806,-0.158,-0.1898,0.969,0.5562,-0.3733,10.2369,0.6147,-0.2622,9.6769
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170898387467,3.5626,3.2888,-31.375,16.4062,-38.125,31.625,19.0,-38.6875,-0.0572,-0.1763,0.9827,-0.1334,-0.1869,0.9733,0.5698,-0.3645,10.2945,0.6021,-0.2673,9.5883
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170903387467,3.4726,3.2521,-31.2188,16.4375,-38.125,31.75,19.0312,-38.4375,-0.0657,-0.1811,0.9813,-0.1617,-0.1917,0.968,0.564,-0.3711,10.3011,0.6162,-0.2437,9.4897
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170908387467,3.4652,3.2264,-31.2188,16.5,-38.0,31.75,19.0625,-38.5938,-0.06,-0.184,0.9811,-0.1522,-0.1946,0.969,0.5713,-0.3635,10.3003,0.6318,-0.2517,9.757
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170913387467,3.5167,3.2668,-31.2188,16.5312,-37.9688,31.7812,19.0938,-38.7812,-0.0609,-0.1888,0.9801,-0.1388,-0.1993,0.9701,0.5854,-0.3589,10.4099,0.6191,-0.2469,9.5594
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170918387467,3.4854,3.2301,-31.0938,16.4375,-38.0625,31.8906,19.0938,-38.7188,-0.0782,-0.184,0.9798,-0.155,-0.1946,0.9686,0.5513,-0.3672,10.1138,0.6514,-0.2554,10.0214
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170923387467,3.5277,3.1786,-31.2812,16.3125,-38.0625,31.7031,19.0312,-38.6875,-0.0553,-0.1734,0.9833,-0.1449,-0.184,0.9722,0.5493,-0.3826,10.2624,0.6152,-0.259,9.6475
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170928387467,3.5461,3.2117,-31.125,16.4062,-38.0,31.8594,19.0312,-38.7188,-0.0783,-0.1763,0.9812,-0.1515,-0.1869,0.9706,0.5596,-0.3772,10.319,0.6226,-0.2617,9.7608
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170933387467,3.5608,3.2999,-31.1875,16.5625,-37.875,31.8125,19.125,-38.9375,-0.0609,-0.184,0.981,-0.137,-0.1946,0.9713,0.5688,-0.3513,10.1373,0.6382,-0.2527,9.8405
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170938387467,3.5681,3.2043,-31.125,16.6875,-38.0,31.8438,19.3125,-38.6875,-0.076,-0.2003,0.9768,-0.1507,-0.2108,0.9658,0.5923,-0.3474,10.3606,0.6646,-0.214,9.7188
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170943387467,3.5626,3.3054,-31.1875,16.7188,-37.9375,31.8125,19.2188,-38.9062,-0.0674,-0.1974,0.978,-0.1404,-0.2099,0.9676,0.603,-0.3367,10.3642,0.6558,-0.2142,9.6203
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170948387467,3.5093,3.2705,-31.0,16.4062,-38.125,31.9375,19.0625,-38.6875,-0.0859,-0.1763,0.9806,-0.1628,-0.1869,0.9688,0.5425,-0.3745,10.0956,0.6328,-0.2476,9.7226
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170953388467,3.5332,3.2025,-31.125,16.3125,-38.0,31.8438,19.0312,-38.5625,-0.0678,-0.1734,0.9825,-0.1553,-0.184,0.9706,0.5366,-0.385,10.1459,0.6216,-0.2446,9.5618
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170958388467,3.5608,3.197,-31.25,16.4375,-38.0625,31.7031,19.0625,-38.5625,-0.06,-0.1811,0.9816,-0.1466,-0.1917,0.9705,0.563,-0.3733,10.3144,0.6162,-0.2321,9.3623
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170968388467,3.5424,3.2337,-31.125,16.4062,-38.125,31.8438,19.0938,-38.625,-0.0753,-0.1792,0.9809,-0.1514,-0.1898,0.9701,0.561,-0.3733,10.2922,0.6235,-0.2505,9.6485
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170973388467,3.5461,3.1713,-31.125,16.2812,-37.9375,31.8594,18.875,-38.5312,-0.0659,-0.1648,0.9841,-0.1584,-0.1754,0.9717,0.5337,-0.3767,10.0206,0.6006,-0.2712,9.6145
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170978388467,3.5204,3.2392,-31.2188,16.5312,-38.0625,31.75,19.2188,-38.6875,-0.0609,-0.1898,0.9799,-0.1473,-0.1993,0.9688,0.5771,-0.3652,10.3858,0.6558,-0.2408,9.9123
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170983388467,3.4946,3.2852,-31.0938,16.3125,-38.0625,31.875,19.0312,-38.7188,-0.0707,-0.1715,0.9826,-0.1525,-0.1821,0.9714,0.5366,-0.3799,10.0889,0.6265,-0.249,9.666
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170988388467,3.5185,3.3127,-31.0938,16.5312,-37.75,31.8906,19.0938,-38.875,-0.061,-0.1811,0.9816,-0.1476,-0.1898,0.9707,0.5586,-0.3542,10.0534,0.6318,-0.2354,9.5773
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170993389467,3.5681,3.2815,-31.125,16.5,-37.9688,31.8125,19.0625,-38.6875,-0.0676,-0.1859,0.9802,-0.1569,-0.1946,0.9683,0.5635,-0.3667,10.2468,0.6284,-0.2325,9.5074
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219170998388467,3.5516,3.3219,-31.2188,16.5625,-38.0625,31.75,19.25,-38.6875,-0.0647,-0.1917,0.9793,-0.1434,-0.2032,0.9686,0.5898,-0.3611,10.4843,0.6396,-0.2262,9.5664
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219171003388467,3.5167,3.2907,-31.0625,16.2812,-37.9062,31.9375,18.7812,-38.625,-0.0688,-0.1648,0.9839,-0.1632,-0.1754,0.9709,0.5303,-0.3838,10.0606,0.5957,-0.2808,9.6637
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219171008388467,3.5479,3.2264,-31.2188,16.5312,-38.0,31.7812,19.0312,-39.0,-0.0628,-0.1859,0.9806,-0.1284,-0.1965,0.9721,0.5815,-0.3582,10.3573,0.625,-0.2622,9.7941
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219171013513467,3.5498,3.1896,-31.0,16.5312,-37.9062,31.9531,19.0312,-38.75,-0.0715,-0.1821,0.9807,-0.157,-0.1926,0.9686,0.5728,-0.3601,10.279,0.6255,-0.2434,9.5931
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219171018525467,3.5387,3.1345,-31.125,16.3125,-38.0,31.8125,19.0,-38.4062,-0.0687,-0.1706,0.9829,-0.165,-0.1792,0.9699,0.5425,-0.3857,10.2203,0.6021,-0.2515,9.4138
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219171023513467,3.5626,3.2227,-31.0625,16.5938,-37.8125,31.9062,19.1875,-38.75,-0.0656,-0.1926,0.9791,-0.1472,-0.2022,0.9682,0.562,-0.3523,10.0705,0.6514,-0.2422,9.8766
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219171028513467,3.5387,3.2245,-31.2188,16.5625,-38.0,31.75,19.0938,-38.5938,-0.0656,-0.1888,0.9798,-0.1445,-0.1974,0.9696,0.584,-0.3518,10.3148,0.6255,-0.2466,9.628
0d489a5b-e011-44db-9f7d-6460c0db06ba,95f14824-84e0-4357-b1b2-7dfcbfcd25d2,1761219171033513467,3.5718,3.2833,-31.0625,16.5,-37.9688,31.9062,19.0312,-38.7812,-0.0686,-0.1811,0.9811,-0.1513,-0.1917,0.9697,0.5596,-0.3594,10.1213,0.6304,-0.2566,9.7939
