section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281029845770,722.994,519.329,1,,,-5.904151525754356,5.999303494694405
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281034845770,716.823,520.932,1,,,-6.303464993822716,5.89418458681914
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281039845770,718.215,520.058,1,,,-6.213653315390532,5.950966222577954
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281044845770,713.959,523.925,1,,,-6.487748083339074,5.700403085982166
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281049845770,718.073,525.678,1,,,-6.220380620437986,5.588452051824321
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281054845770,717.6,526.515,1,,,-6.250685527765689,5.534343504816529
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281059845770,716.554,524.206,1,,,-6.31942739074057,5.6829841071694345
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281064845770,716.329,523.942,1,,,-6.334180239990537,5.699967962290188
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281069858770,716.717,522.922,1,,,-6.309438883167168,5.765842833413294
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281074845770,716.876,522.672,1,,,-6.299241225509473,5.7820294148016735
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281079845770,715.852,524.665,1,,,-6.364713477047347,5.653161853328608
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281084970770,718.336,525.033,1,,,-6.203608444585401,5.630098139007363
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281089970770,719.238,518.568,1,,,-6.147974403347071,6.047323956910682
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281094970770,720.565,518.481,1,,,-6.061967325711225,6.053350761515405
48c1bbd6-a3e2-45a1-b544-27ebe8b214f3,a34894e0-0a1c-4ed7-b01e-1142b03f6a3f,1760608281099970770,720.705,518.353,1,,,-6.052954361013204,6.061601081600743
