section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218690975713951,3.4505,3.0592,-31.0625,16.25,-38.125,31.9375,18.8125,-38.625,-0.1137,-0.1155,0.9868,-0.1691,-0.1281,0.9772,0.4631,-0.3955,9.4356,0.5415,-0.3064,9.3308
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218690980713951,3.4395,2.9416,-31.1875,16.0,-38.0625,31.7969,18.625,-38.4375,-0.1004,-0.1009,0.9898,-0.1695,-0.1126,0.9791,0.4429,-0.4243,9.5297,0.5078,-0.3389,9.3092
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218690985713951,3.4505,3.0206,-31.0,16.0625,-38.0,32.0,18.5938,-38.5,-0.1111,-0.097,0.9891,-0.18,-0.1116,0.9773,0.4397,-0.4084,9.3174,0.5142,-0.3169,9.1379
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218690990713951,3.4211,3.0904,-31.1875,16.2188,-38.125,31.8125,18.875,-38.4062,-0.1041,-0.1155,0.9878,-0.1691,-0.1281,0.9772,0.4629,-0.3982,9.4628,0.5366,-0.2993,9.1975
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218690995713951,3.4836,3.1235,-31.0,16.0625,-38.125,32.0,18.7188,-38.75,-0.1177,-0.1048,0.9875,-0.1665,-0.1174,0.979,0.4497,-0.4087,9.432,0.5244,-0.3276,9.3723
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218691000713951,3.4524,3.1657,-30.9062,16.125,-38.0,32.0938,18.7812,-38.625,-0.1196,-0.1096,0.9867,-0.1769,-0.1223,0.9766,0.4363,-0.4121,9.32,0.5425,-0.3154,9.4416
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218691005714951,3.4285,3.0004,-31.125,16.2188,-38.1875,31.8594,18.75,-38.5,-0.1147,-0.1174,0.9864,-0.1663,-0.1281,0.9777,0.4648,-0.3965,9.4656,0.52,-0.3086,9.1124
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218691010714951,3.4505,2.9434,-31.125,16.125,-38.0625,31.8438,18.7188,-38.3125,-0.1071,-0.1038,0.9888,-0.1771,-0.1155,0.9774,0.446,-0.4058,9.3584,0.519,-0.3135,9.1552
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218691015714951,3.423,3.0151,-31.1875,16.25,-38.0938,31.8125,18.8125,-38.5,-0.1012,-0.1174,0.9879,-0.1644,-0.129,0.9779,0.4648,-0.395,9.4493,0.5337,-0.3059,9.2371
dd8daf80-3f76-49d1-8067-96d495c7e668,c9bcc43a-9701-4fce-ad80-923ae62dbd44,1761218691020714951,3.4652,3.129,-30.9688,16.125,-37.9375,32.0,18.75,-38.3125,-0.111,-0.1067,0.9881,-0.1808,-0.1174,0.9765,0.4392,-0.4021,9.2413,0.5278,-0.3125,9.2436
