section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824159627738,2.519,2.3628,-30.9375,9.875,-39.2812,32.125,11.0938,-38.0625,-0.0159,-0.1657,0.986,0.0197,-0.1754,0.9843,0.4695,-0.3369,8.8569,0.3679,-0.3137,7.4682
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824164622738,2.5208,2.304,-31.0625,9.8125,-39.4062,32.0,10.9688,-38.125,-0.0188,-0.1571,0.9874,0.0303,-0.1677,0.9854,0.4949,-0.3367,9.1393,0.3579,-0.3235,7.4651
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824169628738,2.4951,2.2948,-30.7812,9.6875,-39.3438,32.25,10.8125,-38.125,-0.0266,-0.1474,0.9887,0.0063,-0.1571,0.9876,0.4375,-0.3535,8.6827,0.3467,-0.3418,7.5432
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824174622738,2.4951,2.2893,-30.9688,9.8125,-39.375,32.0625,10.9375,-38.1875,-0.0178,-0.1609,0.9868,0.0207,-0.1715,0.985,0.4431,-0.3354,8.5455,0.335,-0.3188,7.1598
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824179622738,2.5172,2.3812,-30.9062,9.7188,-39.4375,32.1562,10.875,-38.125,-0.0285,-0.1474,0.9887,0.0236,-0.1551,0.9876,0.4661,-0.3447,8.905,0.3413,-0.3379,7.4405
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824184624738,2.4841,2.3702,-30.7812,9.875,-39.375,32.2812,10.9062,-38.4062,-0.0333,-0.16,0.9866,0.0236,-0.1715,0.9849,0.4399,-0.3354,8.5101,0.4221,-0.3262,8.2085
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824189622738,2.4749,2.3536,-30.75,10.0312,-39.1562,32.3125,11.0,-38.3125,-0.0313,-0.1686,0.9852,0.0139,-0.1792,0.9837,0.4717,-0.3286,8.7898,0.3811,-0.3247,7.7359
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824194622738,2.5006,2.3555,-30.75,9.6562,-39.3125,32.3125,10.75,-38.1875,-0.0343,-0.1387,0.9897,0.0111,-0.1493,0.9887,0.436,-0.3545,8.6772,0.3589,-0.3445,7.7081
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824199622738,2.4767,2.3794,-30.9375,10.0625,-39.25,32.125,11.1875,-38.1875,-0.0149,-0.1715,0.9851,0.0274,-0.1811,0.9831,0.4817,-0.3174,8.778,0.4275,-0.3083,8.0716
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824204622738,2.5025,2.2857,-30.9375,9.9375,-39.3438,32.125,11.1875,-38.125,-0.0255,-0.1686,0.9853,0.0235,-0.1782,0.9837,0.4673,-0.3372,8.835,0.416,-0.3042,7.8979
6eb87c61-4cd3-485f-a1c2-962b6e0baf2a,23d09771-5b72-49e6-952a-22ddd5c024ab,1759995824209622738,2.5539,2.383,-30.6562,9.875,-39.25,32.375,10.875,-38.375,-0.0419,-0.1609,0.9861,0.0159,-0.1715,0.9851,0.4504,-0.3301,8.568,0.3701,-0.3308,7.6814
