section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965500076295,3.8805,3.6085,-30.6875,12.625,-39.9375,32.1562,17.0625,-41.0625,0.0303,-0.1782,0.9835,-0.16,-0.1869,0.9693,0.6274,-0.3867,11.1981,0.5366,-0.3557,9.8208
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965505076295,3.8915,3.6343,-30.7812,12.5625,-40.125,32.125,17.0312,-41.4375,0.0322,-0.1782,0.9835,-0.1439,-0.1859,0.972,0.6162,-0.3889,11.0941,0.5547,-0.3547,10.0145
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965510076295,3.8584,3.6196,-30.7812,12.7812,-39.9375,32.125,17.1562,-41.375,0.0341,-0.1859,0.982,-0.1465,-0.1946,0.9699,0.6426,-0.3679,11.163,0.563,-0.3413,9.96
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965515076295,3.9466,3.6416,-30.875,12.4375,-40.25,32.0312,16.8438,-41.3125,0.0274,-0.1648,0.9859,-0.1395,-0.1734,0.9749,0.6216,-0.3933,11.2044,0.5269,-0.3875,10.0627
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965520076295,3.8511,3.5608,-31.0,12.4688,-40.1875,31.8594,17.0,-41.1562,0.04,-0.1657,0.9854,-0.1289,-0.1754,0.976,0.6328,-0.3955,11.3574,0.5249,-0.3635,9.775
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965525076295,3.8841,3.5755,-30.8125,12.5625,-40.0938,32.0312,16.9062,-41.0625,0.0303,-0.1686,0.9852,-0.1556,-0.1763,0.972,0.6353,-0.386,11.2795,0.5151,-0.3582,9.6053
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965530076295,3.8511,3.5828,-30.7812,12.3438,-40.1875,32.125,16.7188,-41.1875,0.0236,-0.1542,0.9878,-0.156,-0.1609,0.9746,0.6035,-0.4089,11.1718,0.5083,-0.4016,10.0109
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965535076295,3.8217,3.6673,-30.8125,12.7812,-40.0625,32.0625,17.0625,-41.6562,0.0293,-0.184,0.9825,-0.1285,-0.1926,0.9728,0.6699,-0.3718,11.5208,0.5483,-0.3357,9.7318
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965540076295,3.8805,3.5828,-30.875,12.5625,-40.1875,32.0,16.9375,-41.125,0.0284,-0.1686,0.9853,-0.1442,-0.1763,0.9737,0.6294,-0.3938,11.2992,0.5225,-0.3655,9.7692
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965545076295,3.829,3.5204,-31.0,12.5,-40.25,31.8438,17.0,-41.0625,0.0371,-0.1648,0.9856,-0.1395,-0.1715,0.9753,0.6318,-0.3962,11.3543,0.52,-0.3447,9.5117
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965550076295,3.8584,3.5314,-30.8125,12.5625,-40.1875,32.0625,17.0,-41.0312,0.0265,-0.1657,0.9858,-0.1527,-0.1754,0.9726,0.6294,-0.3833,11.1825,0.5239,-0.3501,9.6152
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965555088295,3.8621,3.5975,-30.6875,12.4375,-40.1875,32.1562,16.875,-41.25,0.0188,-0.1551,0.9877,-0.1521,-0.1629,0.9749,0.5947,-0.4111,11.096,0.5298,-0.3706,9.9087
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965560076295,3.818,3.5975,-30.8125,12.6562,-40.0625,32.0,17.0312,-41.0312,0.0342,-0.1677,0.9853,-0.1518,-0.1754,0.9727,0.6187,-0.3865,11.0948,0.5322,-0.3562,9.7766
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965565076295,3.7996,3.5994,-30.625,12.4688,-39.9688,32.25,16.75,-41.25,0.0246,-0.1503,0.9883,-0.1608,-0.158,0.9743,0.5962,-0.4001,10.9904,0.5371,-0.4006,10.3251
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965570202295,3.8474,3.6049,-30.75,12.4688,-40.0938,32.125,16.8438,-41.2188,0.0236,-0.1551,0.9876,-0.1521,-0.1629,0.9749,0.5903,-0.4058,10.9862,0.5327,-0.3855,10.1072
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965575202295,3.8401,3.5406,-30.9062,12.6562,-40.3125,31.9688,17.125,-41.1562,0.0264,-0.1734,0.9845,-0.1411,-0.1821,0.9731,0.6455,-0.3862,11.3999,0.5586,-0.345,9.9507
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965580202295,3.8217,3.5222,-31.0625,12.5312,-40.1875,31.7969,16.9375,-41.0938,0.0448,-0.1571,0.9866,-0.1292,-0.1648,0.9778,0.626,-0.4048,11.3823,0.5234,-0.3735,9.8696
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965585202295,3.8217,3.5589,-30.9062,12.4688,-40.25,31.9688,16.875,-41.1875,0.0314,-0.1522,0.9878,-0.1455,-0.16,0.9763,0.6182,-0.4109,11.3609,0.5137,-0.3594,9.6024
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965590202295,3.8548,3.5828,-30.875,12.5312,-40.125,32.0,16.9062,-41.2812,0.0284,-0.158,0.987,-0.1425,-0.1677,0.9755,0.6191,-0.3999,11.2497,0.5229,-0.3713,9.8397
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965595202295,3.818,3.5865,-30.9062,12.4375,-40.25,31.9688,16.8125,-41.1875,0.0265,-0.1503,0.9883,-0.1484,-0.158,0.9762,0.6201,-0.4197,11.4812,0.5054,-0.396,9.9154
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965600202295,3.8033,3.5828,-30.7812,12.3438,-40.25,32.125,16.7188,-41.125,0.0227,-0.1464,0.989,-0.159,-0.1542,0.9752,0.6006,-0.4331,11.4079,0.5127,-0.4104,10.1583
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965605202295,3.7886,3.6104,-30.7812,12.5,-39.9375,32.0625,16.9062,-40.9375,0.0372,-0.1464,0.9885,-0.159,-0.1542,0.9752,0.5962,-0.4131,11.1345,0.5205,-0.3718,9.8175
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965610211295,3.829,3.5865,-30.9375,12.1562,-40.125,31.9531,16.6875,-41.0,0.0373,-0.1261,0.9913,-0.1451,-0.1339,0.9803,0.5796,-0.4485,11.3407,0.4895,-0.4167,9.968
e1201024-b287-47ce-b251-4fa4f0e6913d,55e4ac10-180f-461f-9d1a-02605e306ad1,1760435965615202295,3.8401,3.5975,-30.75,12.5,-40.1875,32.0938,17.0312,-41.0,0.0265,-0.1503,0.9883,-0.156,-0.158,0.975,0.606,-0.416,11.2785,0.5278,-0.3767,9.9544
