section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201653898978,3.7996,3.5902,-30.875,15.5,-33.875,32.125,17.6562,-34.9688,0.0639,0.0024,0.998,-0.0688,-0.0044,0.9976,0.2408,-0.4373,7.4376,0.2788,-0.4607,8.1172
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201658895978,3.7316,3.5681,-30.8125,15.5938,-33.9688,32.1562,17.8125,-34.875,0.0532,-0.0083,0.9985,-0.0727,-0.0151,0.9972,0.2468,-0.4324,7.4487,0.2988,-0.4504,8.223
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201663895978,3.7592,3.5938,-31.0,15.5938,-33.875,32.0,17.7812,-34.8125,0.0756,-0.0073,0.9971,-0.0688,-0.0122,0.9976,0.2527,-0.4341,7.5322,0.2852,-0.4473,8.0368
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201668895978,3.7923,3.6049,-30.9062,15.5625,-33.9375,32.125,17.8125,-34.9375,0.0629,-0.0083,0.998,-0.0688,-0.0151,0.9975,0.2432,-0.4368,7.4576,0.2986,-0.4399,8.1029
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201673895978,3.7629,3.5828,-30.9062,15.5,-33.9062,32.125,17.75,-34.8125,0.062,-0.0054,0.9981,-0.0766,-0.0122,0.997,0.2397,-0.4441,7.5019,0.2993,-0.4456,8.1738
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201678895978,3.7739,3.6618,-30.9062,15.5938,-33.9375,32.125,17.8125,-35.0,0.062,-0.0122,0.998,-0.0668,-0.0181,0.9976,0.2488,-0.4316,7.462,0.3052,-0.4529,8.3203
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201683909978,3.7849,3.5038,-31.0,15.5,-34.0625,31.9688,17.75,-34.875,0.0512,-0.0073,0.9987,-0.0698,-0.0132,0.9975,0.2408,-0.4429,7.5003,0.2825,-0.4512,8.0509
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201688895978,3.7133,3.5204,-30.9375,15.3438,-34.0,32.0625,17.625,-34.75,0.0522,0.0122,0.9986,-0.096,0.0054,0.9954,0.2278,-0.45,7.4361,0.2688,-0.4712,8.1247
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201693896978,3.7482,3.592,-31.1875,15.375,-34.25,31.8438,17.625,-35.0625,0.0483,0.0024,0.9988,-0.0659,-0.0044,0.9978,0.2368,-0.4536,7.5762,0.2776,-0.4729,8.2406
d0d39a61-f029-477c-b4ce-8f7c3e547ebc,dac0f659-01a7-40eb-b9da-7009962ab6b8,1760436201698895978,3.7482,3.5865,-30.875,15.4688,-34.125,32.1562,17.7812,-34.875,0.0288,-0.0015,0.9996,-0.099,-0.0103,0.995,0.2419,-0.4448,7.5342,0.3047,-0.4541,8.3286
