section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992874162329,0.007629,-0.152588,-0.165939,-0.043457,-0.614258,0.831055,3.0052700809133173,-36.58058600027607,87.78464291385652,0.6897064447402954,-0.24334511160850525,-0.19956360757350922,0.6521214842796326
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992882166329,0.068665,0.213623,-0.589371,-0.03418,-0.613281,0.811523,3.005855988943409,-36.58139208892369,87.7512416262378,0.6898960471153259,-0.2434113770723343,-0.19949381053447723,0.6519175171852112
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992890170329,0.131607,0.398636,-0.406265,-0.042969,-0.605957,0.815918,3.00218371097024,-36.58451254225274,87.73489903975816,0.6899769306182861,-0.24343742430210114,-0.19949927926063538,0.6518204808235168
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992898174329,0.190735,0.335693,-0.654221,-0.047363,-0.594727,0.825195,3.00169607915744,-36.584447244932676,87.7542489855741,0.6898661255836487,-0.24340055882930756,-0.19954293966293335,0.6519381999969482
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992906178329,0.131607,0.577927,-0.711441,-0.036133,-0.615723,0.812012,3.0047259594022844,-36.57991844632961,87.74201174866371,0.6899492740631104,-0.24341228604316711,-0.19947247207164764,0.6518673896789551
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992914182329,0.007629,0.518799,-0.837326,-0.047363,-0.606445,0.823242,3.0005388723905093,-36.58379478521152,87.72105516170251,0.6900541186332703,-0.2434479147195816,-0.19947561621665955,0.6517421007156372
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992923758329,0.007629,0.274658,-0.837326,-0.052246,-0.616699,0.832519,3.002910959063082,-36.583138342437316,87.71614376102114,0.6900873780250549,-0.2434660643339157,-0.19944709539413452,0.6517088413238525
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992933334329,0.131607,0.398636,-0.772476,-0.04248,-0.612305,0.823242,3.0069088647319284,-36.57990973084616,87.70923195915127,0.6901395320892334,-0.24348169565200806,-0.19938963651657104,0.6516653895378113
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992942910329,0.37384,0.335693,-0.894547,-0.037598,-0.614746,0.818359,3.008349155849181,-36.5788389268564,87.6943036990967,0.6902288794517517,-0.24350951611995697,-0.19934304058551788,0.6515746116638184
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992952486329,0.253677,0.21553,-0.471115,-0.04541,-0.609863,0.813965,3.0090280798688376,-36.579213923379314,87.67081293025262,0.6903629302978516,-0.24355646967887878,-0.1992911994457245,0.6514308452606201
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992962062329,0.436783,-0.154495,-0.34523,-0.054199,-0.617676,0.828125,3.010172220431802,-36.57897286859083,87.66339732687015,0.6904075145721436,-0.24357444047927856,-0.19926714897155762,0.6513842344284058
0130f5f7-e788-45be-9e83-2a0470ce1b09,6a453fea-1144-4937-8c21-ea8b442d0f1b,1760093992971674329,0.253677,0.272751,-0.284195,-0.050293,-0.621094,0.825195,3.01657854737862,-36.5760643166968,87.68313891991116,0.6903117299079895,-0.24355930089950562,-0.19925367832183838,0.6514955163002014
