section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,2,1760094155137990641,1760094155353122641,215,735.143,1088.371,-5.636996129680067,-30.615824856600057
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,3,1760094155373233641,1760094155543360641,170,750.553,1089.615,-4.54095638060063,-30.7109406908251
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,4,1760094155758612641,1760094155938739641,180,713.553,736.729,-6.533454647726431,-8.02722759680732
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,5,1760094155963744641,1760094156118866641,155,687.219,745.659,-8.252196507478239,-8.589868729152377
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,6,1760094156369119641,1760094156829508641,460,671.603,424.0,-9.334006639130662,12.106309218198591
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,7,1760094156859625641,1760094157865511641,1006,701.995,439.136,-7.327608107225451,11.155718550378698
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,8,1760094157960637641,1760094158140764641,180,989.98,818.733,11.549525333841705,-13.229627651911148
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,9,1760094158205890641,1760094158386017641,180,729.46,762.512,-5.514967399434995,-9.694464005480109
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,10,1760094158421018641,1760094158936525641,516,799.412,771.178,-0.9540406861889474,-10.269466671876641
c72b0b3b-6c6f-4a43-a4a9-df234c6a06f0,42d49c3c-aa1d-44c1-8cb2-3634c9e31197,11,1760094158966524641,1760094159492030641,526,756.451,788.287,-3.767838304063211,-11.364495735560272
