section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225786578251,3.5351,3.6306,-30.9688,14.75,-36.25,32.0,15.7812,-34.8438,-0.0664,-0.1116,0.9915,-0.2301,-0.1203,0.9657,0.4141,-0.4023,8.9634,0.5679,-0.3799,10.443
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225791580251,3.5204,3.5902,-31.0938,14.6875,-36.25,31.8906,15.6875,-34.8125,-0.0577,-0.1067,0.9926,-0.2302,-0.1155,0.9663,0.4077,-0.4167,9.0531,0.5532,-0.3855,10.3392
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225796590251,3.4873,3.6196,-30.9375,14.5312,-36.3125,32.0625,15.4688,-35.125,-0.0762,-0.096,0.9925,-0.2295,-0.1048,0.9676,0.3867,-0.4253,8.9149,0.5298,-0.4153,10.4055
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225801578251,3.502,3.5351,-31.0,14.5625,-36.3125,32.0,15.5938,-34.8438,-0.0714,-0.096,0.9928,-0.2333,-0.1067,0.9665,0.4019,-0.418,9.0015,0.5479,-0.3933,10.3652
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225806578251,3.5112,3.592,-31.0625,14.625,-36.3438,31.9531,15.625,-34.875,-0.0684,-0.1048,0.9921,-0.2331,-0.1126,0.9659,0.4092,-0.4199,9.1048,0.5527,-0.4087,10.5917
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225811578251,3.5424,3.5883,-31.0625,14.5625,-36.375,31.9531,15.75,-34.75,-0.0723,-0.1019,0.9922,-0.2369,-0.1126,0.965,0.4062,-0.4241,9.1185,0.5674,-0.377,10.4049
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225816578251,3.5424,3.6416,-30.9688,14.5625,-36.3125,32.0,15.625,-35.0,-0.0762,-0.1038,0.9917,-0.2275,-0.1126,0.9673,0.3965,-0.4167,8.9281,0.5488,-0.3931,10.3736
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225821578251,3.5204,3.5865,-31.0625,14.5,-36.3125,31.9531,15.5938,-34.875,-0.0665,-0.097,0.9931,-0.2304,-0.1067,0.9672,0.3931,-0.4268,9.0018,0.5396,-0.3989,10.3337
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225826578251,3.5589,3.6435,-30.9688,14.5625,-36.375,32.0312,15.625,-35.0,-0.08,-0.1038,0.9914,-0.2322,-0.1126,0.9661,0.3997,-0.4204,9.0043,0.5518,-0.3943,10.4203
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1760094225831704251,3.5351,3.6159,-30.9688,14.6562,-36.3125,32.0312,15.6562,-35.0625,-0.0761,-0.1077,0.9913,-0.2264,-0.1155,0.9672,0.4167,-0.4148,9.132,0.5654,-0.4011,10.6514
