section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,1,1760094225911704251,1760094226557336251,646,697.851,449.57,-7.587746537800937,10.48230602020303
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,2,1760094226647465251,1760094226932727251,285,993.235,802.838,11.733410044852036,-12.210071499687675
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,3,1760094226987716251,1760094227167851251,180,757.138,770.876,-3.7140602055338134,-10.242804847918835
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,4,1760094227202969251,1760094227573222251,370,795.423,779.903,-1.2159723964403166,-10.831844839219773
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,5,1760094227603233251,1760094227783475251,180,758.262,774.099,-3.6422098427364693,-10.450858918631996
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,6,1760094227808475251,1760094228338983251,531,734.57,775.392,-5.190229450619967,-10.526094899995917
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,7,1760094228393982251,1760094228994613251,601,722.722,469.643,-5.949441914851316,9.202444414427198
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,8,1760094229074614251,1760094229259866251,185,726.054,802.966,-5.768944800570123,-12.296815940837488
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,9,1760094229309867251,1760094229565122251,255,864.442,796.512,3.302211811081252,-11.894770750901689
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,10,1760094229600120251,1760094229820376251,220,807.436,802.901,-0.4325328023807912,-12.314896960492941
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,11,1760094229855381251,1760094230025500251,170,794.474,736.946,-1.2711680349454515,-8.060010062363103
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,12,1760094230070625251,1760094230300756251,230,910.2,761.061,6.268637836533255,-9.59342761913483
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,13,1760094230360879251,1760094230511005251,150,644.658,780.776,-11.064623083804177,-10.813888224863442
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,14,1760094230566006251,1760094230891384251,325,733.055,490.42,-5.264776362766022,7.86684648169529
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,15,1760094230916385251,1760094231136519251,220,754.006,474.733,-3.9090034748668647,8.88458025321943
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,16,1760094231196638251,1760094231546892251,350,755.442,767.856,-3.8233377628818848,-10.047696180534006
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,17,1760094231607018251,1760094231747144251,140,716.99,498.662,-6.304100556401599,7.330163867988281
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,18,1760094231767144251,1760094232057398251,290,743.978,522.63,-4.542270159765677,5.791030215080505
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,19,1760094232092408251,1760094232377776251,285,705.837,549.611,-7.003340463064282,4.041960993596675
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,20,1760094232572903251,1760094232778155251,205,611.823,825.432,-13.29649130166311,-13.632239796545319
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,21,1760094232853156251,1760094233013283251,160,739.076,1096.125,-5.376660256756709,-31.119118659559458
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,22,1760094233043292251,1760094233338662251,295,738.018,1105.047,-5.476569222159822,-31.692690328485526
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,23,1760094233443663251,1760094233593804251,150,885.835,725.91,4.665313842944372,-7.337504167831679
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,24,1760094233623915251,1760094233834042251,210,933.041,717.22,7.722510753318464,-6.761103425329824
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,25,1760094233899168251,1760094234084295251,185,608.152,720.621,-13.356106158311759,-6.934497835253325
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,26,1760094234114295251,1760094234344548251,230,652.236,704.396,-10.487390567833366,-5.9200664637272205
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,27,1760094234389549251,1760094234840061251,451,765.264,706.676,-3.1627537315972076,-6.101961978902108
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,28,1760094234910069251,1760094235230314251,320,751.774,748.145,-4.053279188663052,-8.77576861225858
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,29,1760094235255433251,1760094235650812251,395,738.972,716.011,-4.871838611436199,-6.6995748178980055
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,30,1760094235705813251,1760094236471572251,766,714.232,431.945,-6.534414082765716,11.625364334738677
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,31,1760094236526572251,1760094237172205251,646,877.661,433.284,4.165169248180312,11.553424377318498
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,32,1760094237302335251,1760094238418346251,1116,763.849,1078.848,-3.5740073209837147,-30.02815846865371
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,33,1760094238558470251,1760094238693600251,135,706.3,382.992,-7.111481666972005,14.766249694252876
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,34,1760094238723600251,1760094238828728251,105,675.716,390.486,-9.115672519811172,14.259352081965323
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,35,1760094238853723251,1760094239484355251,631,684.928,403.918,-8.489074702806171,13.405972600895396
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,36,1760094239534356251,1760094239669482251,135,841.453,398.337,1.8046981347381092,13.81507915706378
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,37,1760094239719483251,1760094240054871251,335,686.129,407.669,-8.404866320496241,13.166216612917728
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,38,1760094240124862251,1760094240300114251,175,823.268,772.191,0.6036579029847486,-10.334792711042818
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,39,1760094240345115251,1760094240615368251,270,733.987,737.077,-5.205255323762971,-8.05687637021679
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,40,1760094240675383251,1760094241100873251,425,703.23,432.095,-7.254178320849726,11.609214434005528
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,41,1760094241301000251,1760094241381126251,80,781.363,1051.388,-2.301414630166559,-28.271725448658177
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,42,1760094241396127251,1760094241716380251,320,789.573,1075.749,-1.7450317243305045,-29.841091229373934
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,43,1760094241796506251,1760094242186885251,390,942.255,688.882,8.303208063909295,-4.933646313779136
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,44,1760094242226888251,1760094242462139251,235,874.673,748.772,3.9490184885388158,-8.81509585555148
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,45,1760094242512155251,1760094242752398251,240,714.4,757.646,-6.492958252575832,-9.374631666509678
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,46,1760094242972519251,1760094243332898251,360,820.271,1071.666,0.4307870944460814,-29.58080167819758
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,47,1760094243463025251,1760094243783278251,320,907.45,690.747,6.052745401540201,-5.063806532631731
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,48,1760094243843404251,1760094244308784251,465,712.457,408.583,-6.6748358961352645,13.126543494439138
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,49,1760094244483912251,1760094244564037251,80,781.452,1047.532,-2.2912710349814938,-28.024017559202306
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,50,1760094244589037251,1760094245124543251,536,807.085,1069.312,-0.5016232230737492,-29.429945175314973
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,51,1760094245214669251,1760094245299670251,85,632.692,662.686,-11.724917378239118,-3.2351099959372913
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,52,1760094245334796251,1760094245635049251,300,590.335,672.045,-14.462868326634476,-3.819522331204336
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,53,1760094245725175251,1760094245810178251,85,792.033,966.593,-1.5020295637846428,-22.832737757972197
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,54,1760094245860302251,1760094246540934251,681,817.671,1058.853,0.24628368539469406,-28.757068827175992
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,55,1760094246696061251,1760094246931188251,235,738.748,751.592,-4.903201044690609,-8.994180030021525
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,56,1760094246986314251,1760094247291567251,305,880.255,746.408,4.3112293554011965,-8.66104078574943
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,57,1760094247386693251,1760094247907199251,521,829.502,1075.768,1.085661806289366,-29.842942171619885
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,58,1760094247987200251,1760094248427580251,440,679.786,703.785,-8.703123172349933,-5.8926220123412785
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,59,1760094248457705251,1760094248802959251,345,674.321,672.215,-9.040188778581966,-3.8591727584368605
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,60,1760094248908085251,1760094249398594251,491,824.294,1058.139,0.7121529652408715,-28.710219217837814
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,61,1760094249463597251,1760094249568721251,105,730.719,682.794,-5.395133929769145,-4.554052598035309
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,62,1760094249598718251,1760094250374477251,776,707.934,663.182,-6.863871326941627,-3.2844929480977667
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,63,1760094250434477251,1760094250849857251,415,938.649,767.787,8.126758402265725,-10.01020197266775
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,64,1760094250919983251,1760094251045109251,125,681.735,465.231,-8.622558076404085,9.465684666661097
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,65,1760094251060114251,1760094251190236251,130,697.166,443.217,-7.6388899287827075,10.890379815225801
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,66,1760094251220236251,1760094251500489251,280,769.762,450.637,-2.891356616545389,10.442520367831621
b4294adb-5c3d-4e4d-8da0-590d66a12d55,72bf358e-7095-46a7-ba8c-82925a3217d0,67,1760094251535490251,1760094251875868251,340,742.923,474.898,-4.630711162277654,8.870825605646846
