section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,1,1759834105589747516,1759834105719874516,130,783.203,462.485,-2.010251355765501,9.680592002342754
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,2,1759834105794874516,1759834105950001516,155,749.139,779.341,-4.240945633321704,-10.78584973546363
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,3,1759834105975126516,1759834106230253516,255,769.825,764.956,-2.8836099726073443,-9.86420160453638
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,4,1759834106270379516,1759834106720766516,450,855.389,782.783,2.704394241717772,-11.012785184718291
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,5,1759834106790891516,1759834106885884516,95,855.819,991.831,2.8606728081802535,-24.441922874548048
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,6,1759834106926010516,1759834107146137516,220,816.685,1056.8,0.1768945339401563,-28.625132764289834
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,7,1759834107206262516,1759834107331389516,125,785.822,716.545,-1.830459571554629,-6.741846408651657
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,8,1759834107361404516,1759834107556516516,195,788.59,767.346,-1.6598542718450684,-10.02133738566697
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,9,1759834107581516516,1759834107901894516,320,810.773,752.886,-0.21147351583942858,-9.089623959292801
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,10,1759834107941898516,1759834108097021516,155,891.707,763.294,5.065433046672156,-9.745284687383037
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,11,1759834108152155516,1759834110138915516,1987,796.728,488.262,-1.1245516641291415,8.017796551274103
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,12,1759834110294041516,1759834110434168516,140,872.171,1019.02,4.019084625345912,-26.17502342742116
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,13,1759834110469307516,1759834110569294516,100,897.78,1009.243,5.771515727286926,-25.52480512756894
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,14,1759834110639419516,1759834110969672516,330,701.026,702.632,-7.326437304145055,-5.825986459872139
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,15,1759834111029798516,1759834111305055516,275,935.822,722.125,7.905894920815963,-7.075596540105507
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,16,1759834111350055516,1759834111655304516,305,796.983,721.439,-1.1062446256917091,-7.0587202365221735
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,17,1759834111720441516,1759834112426064516,706,842.62,447.417,1.8685506635165319,10.652085163263036
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,18,1759834112541187516,1759834112936566516,395,899.051,726.042,5.523226534069997,-7.342032265112154
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,19,1759834113021567516,1759834113126692516,105,848.417,1009.99,2.3669521732946732,-25.6104071071049
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,20,1759834113166693516,1759834113522071516,355,799.086,1000.572,-1.034992332978331,-25.01386087315987
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,21,1759834113617197516,1759834113912460516,295,700.252,693.114,-7.371907639137382,-5.212400269589189
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,22,1759834113972450516,1759834114377829516,405,956.419,707.865,9.230063086168178,-6.149256211671076
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,23,1759834114467955516,1759834114603081516,135,837.216,960.911,1.5703326966224713,-22.46643341019071
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,24,1759834114673207516,1759834115053464516,380,809.302,976.647,-0.328209918106799,-23.47973368004525
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,25,1759834115128586516,1759834115223712516,95,924.856,631.844,7.163419384163763,-1.2621102665143966
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,26,1759834115283723516,1759834116039473516,756,752.054,688.595,-4.014830758402991,-4.932232967606253
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,27,1759834116069481516,1759834116429726516,360,815.958,674.677,0.12626606100474172,-4.036774185966048
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,28,1759834116474849516,1759834116609975516,135,870.038,731.158,3.641236641030915,-7.680110876224948
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,29,1759834116629975516,1759834116830102516,200,883.039,733.844,4.4869193178982405,-7.8500423240923345
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,30,1759834116905228516,1759834117040354516,135,848.404,970.082,2.336457718895004,-23.050713127219336
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,31,1759834117070354516,1759834117585872516,516,827.344,987.422,0.9061890433137365,-24.169406420868185
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,32,1759834117655860516,1759834117811112516,155,848.128,692.859,2.2113262158461593,-5.210474856201235
20fb1fe7-6b01-4bff-a0f7-af1d81a680d8,35874428-036f-468f-ad70-2bdecbbce21a,33,1759834117836112516,1759834118021241516,185,821.243,684.412,0.4687219473511525,-4.666123978689896
