section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333312526000,3.9907,3.5828,-31.0,17.3438,-38.0625,31.8906,20.4375,-36.125,-0.0402,0.1271,0.9911,-0.1598,0.1174,0.9801,0.1659,-0.647,8.9899,0.1912,-0.6216,8.9754
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333317525000,4.0201,3.5975,-31.0625,17.2188,-38.1875,31.8438,20.3125,-36.25,-0.0421,0.1348,0.99,-0.1587,0.1252,0.9794,0.1621,-0.6523,9.0102,0.171,-0.6582,9.1751
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333322522000,3.9907,3.7078,-31.0,17.5312,-38.25,31.9062,20.5625,-36.25,-0.05,0.1067,0.993,-0.1573,0.096,0.9829,0.1945,-0.6138,8.9222,0.2058,-0.6094,8.9963
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333327522000,3.9246,3.5975,-30.9375,17.3438,-37.9375,31.9531,20.4688,-36.25,-0.0364,0.1203,0.9921,-0.159,0.1116,0.981,0.162,-0.624,8.684,0.1884,-0.6338,9.0844
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333332528000,3.976,3.7776,-31.0625,17.25,-38.0625,31.8438,20.3125,-36.25,-0.0363,0.1213,0.992,-0.1436,0.1125,0.9832,0.1583,-0.6592,9.0474,0.1715,-0.6436,9.0121
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333337647000,3.8731,3.5498,-31.0938,17.4688,-38.0625,31.7969,20.5,-36.25,-0.0296,0.1145,0.993,-0.1514,0.1058,0.9828,0.1908,-0.626,9.0217,0.1917,-0.6226,8.9919
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333342650000,4.0275,3.6196,-31.0625,17.4375,-38.125,31.8125,20.4375,-36.25,-0.0402,0.1232,0.9916,-0.1465,0.1135,0.9827,0.1909,-0.626,9.023,0.1837,-0.6299,8.9889
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333347647000,3.9907,3.5938,-30.9062,17.375,-37.9375,32.0,20.4688,-36.1875,-0.0451,0.1213,0.9916,-0.1647,0.1125,0.9799,0.1667,-0.645,8.9768,0.2003,-0.6265,9.1316
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333352647000,3.9687,3.6949,-31.125,17.1875,-38.0625,31.7812,20.1875,-36.4688,-0.0295,0.1377,0.99,-0.1385,0.129,0.9819,0.151,-0.6694,9.0854,0.1602,-0.686,9.3772
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333357647000,3.9834,3.671,-30.9375,17.125,-38.1875,31.9375,20.25,-36.25,-0.0556,0.1377,0.9889,-0.1539,0.1281,0.9798,0.1389,-0.6694,8.9534,0.1649,-0.6704,9.2489
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333362653000,3.9503,3.649,-30.9688,17.1875,-38.0,31.9375,20.3125,-36.4375,-0.0392,0.1358,0.99,-0.1424,0.1261,0.9817,0.1404,-0.668,8.9525,0.1792,-0.6699,9.3995
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333367647000,3.9687,3.5957,-31.0625,17.1875,-38.125,31.8594,20.25,-36.125,-0.045,0.1319,0.9902,-0.1616,0.1232,0.9791,0.158,-0.6587,9.0378,0.166,-0.6641,9.1878
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333372651000,3.9687,3.6159,-31.125,17.375,-38.1875,31.75,20.4688,-36.0938,-0.0364,0.1184,0.9923,-0.1533,0.1087,0.9822,0.1841,-0.646,9.1777,0.1931,-0.6162,8.9353
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333377647000,3.976,3.5957,-31.0625,17.1875,-38.0625,31.8438,20.25,-36.2812,-0.0314,0.1387,0.9898,-0.1462,0.129,0.9808,0.1483,-0.6694,9.0561,0.1652,-0.665,9.1897
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333382647000,4.0164,3.5938,-31.0,17.2188,-37.9375,31.875,20.1875,-36.1875,-0.0334,0.1397,0.9896,-0.1557,0.13,0.9792,0.1426,-0.6523,8.7967,0.1561,-0.6738,9.1922
2283ebae-9993-4562-bbda-bcecb01089a9,d4378278-200c-414b-8530-1599c5d4866f,1760610333387647000,3.8805,3.649,-31.0,17.3125,-37.9062,31.875,20.4375,-36.25,-0.0266,0.1281,0.9914,-0.1531,0.1184,0.9811,0.1508,-0.644,8.7907,0.1887,-0.6406,9.1668
