section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928735733087,784.942,705.0,1,,,-1.8858242262940341,-5.995943243213884
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928740733087,784.761,703.816,1,,,-1.8974425114346138,-5.91942593120657
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928745733087,781.939,704.812,1,,,-2.0806024198932276,-5.983523067470337
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928750859087,773.832,706.561,1,,,-2.606890705590938,-6.095681686955256
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928755860087,773.94,707.367,1,,,-2.600061402991421,-6.147738357653742
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928760870087,770.643,708.789,1,,,-2.8142485064990015,-6.239170980691728
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928765858087,769.516,708.865,1,,,-2.8873828181372896,-6.243928003640136
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928770873087,765.38,709.402,1,,,-3.1558774707223365,-6.278049270910105
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928775859087,761.703,716.376,1,,,-3.396392151415522,-6.727805016691206
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928780869087,760.774,713.493,1,,,-3.4558684180717743,-6.5415157250933635
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928785859087,761.026,713.346,1,,,-3.4395297181264723,-6.532087192493374
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928790859087,753.36,712.33,1,,,-3.936717697876652,-6.465108481644257
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928795859087,754.196,712.858,1,,,-3.8826675929786445,-6.499346323504139
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928800859087,757.647,711.74,1,,,-3.658355585023275,-6.427828477412816
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928805859087,757.523,714.626,1,,,-3.6672751185401142,-6.614094758857321
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928810859087,756.528,714.266,1,,,-3.7317310740318854,-6.590716398286796
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928815863087,756.206,711.64,1,,,-3.7518504283671885,-6.421086409965803
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928820862087,758.281,709.937,1,,,-3.6166656848200347,-6.311493958777384
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928825859087,769.254,712.966,1,,,-2.905320789340433,-6.508800538905287
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928830862087,767.69,710.432,1,,,-3.0062777802651395,-6.344923341102786
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928835859087,778.793,709.704,1,,,-2.2855472987643712,-6.299230819508766
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928840860087,777.632,710.123,1,,,-2.36100105447268,-6.326210468159865
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928845859087,778.195,709.424,1,,,-2.3243166740698773,-6.281122244042969
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928850866087,783.469,708.211,1,,,-1.9818716007708113,-6.203279456130265
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928855860087,783.876,706.038,1,,,-1.9551371660583887,-6.062903633907621
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928860862087,783.832,706.691,1,1,,-1.9581223167233723,-6.105058871611929
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928865860087,782.156,707.514,1,1,,-2.0669654715928982,-6.158122481500779
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928870860087,783.304,709.605,1,1,,-1.9928434683551985,-6.293263782546948
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928875860087,782.911,708.345,1,1,,-2.0181392193478915,-6.211873337240634
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928880865087,784.702,712.809,1,1,,-1.9026047222836255,-6.500414193694189
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928885860087,787.688,713.91,1,1,,-1.7089088499211709,-6.57178862006759
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928890868087,789.899,704.521,1,1,,-1.5641695428100018,-5.96535253194299
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928895985087,776.987,702.435,1,1,,-2.4014252074743903,-5.829430295666721
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928900985087,772.172,707.526,1,1,,-2.714778483846216,-6.157829325455781
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928905985087,768.62,708.871,1,1,,-2.945555026223191,-6.244210023885291
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928910985087,768.769,709.402,1,1,,-2.9359930227631823,-6.278522984337349
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928915985087,773.585,710.246,1,1,,-2.6236850384701125,-6.333702397169267
83bac3c6-affa-4f0f-ac05-7ede11929c33,06c52fe6-9759-484f-809e-a08cadabf0e1,1760083928920985087,778.379,711.368,1,1,,-2.312732666216296,-6.406693687507604
