section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,1,1760435320949208840,1760435321094335840,145,735.549,310.621,-5.266706147752076,19.432870236711498
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,2,1760435321184461840,1760435321484714840,300,807.232,616.434,-0.43797022629610854,-0.2694165063224889
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,3,1760435321529840840,1760435321759970840,230,714.274,612.845,-6.447411252195008,-0.03709731730295611
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,4,1760435321795096840,1760435322425611840,631,742.862,617.119,-4.599868945747584,-0.31334656600677085
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,5,1760435322520725840,1760435322986106840,465,710.264,293.812,-6.993338951698246,20.489108381248442
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,6,1760435323166358840,1760435323531612840,365,728.13,610.446,-5.552044574436332,0.11778495186271204
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,7,1760435323586740840,1760435323841990840,255,815.679,613.01,0.10823793905062151,-0.04793349720055843
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,8,1760435323982117840,1760435324187244840,205,689.333,642.548,-8.061239031483975,-1.9513243062808507
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,9,1760435324237255840,1760435324532630840,295,836.378,607.73,1.4465885079010656,0.2936494888669878
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,10,1760435324567623840,1760435324717750840,150,791.864,661.903,-1.4331254262308686,-3.210422997331181
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,11,1760435324752750840,1760435324918002840,165,745.483,652.599,-4.433246822950689,-2.606038286156195
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,12,1760435325033003840,1760435325343382840,310,699.462,318.278,-7.670887643659857,18.910525402270306
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,13,1760435325433383840,1760435325933888840,501,597.765,597.034,-13.965724616926654,0.9749911282082284
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,14,1760435326009014840,1760435326264151840,255,867.805,585.694,3.478860017219481,1.7178985850827568
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,15,1760435326394269840,1760435326509395840,115,714.089,339.426,-6.658290820281973,17.568263880516238
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,16,1760435326539398840,1760435326759648840,220,696.55,301.828,-7.899372262384848,19.961181309211266
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,17,1760435326829785840,1760435327130027840,300,679.379,585.182,-8.70372798487897,1.7449049588395251
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,18,1760435327220028840,1760435327455280840,235,687.997,323.268,-8.427257309110988,18.57870546376881
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,19,1760435327490281840,1760435328441166840,951,678.221,318.11,-9.0918592254487,18.897620583414565
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,20,1760435328526292840,1760435328686419840,160,566.34,645.293,-15.99436617821654,-2.1043025270833384
26661457-3143-4c71-8e8b-1cb590d1b49f,e311e98d-ba09-42b6-a258-b5fad4269867,21,1760435328806546840,1760435328911672840,105,727.294,897.328,-5.7947506227865615,-18.357378265113205
