section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,1,1759918949196907575,1759918949572286575,375,639.504,611.75,-11.27419529541223,0.033612456354540694
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,2,1759918949612286575,1759918949797538575,185,687.588,590.133,-8.172735474774196,1.4267208696064297
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,3,1759918949822538575,1759918950022668575,200,715.03,598.233,-6.39905507714312,0.9060786694971376
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,4,1759918950097794575,1759918950212917575,115,805.092,967.97,-0.6135615202224236,-22.922857436271087
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,5,1759918950247917575,1759918950393043575,145,784.948,998.6,-2.0065456259969046,-24.884179300595775
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,6,1759918950473175575,1759918950813422575,340,652.619,624.21,-10.428774018616384,-0.7674297052336663
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,7,1759918950863547575,1759918951018674575,155,752.352,619.208,-3.986474338115769,-0.4485075285781354
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,8,1759918951043678575,1759918951288932575,245,791.26,600.873,-1.4708006622856984,0.7372151880582828
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,9,1759918951328934575,1759918951849431575,520,709.282,607.669,-6.7699532479496725,0.29691195986340746
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,10,1759918951934557575,1759918952084683575,150,793.607,1058.028,-1.4466956948551544,-28.7023633466074
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,11,1759918952114700575,1759918952394936575,280,791.939,1004.436,-1.5291635584776597,-25.26047533402473
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,12,1759918952419936575,1759918952565062575,145,791.45,993.112,-1.556205900646001,-24.533817523551733
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,13,1759918952640188575,1759918952745325575,105,664.8,627.749,-9.643067416123394,-0.9958885005374409
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,14,1759918952780314575,1759918952990441575,210,628.59,617.842,-11.978058474042411,-0.35721751008531566
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,15,1759918953040576575,1759918953520946575,480,765.991,602.911,-3.1047546510956665,0.6051640797700418
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,16,1759918953561071575,1759918953861324575,300,679.851,616.48,-8.67074074486767,-0.2710608219016147
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,17,1759918953896324575,1759918954261702575,365,748.167,597.493,-4.257320692294637,0.9550294102823093
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,18,1759918954401829575,1759918954772086575,370,684.081,626.966,-8.398204501971586,-0.9467724985120254
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,19,1759918954822207575,1759918955122460575,300,843.853,632.472,1.9300644250034698,-1.3066736324611046
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,20,1759918955167461575,1759918955657965575,491,728.495,636.47,-5.529649112479106,-1.5628439353362988
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,21,1759918955697965575,1759918955923217575,225,808.972,601.333,-0.32547761118899604,0.7075584494296223
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,22,1759918955983224575,1759918956098356575,115,819.767,879.099,0.37969746410935035,-17.217638899999596
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,23,1759918956138344575,1759918956603848575,466,843.119,968.448,1.9755665377700335,-22.94792677287517
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,24,1759918956683851575,1759918956803985575,120,881.411,629.788,4.357511641928312,-1.1319340403845148
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,25,1759918956829100575,1759918957694858575,866,893.031,587.094,5.108944436244483,1.6260271732666607
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,26,1759918957729858575,1759918957950110575,220,846.306,615.615,2.0884028342697234,-0.21636057063817024
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,27,1759918957970110575,1759918958350489575,380,810.205,611.808,-0.24568709537546268,0.029821032752553423
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,28,1759918958420489575,1759918958755880575,335,857.106,943.07,2.906741862124662,-21.314377291210278
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,29,1759918958830868575,1759918958990994575,160,810.941,590.459,-0.19818549933366214,1.4110485875925773
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,30,1759918959011127575,1759918959196248575,185,793.993,609.678,-1.2939923705570164,0.16764693311194104
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,31,1759918959241247575,1759918959731751575,491,646.021,532.279,-10.881280472611655,5.138884002046166
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,32,1759918959876889575,1759918960252256575,375,663.561,543.577,-9.740307120573362,4.419327677015251
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,33,1759918960272256575,1759918960412382575,140,697.636,541.703,-7.537022271310062,4.549839826735557
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,34,1759918960467383575,1759918960642634575,175,905.199,555.989,5.900628938571984,3.6326635994893413
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,35,1759918960672635575,1759918961007887575,335,939.197,564.07,8.09494325141862,3.1053539830769408
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,36,1759918961063013575,1759918961308265575,245,765.281,556.371,-3.154513017711914,3.614117594141773
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,37,1759918961328265575,1759918961463392575,135,740.433,548.669,-4.764568569699332,4.108979165638893
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,38,1759918961483392575,1759918962229023575,746,767.083,561.209,-3.0372302539811487,3.301514436015669
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,39,1759918962309149575,1759918962474276575,165,861.685,965.839,3.2368378399244566,-22.77211694705834
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,40,1759918962509276575,1759918962799654575,290,900.982,938.341,5.86208663546603,-20.980547139461667
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,41,1759918962869654575,1759918963024784575,155,736.956,499.625,-5.006811430305148,7.274184468136261
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,42,1759918963084906575,1759918963285033575,200,678.405,299.006,-9.124903812500648,20.120180330786358
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,43,1759918963330033575,1759918964015664575,686,778.88,291.489,-2.3732377726470277,20.683507770823507
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,44,1759918964140791575,1759918964596294575,456,746.292,287.671,-4.574973103416082,20.912654863320103
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,45,1759918964686295575,1759918964786421575,100,815.554,874.487,0.09953990184885281,-16.921411984700935
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,46,1759918964831422575,1759918964986673575,155,805.893,1007.878,-0.56837555734426,-25.48340918059192
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,47,1759918965006675575,1759918965216800575,210,789.589,1006.723,-1.6925887343421777,-25.406692712161504
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,48,1759918965286926575,1759918966533065575,1246,645.127,585.958,-10.914540044324855,1.6907142134571216
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,49,1759918966623188575,1759918966768314575,145,800.177,986.067,-0.9545397918481328,-24.083405560571013
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,50,1759918966788314575,1759918966963441575,175,782.625,989.36,-2.159101579536197,-24.290668085559005
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,51,1759918967043569575,1759918967273694575,230,931.628,586.871,7.601300854365139,1.6372524201460816
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,52,1759918967288818575,1759918967784198575,495,952.904,565.911,8.97911859814281,2.9840515166102892
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,53,1759918967854324575,1759918968084457575,230,675.864,521.081,-8.957390774829683,5.8708812029169986
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,54,1759918968104461575,1759918968354703575,250,648.331,524.124,-10.737725864933404,5.66357780860486
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,55,1759918968394828575,1759918968599955575,205,753.127,523.214,-3.9487971353071547,5.7549787508616985
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,56,1759918968624955575,1759918969125460575,501,723.149,523.508,-5.89232914074639,5.729736037733909
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,57,1759918969170462575,1759918969390720575,220,613.314,582.063,-12.96734509826445,1.9355690606055507
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,58,1759918969420716575,1759918969680978575,260,574.502,596.404,-15.46394896366169,1.0128227080032544
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,59,1759918969736095575,1759918970031343575,295,686.593,518.971,-8.263736359914057,6.010770207080749
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,60,1759918970046343575,1759918970736975575,691,702.652,534.236,-7.21558391634644,5.032495112017518
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,61,1759918970796975575,1759918971117357575,320,709.494,288.399,-7.05586426158444,20.835149020238905
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,62,1759918971252479575,1759918971637858575,385,728.327,311.262,-5.7499541259910405,19.386335710659324
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,63,1759918971812984575,1759918971902986575,90,804.337,931.67,-0.6565866903543641,-20.593677350524697
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,64,1759918971943113575,1759918972103237575,160,801.611,984.49,-0.8558194011644225,-23.98237817039463
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,65,1759918972123237575,1759918972793868575,671,791.106,995.42,-1.581136603703442,-24.681844605831884
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,66,1759918972823868575,1759918973309373575,486,801.503,985.228,-0.8634239585487463,-24.02974197097865
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,67,1759918973379373575,1759918973509500575,130,840.545,642.296,1.7165083247223343,-1.9421016123216277
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,68,1759918973539625575,1759918974380382575,841,858.722,622.867,2.8909957503862063,-0.6852536237367629
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,69,1759918974455383575,1759918974540509575,85,820.291,949.491,0.41967912403789454,-21.737012385935795
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,70,1759918974635648575,1759918974820761575,185,676.567,284.714,-9.28528396581733,21.03202070995932
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,71,1759918974850774575,1759918974960888575,110,694.717,312.717,-7.99955060220934,19.261816519443613
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,72,1759918975015888575,1759918976347154575,1331,906.527,296.223,6.220637542196454,20.339517296819494
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,73,1759918976392275575,1759918976922655575,530,754.194,290.458,-4.038514895296862,20.738684910258844
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,74,1759918977278033575,1759918977858539575,581,805.031,993.145,-0.6239214420923502,-24.537991390691303
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,75,1759918978023792575,1759918978424044575,400,846.897,636.09,2.1270104781132226,-1.5405424936057757
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,76,1759918978499172575,1759918978679296575,180,760.415,308.168,-3.6014709064040438,19.605216464944302
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,77,1759918978699421575,1759918978804427575,105,750.892,284.705,-4.268226398307781,21.1058439041304
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,78,1759918978874548575,1759918978954556575,80,645.373,630.509,-10.89701301194169,-1.1716282508322218
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,79,1759918978979674575,1759918979174801575,195,621.135,594.356,-12.460152150918953,1.1488305615734256
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,80,1759918979244926575,1759918979440053575,195,736.672,322.692,-5.175461990538744,18.65909697059482
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,81,1759918979465058575,1759918980546063575,1081,750.471,294.991,-4.284124850187555,20.445616290732065
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,82,1759918980591063575,1759918980921441575,330,881.049,287.113,4.518068198010984,20.94471217920918
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,83,1759918980961442575,1759918982082452575,1121,766.706,293.431,-3.1921975814087444,20.554186480172277
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,84,1759918982162578575,1759918982487831575,325,877.115,659.255,4.082809553736174,-3.0360812532960177
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,85,1759918982968335575,1759918983188587575,220,804.132,1004.55,-0.6888689164447944,-25.269730775241584
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,86,1759918983263594575,1759918983533840575,270,699.922,624.286,-7.374903731694604,-0.7749131573749547
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,87,1759918983573840575,1759918983824093575,250,766.835,629.038,-3.0503566211876048,-1.0842850323541604
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,88,1759918983874218575,1759918984024344575,150,640.866,631.391,-11.187865085359189,-1.227803617369749
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,89,1759918984069345575,1759918984319598575,250,773.561,630.912,-2.6154965607404463,-1.205618469982311
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,90,1759918984389598575,1759918984870111575,481,763.477,305.063,-3.3988162219127886,19.805954171768448
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,91,1759918984975228575,1759918985120362575,145,879.203,958.008,4.417845643931266,-22.258700040020717
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,92,1759918985155355575,1759918985685859575,531,836.82,1014.131,1.5685465556125657,-25.880620532990626
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,93,1759918985775985575,1759918986016112575,240,695.405,578.511,-7.6697941567376136,2.176675359311231
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,94,1759918986046238575,1759918986261365575,215,652.322,576.733,-10.452632002802742,2.2846794965023594
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,95,1759918986326490575,1759918986531621575,205,932.808,599.493,7.67604724957572,0.8235980357138026
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,96,1759918986561617575,1759918986871995575,310,978.784,577.051,10.644682749207684,2.262615028892727
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,97,1759918986941996575,1759918987367375575,425,737.337,307.908,-5.150458878572344,19.608191235630233
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,98,1759918987542626575,1759918987907880575,365,800.023,996.894,-0.9690924240348078,-24.778026706571193
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,99,1759918987937881575,1759918988108131575,170,841.779,991.387,1.8973218348992817,-24.419763018261904
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,100,1759918988173132575,1759918988568515575,395,864.5,616.41,3.2643854199635176,-0.2677044809762914
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,101,1759918988628636575,1759918989079015575,450,621.405,579.204,-12.446561237341124,2.1203028795053958
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,102,1759918989124015575,1759918989294146575,170,717.826,618.132,-6.217984359431762,-0.3783667002195361
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,103,1759918989319267575,1759918989464394575,145,742.23,627.361,-4.641128710186168,-0.9751432922556059
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,104,1759918989674521575,1759918990004899575,330,852.743,989.544,2.647727367662931,-24.29686113662895
23e3e238-a03f-4bde-9a46-dbc55f04faf5,d4e3433c-1072-41d3-a0d1-ce93a73e1050,105,1759918990079899575,1759918990910657575,831,720.455,623.222,-6.0482786958611445,-0.707011573407542
