section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,1,1759919496999356628,1759919497399734628,400,754.2,362.147,-3.9672697390496623,16.13476765621606
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,2,1759919497459735628,1759919497890239628,431,667.324,660.183,-9.487669384543706,-3.0831670593346625
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,3,1759919497930248628,1759919498565759628,636,749.949,669.957,-4.147115909491966,-3.7280067327121684
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,4,1759919498635871628,1759919498756000628,120,787.013,1037.837,-1.8938518442855,-27.403237337138556
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,5,1759919498780997628,1759919498906123628,125,768.971,1055.306,-3.176212544771756,-28.517589386817434
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,6,1759919498931124628,1759919499246502628,315,740.511,1043.651,-5.150811185931052,-27.74785716385699
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,7,1759919499316502628,1759919499536754628,220,677.029,680.672,-8.868850786286083,-4.404251783240784
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,8,1759919499586755628,1759919500327386628,741,844.656,680.217,1.9850048208210456,-4.393757204149223
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,9,1759919500377512628,1759919500883017628,506,742.305,652.654,-4.638779657148382,-2.6093007535450643
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,10,1759919500953017628,1759919501078143628,125,779.664,1014.908,-2.3845209820858244,-25.9286918943988
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,11,1759919501098144628,1759919501368407628,270,776.587,1051.449,-2.6365946018795996,-28.27365146223507
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,12,1759919501438533628,1759919501683652628,245,713.754,659.399,-6.4865448784084565,-3.0413728738560954
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,13,1759919501723774628,1759919502644658628,921,781.406,656.197,-2.109523504371909,-2.8410298354630394
4c1e1c89-1cd0-4536-a75a-f6f3bdc1a1e4,76519935-d1b1-4e9c-997b-f9841c382d53,14,1759919502684658628,1759919502954911628,270,681.62,664.426,-8.565397202561392,-3.3594954541918423
