saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s],main sequence ratio,Q ratio
1,3723532000,3788532000,65,244.7797241210937,15.787392616271973,3810.784423828125,6977.28857421875,28.504356720195716,1.8309323746027366
2,4068784000,4118909000,50,213.3907928466797,13.624199867248535,4138.2939453125,7164.74951171875,33.575720002439795,1.7313292884461133
3,4324036000,4374049000,50,212.039291381836,13.66832447052002,4266.392578125,7147.3330078125,33.70758768921619,1.6752637918176811
7,5790432000,5835424000,45,163.99935913085938,10.476694107055664,3165.920166015625,5498.3251953125,33.52650415496589,1.7367226294377012
11,6946433000,6996562000,50,205.0005798339844,13.233755111694336,3602.270751953125,6490.91796875,31.66292492443943,1.8018961970669949
15,8262694000,8282701000,20,17.804210662841797,1.1467862129211426,895.3739013671875,996.9729614257812,55.99647073972841,1.1134710983908036
16,8708073000,8763198000,55,190.608627319336,12.316067695617676,3582.140869140625,6217.8271484375,32.62091142401686,1.7357852121346613
17,9078451000,9133452000,55,237.2556610107422,15.322693824768066,4505.2041015625,6861.4892578125,28.920234099290187,1.5230140750854753
24,11115344000,11150344000,35,44.5591049194336,2.8577537536621094,1302.051025390625,1989.2259521484373,44.642412717784964,1.527763438880327
25,11485721000,11520722000,35,74.20279693603516,4.74727725982666,1991.9432373046875,2861.04345703125,38.55708376461264,1.4363077237595123
32,14323370000,14373371000,50,176.47361755371094,11.33773136138916,3321.078125,5602.62158203125,31.74764398041568,1.6869887943485973
35,15474380000,15579506000,105,69.05574035644531,4.448694705963135,1293.055419921875,1688.00341796875,24.444070967247264,1.305437796371278
43,18026782000,18046781000,20,18.31344413757324,1.1789652109146118,951.948486328125,1039.55712890625,56.76469816911263,1.0920308649431765
47,19057786000,19087786000,30,38.94082260131836,2.505701303482056,1218.5596923828125,1735.8912353515625,44.57767246274847,1.4245434558541343
48,19338038000,19393038000,55,201.3722076416016,12.95301628112793,3312.99267578125,6358.4677734375,31.575696804964167,1.9192519862538133
49,19608290000,19638290000,30,41.6575813293457,2.682758092880249,1182.6588134765625,1390.4090576171875,33.37709519485984,1.1756637178645961
54,20739300000,20774300000,35,38.291236877441406,2.467496156692505,1138.9334716796875,1461.231689453125,38.16099475005424,1.282982479475395
58,22190687000,22225687000,35,65.0413818359375,4.178590297698975,1705.8311767578125,2888.683837890625,44.41301455090753,1.6934171899595605
59,22555940000,22626066000,70,283.4171142578125,18.28496551513672,4070.5556640625,7837.47021484375,27.653482519458358,1.9254054880118725
60,22846193000,22961319000,115,113.71439361572266,7.343374252319336,1844.5347900390625,3822.55810546875,33.61542882940921,2.0723697520434397
61,24207454000,24252579000,45,113.30819702148438,7.319499969482422,2637.732421875,3900.44091796875,34.42328993399469,1.4787098515459611
62,25663842000,25698842000,35,57.93743896484375,3.745093107223511,1663.0997314453125,2188.7958984375,37.77860978228006,1.3160941927008385
