timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.151,2.903,-30.5938,17.0625,-35.9688,32.4375,17.8125,-35.75,0.0138,-0.2365,0.9715,0.0014,-0.2413,0.9705,0.5732,-0.2404,8.9637,0.5737,-0.1805,8.3135,63.036141642156366
5000000,3.1125,2.8718,-30.4688,17.0312,-36.0,32.5625,17.7812,-35.875,0.009,-0.2346,0.972,-0.0081,-0.2413,0.9704,0.5688,-0.2472,8.9889,0.5796,-0.1815,8.3908,63.03588584838005
10000000,3.1308,2.8773,-30.4688,17.125,-35.9375,32.5625,17.625,-36.0,0.0138,-0.2365,0.9715,0.0147,-0.2413,0.9704,0.5762,-0.2397,8.9903,0.5581,-0.196,8.3059,63.03331409611905
15000000,3.151,2.8883,-30.5938,17.0625,-36.0625,32.4375,17.6562,-35.875,0.0157,-0.2308,0.9729,0.009,-0.2346,0.972,0.5703,-0.2394,8.9197,0.5591,-0.1927,8.2809,63.03437487300084
20000000,3.0757,2.914,-30.4688,17.0,-35.9375,32.5625,17.6875,-36.0,0.0147,-0.2318,0.9727,0.0081,-0.2365,0.9716,0.5522,-0.2444,8.7698,0.5732,-0.1936,8.451,63.035080250524
25006000,3.0684,2.9177,-30.5625,16.9375,-36.0625,32.4688,17.6562,-35.875,0.0157,-0.2318,0.9726,0.0052,-0.2346,0.9721,0.5586,-0.2551,8.9598,0.5591,-0.1866,8.2141,63.035676133678464
30000000,3.0757,2.8901,-30.5625,17.0,-36.0,32.4688,17.625,-36.0625,0.0109,-0.2289,0.9734,0.0119,-0.2337,0.9722,0.5684,-0.2488,9.0008,0.5542,-0.1982,8.2857,63.03442956781635
35001000,3.0573,2.8699,-30.5938,17.0312,-36.0,32.4375,17.6875,-36.0,0.0195,-0.2318,0.9726,0.0157,-0.2365,0.9715,0.563,-0.2458,8.9077,0.5659,-0.1859,8.2836,63.034716699450634
40000000,3.1014,2.892,-30.625,17.0,-36.0,32.4062,17.6875,-35.9375,0.0195,-0.2318,0.9726,0.0128,-0.2365,0.9715,0.5562,-0.2462,8.8342,0.5635,-0.1891,8.2906,63.03498025652106
45001000,3.0996,2.9214,-30.75,16.9375,-36.125,32.2812,17.5312,-35.9688,0.0233,-0.2261,0.9738,0.0261,-0.2308,0.9726,0.5615,-0.2603,9.0494,0.5474,-0.201,8.239,63.03418954480179
50001000,3.1161,2.8957,-30.6875,17.0312,-36.125,32.3438,17.75,-35.9375,0.0242,-0.2337,0.972,0.0156,-0.2384,0.971,0.5649,-0.2469,8.9419,0.5615,-0.1847,8.2204,63.03567727390577
55005000,3.1014,2.8883,-30.625,17.0312,-36.1562,32.4375,17.7812,-35.9375,0.0128,-0.2318,0.9727,0.0128,-0.2365,0.9715,0.5635,-0.2303,8.743,0.5737,-0.1825,8.3349,63.06733890009947
60001000,3.1419,2.8442,-30.625,16.9375,-36.125,32.4062,17.625,-36.0,0.0138,-0.2232,0.9747,0.0119,-0.2289,0.9734,0.5518,-0.2505,8.8313,0.5454,-0.2,8.2049,63.03507321079273
65001000,3.1106,2.881,-30.5938,17.0625,-36.0,32.4375,17.75,-35.9062,0.0128,-0.2337,0.9722,0.009,-0.2365,0.9716,0.5596,-0.2408,8.8139,0.5742,-0.1938,8.4648,63.035119055808885
70001000,3.0647,2.7909,-30.6562,17.0,-36.0625,32.375,17.625,-36.0625,0.0224,-0.2242,0.9743,0.0176,-0.228,0.9735,0.5566,-0.2527,8.9108,0.5493,-0.2065,8.3214,63.034298587673675
