timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.0463,2.9489,-30.625,16.5938,-36.25,32.4375,17.25,-36.0,0.0428,-0.1706,0.9844,0.0437,-0.1734,0.9839,0.5366,-0.322,9.4481,0.4668,-0.2668,8.0539,63.066409479928375
5000000,3.0206,3.0353,-30.75,16.5625,-35.9688,32.3125,17.1562,-36.0625,0.066,-0.16,0.9849,0.0554,-0.1629,0.9851,0.5386,-0.3259,9.5133,0.4548,-0.2722,7.979,63.065364231327486
10000000,3.0849,2.9894,-30.6875,16.5938,-36.25,32.3438,17.25,-36.0,0.0467,-0.1677,0.9847,0.0399,-0.1706,0.9845,0.5342,-0.3203,9.4016,0.4685,-0.2639,8.0408,63.035211414970284
15007000,3.0573,3.0757,-30.625,16.5938,-36.125,32.4375,17.3125,-35.9375,0.0447,-0.1715,0.9842,0.038,-0.1763,0.9836,0.5264,-0.3218,9.3296,0.4805,-0.2629,8.1643,63.066873968748446
20000000,3.0426,3.0022,-30.5938,16.8438,-36.1562,32.4375,17.375,-36.0625,0.0446,-0.1859,0.9816,0.0369,-0.1888,0.9813,0.5674,-0.2966,9.5164,0.48,-0.2571,8.0944,63.03360796289548
25000000,3.039,2.9985,-30.6875,16.5938,-36.0938,32.3438,17.2188,-36.0938,0.0582,-0.1686,0.984,0.0495,-0.1715,0.9839,0.5366,-0.3218,9.4454,0.4617,-0.2664,7.9911,63.03439858275797
30000000,3.0243,2.9967,-30.5938,16.8438,-36.0938,32.4688,17.5,-36.0,0.0455,-0.1888,0.981,0.0359,-0.1917,0.9808,0.5664,-0.2937,9.473,0.4956,-0.2472,8.1613,63.066083718905524
35000000,3.0316,3.0243,-30.75,16.625,-36.0625,32.2812,17.2188,-36.0625,0.0611,-0.1677,0.9839,0.0476,-0.1706,0.9842,0.5454,-0.3225,9.5529,0.4529,-0.2627,7.8524,63.033996953072865
40000000,3.0537,2.9875,-30.6875,16.875,-36.2188,32.3438,17.5312,-35.9375,0.0474,-0.1888,0.9809,0.0378,-0.1917,0.9807,0.5713,-0.2937,9.5285,0.5068,-0.2444,8.2568,63.03534332277409
45000000,3.0537,3.0463,-30.7812,16.5625,-36.125,32.25,17.1875,-36.0625,0.0621,-0.1629,0.9847,0.0582,-0.1657,0.9844,0.541,-0.3311,9.5976,0.46,-0.2686,7.9961,63.03432957278121
50000000,3.0812,3.0096,-30.5938,16.625,-36.1562,32.4375,17.25,-36.125,0.0467,-0.1686,0.9846,0.0428,-0.1734,0.9839,0.5464,-0.3169,9.502,0.4763,-0.2705,8.201,63.034406304255775
55000000,3.1198,3.061,-30.625,16.5312,-36.3125,32.4062,17.3125,-35.9375,0.0428,-0.1686,0.9847,0.0351,-0.1715,0.9846,0.5352,-0.3167,9.3722,0.4775,-0.2549,8.0428,63.037157519434516
60125000,3.0573,2.9765,-30.75,16.625,-36.2812,32.3125,17.25,-36.125,0.0486,-0.1706,0.9842,0.0533,-0.1754,0.9831,0.5454,-0.3157,9.4774,0.4617,-0.2639,7.9642,63.06579048652288
65125000,3.0132,2.9949,-30.75,16.5938,-36.0625,32.3125,17.2188,-35.9688,0.066,-0.1609,0.9848,0.0477,-0.1648,0.9852,0.5386,-0.325,9.5026,0.4648,-0.272,8.0884,63.06566665738181
70017000,3.0573,3.0353,-30.6562,16.6875,-36.125,32.375,17.375,-35.9375,0.0514,-0.1734,0.9835,0.038,-0.1763,0.9836,0.5532,-0.3152,9.5605,0.48,-0.2534,8.0541,63.03522813427425
75131000,2.9949,3.0151,-30.6562,16.5938,-36.1875,32.375,17.3125,-36.0,0.0505,-0.1677,0.9845,0.0447,-0.1706,0.9843,0.5381,-0.3235,9.4809,0.4731,-0.2654,8.109,63.035576140620776
80125000,3.0243,3.0206,-30.6562,16.75,-36.0625,32.375,17.375,-36.0,0.0552,-0.1782,0.9824,0.0427,-0.1811,0.9825,0.5503,-0.3022,9.3845,0.4788,-0.2607,8.121,63.03432957278121
85125000,2.9398,2.9838,-30.5938,16.75,-35.875,32.4688,17.3125,-35.9375,0.062,-0.1686,0.9837,0.037,-0.1715,0.9845,0.5586,-0.3,9.4544,0.4741,-0.2661,8.128,63.06513958804817
90126000,3.0904,3.0132,-30.625,16.5625,-36.2812,32.4375,17.25,-35.9688,0.0399,-0.1686,0.9849,0.038,-0.1706,0.9846,0.5381,-0.3223,9.4674,0.4688,-0.2651,8.057,63.06702114623776
95125000,3.039,2.9875,-30.625,16.5625,-36.125,32.4375,17.3125,-35.9375,0.0515,-0.1657,0.9848,0.038,-0.1706,0.9846,0.5278,-0.3218,9.3461,0.4829,-0.2615,8.1756,63.067238424557644
100126000,3.0573,3.0096,-30.625,16.5938,-36.0625,32.4375,17.2188,-36.125,0.0525,-0.1657,0.9848,0.0534,-0.1706,0.9839,0.5298,-0.321,9.3601,0.4695,-0.2727,8.1485,63.065628019548015
105125000,3.0426,2.9802,-30.5938,16.5938,-36.0625,32.4688,17.2188,-36.125,0.0467,-0.1657,0.9851,0.0399,-0.1706,0.9845,0.5386,-0.3279,9.5349,0.4631,-0.2639,7.9807,63.06572801458809
110126000,3.0482,3.05,-30.5938,16.5938,-36.125,32.4375,17.2188,-36.1875,0.0515,-0.1686,0.9843,0.0514,-0.1734,0.9835,0.5391,-0.3225,9.4811,0.4785,-0.2737,8.2606,63.03442956781635
115125000,3.0426,2.9949,-30.625,16.7188,-35.9375,32.4375,17.3125,-35.9375,0.0601,-0.1706,0.9835,0.0341,-0.1734,0.9843,0.5479,-0.3022,9.3569,0.4651,-0.262,7.9811,63.06529462342977
120126000,3.05,2.9985,-30.75,16.625,-36.3125,32.3125,17.3125,-36.125,0.0495,-0.1754,0.9833,0.0514,-0.1792,0.9825,0.5508,-0.3176,9.5598,0.4731,-0.2549,7.9935,63.06652613510594
125126000,3.0665,3.0482,-30.75,16.75,-36.1562,32.3125,17.5,-36.0625,0.0551,-0.1859,0.981,0.0484,-0.1898,0.9806,0.5581,-0.303,9.4811,0.49,-0.233,7.9426,63.06702930961629
130129000,3.05,2.9894,-30.875,16.8125,-36.25,32.1875,17.5,-35.875,0.0628,-0.184,0.9809,0.0513,-0.1869,0.981,0.5654,-0.3059,9.5965,0.478,-0.2404,7.8887,63.067362300162834
135126000,3.0316,3.0371,-30.8125,16.5625,-36.1875,32.25,17.1562,-35.9688,0.0621,-0.1609,0.985,0.0515,-0.1648,0.985,0.5386,-0.3269,9.5241,0.4507,-0.2832,8.0535,63.06567382998457
140126000,3.0371,2.9949,-30.7812,16.5938,-36.125,32.2812,17.25,-36.0,0.0611,-0.1686,0.9838,0.0457,-0.1715,0.9841,0.5386,-0.3252,9.5053,0.4731,-0.2671,8.1278,63.065937852377964
145126000,3.061,3.0353,-30.5938,17.0,-36.25,32.4375,17.6875,-35.9375,0.0358,-0.2051,0.9781,0.0244,-0.2079,0.9778,0.5786,-0.2744,9.3992,0.5366,-0.2159,8.2808,63.035823879679725
150126000,3.0647,2.9159,-30.5625,16.8125,-36.375,32.5312,17.5,-36.375,0.0053,-0.1993,0.9799,0.0349,-0.2032,0.9785,0.5342,-0.2825,8.9843,0.5044,-0.2312,8.0846,63.09744555796217
155126000,3.1051,3.0243,-30.5625,16.6875,-36.4375,32.5,17.4688,-35.9375,-0.0101,-0.1898,0.9818,-0.0014,-0.1946,0.9809,0.5146,-0.2849,8.7907,0.5322,-0.2281,8.365,63.06932167020666
160133000,3.1088,2.9838,-30.75,16.9062,-36.4688,32.3125,17.75,-35.9375,0.0005,-0.2156,0.9765,0.0005,-0.2203,0.9754,0.5454,-0.2524,8.7809,0.5728,-0.2076,8.5993,63.07038278288788
165130000,3.1529,2.9104,-30.75,16.625,-36.5312,32.3125,17.5312,-36.125,-0.01,-0.2032,0.9791,-0.0119,-0.2099,0.9777,0.5103,-0.2793,8.6793,0.5518,-0.2268,8.5713,63.07031871752354
170126000,3.2007,2.9177,-30.8125,16.5938,-36.4375,32.2188,17.4375,-36.0,0.0005,-0.2003,0.9797,-0.0081,-0.2051,0.9787,0.502,-0.2871,8.6719,0.5332,-0.2324,8.4229,63.03846457227524
175126000,3.2301,2.8846,-30.9062,16.7188,-36.5,32.1562,17.625,-36.0625,-0.0043,-0.2127,0.9771,0.0024,-0.2175,0.9761,0.5254,-0.2795,8.8527,0.5518,-0.2072,8.3557,63.070428082025884
180126000,3.2007,2.9067,-30.8125,16.625,-36.5,32.2188,17.375,-35.9375,-0.0043,-0.2003,0.9797,-0.0177,-0.2032,0.979,0.522,-0.2876,8.9029,0.5308,-0.2346,8.4195,63.038271597022714
185126000,3.1749,2.8589,-30.9062,16.5625,-36.5,32.1562,17.375,-36.0625,0.0024,-0.1965,0.9805,-0.0043,-0.2003,0.9797,0.5176,-0.2917,8.899,0.5186,-0.2343,8.2777,63.06915138369946
190139000,3.1786,2.8607,-31.0938,16.5625,-36.5,31.9375,17.375,-36.0,0.0129,-0.1965,0.9804,0.01,-0.1993,0.9799,0.5283,-0.2966,9.0741,0.5063,-0.234,8.1374,63.038519461833815
195130000,3.1529,2.8993,-30.9062,16.6875,-36.4375,32.1562,17.4375,-36.0625,0.0024,-0.2051,0.9787,-0.0024,-0.2079,0.9781,0.5278,-0.2805,8.891,0.5303,-0.2338,8.4046,63.06797458900991
200251000,3.1804,2.8938,-30.875,16.625,-36.3125,32.1875,17.375,-36.1562,0.0072,-0.1993,0.9799,0.0081,-0.2032,0.9791,0.5239,-0.2815,8.8577,0.5273,-0.2404,8.4439,63.06715338383365
205259000,3.1584,2.9048,-30.75,16.6875,-36.4375,32.3125,17.5,-36.1875,-0.0072,-0.2079,0.9781,0.0005,-0.2127,0.9771,0.541,-0.2781,9.0132,0.5518,-0.2275,8.5793,63.068229422586455
210252000,3.1602,2.9104,-30.8125,16.625,-36.375,32.25,17.4688,-36.0938,0.0024,-0.2032,0.9791,-0.0024,-0.2079,0.9781,0.5371,-0.2839,9.0335,0.5459,-0.226,8.4955,63.06877181402853
215254000,3.1639,2.903,-30.6875,16.5938,-36.5,32.3438,17.4375,-35.9688,-0.0148,-0.1965,0.9804,-0.0225,-0.2022,0.9791,0.5107,-0.2837,8.7332,0.543,-0.2299,8.5052,63.03918450313265
220252000,3.197,2.9214,-30.75,16.75,-36.4375,32.3125,17.4688,-36.1875,-0.0024,-0.2099,0.9777,-0.0024,-0.2137,0.9769,0.5356,-0.2734,8.9014,0.5474,-0.2296,8.5523,63.067091891809945
225252000,3.1786,2.8405,-30.625,16.7188,-36.3125,32.4062,17.4375,-36.2812,-0.0072,-0.2032,0.9791,-0.0119,-0.2099,0.9777,0.5347,-0.2698,8.85,0.5376,-0.2299,8.4445,63.035305050582565
230251000,3.1566,2.9581,-30.5625,16.625,-36.375,32.5,17.4375,-36.2812,-0.0177,-0.2003,0.9796,-0.01,-0.207,0.9783,0.5254,-0.2849,8.9119,0.5586,-0.2198,8.5724,63.06780367937352
235252000,3.2043,2.9177,-30.7812,16.875,-36.3125,32.2812,17.6562,-36.125,-0.0014,-0.2203,0.9754,-0.0014,-0.2261,0.9741,0.5566,-0.2561,8.9484,0.5786,-0.2004,8.5869,63.06751718158881
240252000,3.2117,2.9287,-30.6875,16.8438,-36.3125,32.3125,17.625,-35.9375,-0.0052,-0.2175,0.976,-0.0119,-0.2213,0.9751,0.5483,-0.2671,8.9751,0.5713,-0.217,8.6857,63.00595922958399
245252000,3.1529,2.9159,-30.5,16.8125,-36.375,32.5625,17.5312,-36.0,-0.0253,-0.2108,0.9772,-0.0224,-0.2175,0.9758,0.5483,-0.2681,8.9859,0.5742,-0.22,8.7511,63.067710129193685
250252000,3.1474,2.8663,-30.75,16.8125,-36.3438,32.3125,17.5625,-36.0625,-0.0053,-0.2127,0.9771,-0.0052,-0.2184,0.9758,0.5596,-0.2712,9.1481,0.583,-0.2144,8.7894,63.06758704707197
255252000,3.1676,2.9398,-30.875,16.8125,-36.375,32.1875,17.5312,-35.9375,0.0005,-0.2137,0.9769,-0.0081,-0.2184,0.9758,0.561,-0.2705,9.1566,0.5454,-0.2172,8.3936,63.06811272100981
260252000,3.1621,2.914,-30.5938,16.5938,-36.4375,32.4688,17.375,-36.2188,-0.0254,-0.1993,0.9796,-0.0129,-0.2032,0.9791,0.5239,-0.2871,8.9195,0.5454,-0.2452,8.7018,63.06781764014037
265252000,3.197,2.8846,-30.625,16.8438,-36.3125,32.4375,17.6562,-36.0625,-0.0119,-0.2184,0.9758,-0.01,-0.2242,0.9745,0.5464,-0.2649,8.9289,0.5728,-0.2039,8.5578,63.06822813437841
270252000,3.2282,2.9783,-30.7812,16.6875,-36.5938,32.25,17.4688,-36.125,-0.0158,-0.2099,0.9776,-0.0053,-0.2137,0.9769,0.5396,-0.28,9.0181,0.5532,-0.2346,8.6736,63.037785308257774
