timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.5387,3.603,-31.2812,15.75,-34.375,31.7969,17.2188,-33.1562,-0.1067,0.2289,0.9676,-0.1089,0.2184,0.9698,-0.0009,-0.6943,7.7151,0.048,-0.7329,8.6969,63.106969080205396
5125000,3.5681,3.7096,-31.2188,15.6562,-34.2812,31.8594,17.1562,-33.5,-0.1095,0.2318,0.9666,-0.0918,0.2213,0.9709,-0.0183,-0.7124,7.7354,0.0432,-0.7437,8.7696,63.100868367083514
10008000,3.5828,3.7372,-30.9375,16.0625,-34.2812,32.1562,17.4375,-33.625,-0.1281,0.2079,0.9697,-0.1075,0.1974,0.9744,0.0244,-0.645,7.4225,0.0718,-0.7178,8.7798,63.1120923684994
15125000,3.5204,3.7023,-31.125,15.875,-34.1875,31.9375,17.25,-33.5312,-0.1052,0.2146,0.971,-0.0988,0.2051,0.9738,-0.0078,-0.6846,7.5278,0.0504,-0.7397,8.8026,63.0809025057505
20125000,3.6379,3.6967,-31.4062,15.6562,-34.0625,31.6875,17.2188,-33.4375,-0.0887,0.2299,0.9692,-0.0813,0.2213,0.9718,-0.0215,-0.7158,7.7402,0.0526,-0.7251,8.6559,63.11614154437833
25125000,3.5571,3.6729,-31.0625,15.75,-34.1562,32.0,17.2188,-33.5625,-0.1087,0.2251,0.9683,-0.109,0.2156,0.9704,-0.0093,-0.6958,7.6411,0.0469,-0.7471,8.8497,63.08239658874732
30125000,3.6122,3.649,-31.0625,15.6875,-34.25,32.0,17.125,-33.375,-0.1255,0.2318,0.9646,-0.1088,0.2222,0.9689,-0.0122,-0.6982,7.6382,0.0407,-0.7544,8.8681,63.084950166422416
35125000,3.5498,3.7078,-31.125,15.7812,-34.25,31.9375,17.2188,-33.4688,-0.1247,0.228,0.9657,-0.1042,0.2175,0.9705,-0.0108,-0.7021,7.6977,0.0461,-0.7456,8.824,63.08372114460275
40126000,3.5461,3.7041,-31.375,15.6875,-34.0625,31.7188,17.1562,-33.4375,-0.0943,0.2337,0.9677,-0.0908,0.2241,0.9703,-0.0193,-0.7119,7.7193,0.0414,-0.7422,8.7322,63.11398658879029
45126000,3.4781,3.66,-31.3125,15.6562,-34.0625,31.75,17.0625,-33.4375,-0.098,0.2393,0.966,-0.0964,0.228,0.9689,-0.0253,-0.707,7.5973,0.0264,-0.7578,8.7522,63.08127464580912
50126000,3.4891,3.7151,-31.3125,15.6562,-34.0,31.75,17.1562,-33.5312,-0.1047,0.2346,0.9664,-0.1021,0.2232,0.9694,-0.0251,-0.7061,7.5881,0.0359,-0.7461,8.7182,63.082078910654175
55126000,3.4322,3.7114,-31.25,15.75,-34.25,31.8438,17.1562,-33.5,-0.1304,0.227,0.9651,-0.1156,0.2146,0.9698,-0.0118,-0.7046,7.7151,0.0346,-0.749,8.7385,63.11392474628717
60137000,3.4395,3.6104,-31.2188,15.9688,-34.4375,31.8906,17.25,-33.3125,-0.1404,0.2089,0.9678,-0.1341,0.1974,0.9711,0.0136,-0.6577,7.4512,0.0428,-0.7295,8.5999,63.13242801286832
65126000,3.5204,3.6857,-31.125,15.8125,-34.25,31.9375,17.1875,-33.3125,-0.1438,0.2194,0.965,-0.1414,0.2079,0.9679,-0.0096,-0.6987,7.6717,0.035,-0.7432,8.6747,63.084454800687624
70126000,3.5626,3.7739,-31.1875,15.75,-34.125,31.8906,17.1875,-33.4375,-0.1221,0.2184,0.9682,-0.1234,0.2079,0.9703,-0.0171,-0.6958,7.5563,0.0333,-0.7505,8.7416,63.0982231295779
75126000,3.502,3.682,-31.4375,15.5,-34.2188,31.6406,17.0312,-33.3125,-0.1196,0.2393,0.9635,-0.1125,0.2261,0.9676,-0.0345,-0.7241,7.6944,0.0215,-0.75,8.6067,63.10319051157398
80126000,3.5608,3.7996,-31.4375,15.875,-34.2812,31.6406,17.25,-33.4375,-0.1156,0.2165,0.9694,-0.1054,0.2041,0.9733,-0.0042,-0.6904,7.6351,0.0447,-0.7222,8.536,63.09872545701696
85126000,3.5957,3.6912,-31.3125,15.6562,-34.1875,31.75,17.1562,-33.2812,-0.1257,0.2251,0.9662,-0.1175,0.2137,0.9698,-0.0266,-0.7207,7.7419,0.0288,-0.7412,8.5837,63.08684717070587
90126000,3.5057,3.7537,-31.1875,15.875,-34.1875,31.9062,17.3125,-33.5625,-0.1203,0.2175,0.9686,-0.1102,0.2051,0.9725,-0.0035,-0.686,7.5908,0.0529,-0.7275,8.6873,63.11316828475655
