timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,4.564,4.2957,-32.0625,15.7812,-42.6875,30.7812,17.9375,-39.0625,0.0805,0.2156,0.9732,-0.3083,0.1955,0.931,0.0901,-0.8408,10.4244,0.1777,-0.9009,12.0992,62.98508461834436
5000000,4.575,4.2663,-31.9062,15.6562,-42.75,30.9531,17.9688,-39.5,0.0642,0.2232,0.9727,-0.3023,0.2041,0.9311,0.0764,-0.8481,10.3616,0.1775,-0.9038,12.1317,62.985730250986215
10000000,4.4794,4.3361,-32.0312,15.75,-42.5,30.8438,17.8438,-39.1875,0.0821,0.2308,0.9695,-0.3029,0.2098,0.9296,0.0853,-0.8398,10.3608,0.1636,-0.9087,12.0382,62.997002148435605
15009000,4.5309,4.2773,-31.8438,15.4375,-42.4375,31.0156,17.5625,-39.0,0.0694,0.2507,0.9656,-0.3231,0.2289,0.9182,0.0311,-0.8799,10.2466,0.1305,-0.937,12.0182,62.98917525742022
20000000,4.5456,4.3435,-32.0,15.9375,-42.6875,30.875,18.125,-39.1875,0.074,0.2079,0.9753,-0.3088,0.1878,0.9324,0.1038,-0.8179,10.3024,0.2078,-0.8706,12.0656,63.01032281499596
25017000,4.6338,4.417,-32.0625,15.6562,-42.9375,30.7969,17.8125,-39.625,0.0736,0.227,0.9711,-0.2848,0.2079,0.9358,0.074,-0.8584,10.4576,0.1661,-0.917,12.1661,62.983541138141796
30000000,4.586,4.27,-31.9062,15.6875,-42.7812,30.9375,18.0,-39.25,0.0652,0.2184,0.9737,-0.3081,0.1993,0.9302,0.0704,-0.8447,10.2557,0.1875,-0.8926,12.1065,62.985297168307454
35001000,4.575,4.2406,-31.9062,15.7812,-42.8125,30.9375,17.9688,-39.2812,0.0615,0.2156,0.9746,-0.3111,0.1945,0.9302,0.0914,-0.8442,10.4796,0.1833,-0.895,12.0903,62.98084076240964
40001000,4.5419,4.2443,-32.0625,15.5,-42.5,30.7812,17.6875,-38.9375,0.0838,0.2393,0.9673,-0.3067,0.2194,0.9262,0.0573,-0.8818,10.5551,0.1418,-0.9209,11.9476,62.98259435899731
45001000,4.6081,4.3545,-31.9375,15.5625,-42.625,30.9219,17.8438,-39.375,0.0689,0.2289,0.971,-0.302,0.2089,0.9301,0.062,-0.853,10.2626,0.167,-0.9185,12.1931,62.98468860008756
50001000,4.5346,4.2626,-31.9375,15.625,-42.75,30.875,17.8438,-39.0,0.066,0.227,0.9717,-0.3175,0.2079,0.9252,0.0723,-0.8447,10.277,0.1571,-0.9136,12.0262,62.96344756833126
55001000,4.5934,4.3986,-31.9375,15.625,-42.625,30.9219,18.0625,-39.4688,0.0747,0.2203,0.9726,-0.3053,0.2003,0.931,0.0617,-0.8521,10.2486,0.201,-0.8833,12.1438,62.98576960750738
60014000,4.6558,4.3802,-31.875,15.6562,-42.9688,30.9688,17.9688,-39.25,0.0453,0.2165,0.9752,-0.3209,0.1974,0.9263,0.0856,-0.8442,10.4157,0.177,-0.8984,12.0619,62.99619663630496
65126000,4.6154,4.2626,-31.875,15.5625,-42.8438,30.9531,17.7812,-39.125,0.0546,0.2318,0.9712,-0.3191,0.2108,0.924,0.0684,-0.8594,10.408,0.1519,-0.9258,12.1159,62.977156594593886
70126000,4.564,4.292,-31.8125,15.6875,-42.7188,31.0781,17.9688,-39.375,0.0548,0.2184,0.9743,-0.3108,0.2003,0.9291,0.0718,-0.8154,9.9239,0.1793,-0.9062,12.1811,63.02073386188073
75126000,4.6191,4.259,-31.8438,15.6562,-42.5625,30.9688,17.875,-38.875,0.0613,0.2241,0.9726,-0.3268,0.2032,0.923,0.0673,-0.8506,10.2921,0.1587,-0.9136,12.0435,62.959855848389616
80126000,4.5713,4.2516,-31.9062,15.75,-42.875,30.9375,18.0938,-39.3438,0.051,0.2137,0.9756,-0.3085,0.1936,0.9313,0.0924,-0.8384,10.4207,0.1973,-0.8774,12.0322,62.98645411173739
85126000,4.5419,4.2553,-31.875,15.4375,-42.5312,31.0,17.8125,-39.3438,0.064,0.2356,0.9698,-0.3089,0.2146,0.9266,0.0427,-0.8745,10.3088,0.1543,-0.9248,12.1308,63.00052197212337
90126000,4.575,4.2553,-31.8438,15.75,-42.625,31.0,18.0625,-39.125,0.0586,0.2175,0.9743,-0.3184,0.1945,0.9278,0.0828,-0.8359,10.2872,0.2019,-0.8848,12.1707,62.983655456713535
95126000,4.5346,4.2626,-31.875,15.8125,-42.625,31.0,18.0625,-39.2812,0.0682,0.2079,0.9758,-0.3143,0.1878,0.9306,0.086,-0.833,10.2871,0.1971,-0.8872,12.1478,63.00404053265156
100126000,4.5897,4.2773,-31.875,15.6562,-42.5938,30.9531,18.0,-39.2812,0.0681,0.2184,0.9735,-0.3109,0.1984,0.9295,0.0712,-0.8398,10.207,0.1906,-0.8911,12.1224,62.9590094173185
