fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,0,760632000,761,749.473,259.65,-4.397364064137784,22.71238855896778,38.84800000000001,0.0,0.0,0.0,429.59197534246573,screen,0
3,1316142000,1441267000,125,636.814,650.896,-11.454172047567722,-2.4795391811896303,43.807000000000016,407.1430741115462,0.032308855651098964,555510000.0,429.59197534246573,keyboard,1
4,1471264000,1861643000,390,616.862,612.75,-12.73394640716002,-0.0304380193058267,32.31499999999994,43.04880509375373,-0.03582651280578852,29997000.0,429.59197534246573,keyboard,0
5,1901651000,2512274000,611,712.933,595.571,-6.534789934224027,1.0777474164660346,58.86299999999994,97.59485171872544,-0.0030882822262739665,40008000.0,429.59197534246573,keyboard,0
6,2557274000,3112779000,556,621.13,590.862,-12.461159099944698,1.372824320851481,38.21799999999996,91.92369384440553,-0.05393665950101046,45000000.0,429.59197534246573,keyboard,0
7,3167908000,3368032000,200,787.816,582.922,-1.6940364297416268,1.8983281325944248,26.145999999999958,166.87500171086145,-0.0008307504592817797,55129000.0,429.59197534246573,keyboard,0
8,3383032000,3868537000,486,817.045,581.646,0.1965867204343613,1.9811579197486668,29.904999999999973,29.25683880736256,-0.0007614447943417365,15000000.0,429.59197534246573,keyboard,0
11,4449042000,4624294000,175,705.718,577.634,-7.0035170900574295,2.2345105533825818,24.450999999999908,111.39926872740233,-0.054202426267682895,580505000.0,429.59197534246573,keyboard,0
12,4654294000,5299925000,646,735.423,604.016,-5.080844717765425,0.5332185935031896,42.638000000000034,39.72904414908569,0.012674931852893853,30000000.0,429.59197534246573,keyboard,0
15,5790305000,5895431000,105,655.727,676.049,-10.243753470594685,-4.10030097703985,14.945999999999913,107.42534852165949,0.04200407348386036,490380000.0,429.59197534246573,keyboard,0
16,5930431000,6145683000,215,635.865,612.205,-11.508890296966046,0.0044223368802977,32.63499999999999,66.86221189879969,-0.032679669213864615,35000000.0,429.59197534246573,keyboard,0
17,6195684000,6470936000,275,759.649,584.209,-3.5157869641814634,1.814132133488177,35.95000000000016,126.91041987165593,-0.00388206672298403,50001000.0,429.59197534246573,keyboard,0
18,6490936000,6841318000,350,797.503,576.991,-1.0676217508700232,2.28215500850191,37.11299999999994,38.53602003321053,-0.0032885171498401823,20000000.0,429.59197534246573,keyboard,0
19,6891315000,7231693000,340,652.044,587.841,-10.467843445862576,1.5706166442305969,26.730999999999995,145.8630973927265,0.05353167534349426,49997000.0,429.59197534246573,keyboard,0
20,7281694000,7907325000,626,762.958,565.802,-3.3035643796050094,3.004299183750509,23.687999999999988,113.08241648019376,-0.0034234391548434258,50001000.0,429.59197534246573,keyboard,0
22,8287579000,8642957000,355,679.986,575.919,-8.666522124740307,2.341628515937196,40.067999999999984,83.58652088106071,0.05271346208509178,380254000.0,429.59197534246573,keyboard,0
23,8687966000,9093336000,405,763.75,625.463,-3.249734938724995,-0.8530485331341574,34.74000000000001,97.31914319392665,0.009322235990136376,45009000.0,429.59197534246573,keyboard,0
24,9138464000,9413714000,275,875.675,585.139,3.987572930497924,1.7533701299021205,43.567999999999984,118.96735098757132,-0.006035361695273978,45128000.0,429.59197534246573,keyboard,0
25,9433715000,9964221000,531,887.374,564.846,4.746323333952427,3.0634363350917777,22.66800000000012,23.423758238164982,-0.018288124090521895,20001000.0,429.59197534246573,keyboard,0
26,10004224000,10925104000,921,810.043,581.149,-0.2562950826925163,2.013270542555117,29.351,79.03082544172244,0.05120471831736462,40003000.0,429.59197534246573,keyboard,0
30,11645736000,11825866000,180,639.864,555.399,-11.265348874341136,3.652188585959901,32.567999999999984,172.11610773254196,-0.052210137756120996,720632000.0,429.59197534246573,keyboard,0
31,11870988000,12301379000,430,644.028,539.929,-11.005130423704928,4.646875982603159,54.706999999999994,16.02060535685218,-0.022826495766204987,45122000.0,429.59197534246573,keyboard,0
32,12366368000,12916998000,551,921.254,558.758,6.93756497257931,3.451173247516499,47.34299999999996,277.8646906625597,0.0011835979124231696,64989000.0,429.59197534246573,keyboard,0
33,12971998000,13262251000,290,694.373,541.967,-7.748069879386207,4.53200344865448,22.15700000000004,227.50148536218393,-0.053541803523591405,55000000.0,429.59197534246573,keyboard,0
34,13297260000,13797756000,500,754.726,549.066,-3.839072682949449,4.085160490815982,51.004999999999995,60.76907445403455,0.002043547263134857,35009000.0,429.59197534246573,keyboard,0
38,15389272000,15624399000,235,794.539,310.687,-1.3102548661766205,19.45432711166165,39.946000000000026,241.68082797359003,-0.024527255334385857,1591516000.0,429.59197534246573,screen,1
39,15659524000,16900661000,1241,736.433,310.839,-5.207081750400114,19.41947776505558,67.73099999999994,58.106198808732955,0.05478547944327539,35125000.0,429.59197534246573,screen,0
40,16950662000,18897431000,1947,879.203,285.504,4.395467092990802,21.04919077148541,62.35500000000002,145.0004659475272,-0.003065234832665627,50001000.0,429.59197534246573,screen,0
41,18937556000,19147683000,210,795.474,273.75,-1.261524678140815,21.826504698606072,23.52300000000008,84.54999678888218,-0.05239692384863282,40125000.0,429.59197534246573,screen,0
42,19187809000,19478066000,290,730.059,275.269,-5.690666636394288,21.695906020482106,32.232000000000085,65.43263395279156,0.054425925934626466,40126000.0,429.59197534246573,screen,0
46,20228693000,20458945000,230,614.735,554.262,-12.888202946810802,3.716811083412803,25.289999999999964,301.88858710623686,0.034256710902595584,750627000.0,429.59197534246573,keyboard,1
47,20478946000,21419830000,941,632.853,562.396,-11.71460122851832,3.201032776505481,35.48899999999992,19.86010775398759,0.007364886387062767,20001000.0,429.59197534246573,keyboard,0
48,21489955000,21625082000,135,681.349,314.879,-8.88991161602184,19.10816703829239,27.30000000000001,252.22316964347263,-0.02403872166857632,70125000.0,429.59197534246573,screen,1
49,21660082000,21740083000,80,711.359,252.158,-7.006585752437935,23.15896308336097,22.140999999999934,69.53074097836154,-0.019626613294766546,35000000.0,429.59197534246573,screen,0
51,22330713000,22535840000,205,667.049,559.863,-9.507386955142454,3.372713399390784,42.91700000000003,310.87898469500965,0.029911709807769308,590630000.0,429.59197534246573,keyboard,1
52,22600966000,22816093000,215,929.944,549.074,7.502174801180414,4.073520709720677,37.416000000000054,263.1162928174536,-0.0007158674188567833,65126000.0,429.59197534246573,keyboard,0
53,22846105000,23256601000,410,956.482,550.303,9.215985839951568,3.9874260304191367,26.783000000000015,26.566442836781906,0.0008077014660643163,30012000.0,429.59197534246573,keyboard,0
54,23336599000,23686979000,350,708.608,255.928,-7.185402373880281,22.91439363061436,45.92599999999993,384.8352381227582,-0.039630283392254155,79998000.0,429.59197534246573,screen,1
55,23756977000,23967242000,210,642.864,560.664,-11.069161439829047,3.3149967522694186,51.083999999999946,311.7471783865894,0.03112411594440998,69998000.0,429.59197534246573,keyboard,1
58,24677861000,24993114000,315,609.587,578.138,-13.208944403186033,2.186187658237511,49.089000000000055,37.585893696971006,0.04639192379565416,710619000.0,429.59197534246573,keyboard,0
59,25043239000,25298492000,255,666.431,542.121,-9.55551979747832,4.513924372503454,33.01700000000005,67.29386766266306,-0.009857056740545529,50125000.0,429.59197534246573,keyboard,0
60,25343492000,25588745000,245,739.093,560.24,-4.848705536740673,3.3613996478061714,34.16500000000008,74.8870109231233,0.004265170476692731,45000000.0,429.59197534246573,keyboard,0
61,25623745000,25763872000,140,789.547,570.496,-1.58268128952123,2.702082062022774,22.124000000000024,51.48583933471422,0.0035001165216601146,35000000.0,429.59197534246573,keyboard,0
62,25793872000,26284376000,491,746.068,561.766,-4.397139568503658,3.263599239598075,38.17700000000002,44.346773738345426,-0.0513727346061592,30000000.0,429.59197534246573,keyboard,0
63,26329377000,26524643000,195,633.753,621.857,-11.6454788252789,-0.6151143508171459,33.769000000000005,127.3796981704698,0.04625683667723622,45001000.0,429.59197534246573,keyboard,0
66,27245261000,27445388000,200,763.09,651.857,-3.294193969653137,-2.55945558122852,35.45499999999993,132.77070297697455,0.003977984107269582,720618000.0,429.59197534246573,keyboard,0
67,27530514000,27745766000,215,612.232,564.685,-13.044079849544705,3.048399989665116,26.760999999999967,174.2328721797354,-0.04568618526763583,85126000.0,429.59197534246573,keyboard,0
68,27805766000,28191156000,385,835.65,607.141,1.3994962037586418,0.3317080929868394,50.553999999999974,227.41617062117638,0.0032775602901580453,60000000.0,429.59197534246573,keyboard,0
69,28236146000,28451397000,215,671.882,568.776,-9.192014589998555,2.800127655769191,33.601999999999975,168.2017569735822,-0.05081487686371671,44990000.0,429.59197534246573,keyboard,0
70,28491398000,28711650000,220,788.551,571.095,-1.647073258266743,2.6633429595222253,25.264999999999986,116.69204481026127,0.00034686897435506957,40001000.0,429.59197534246573,keyboard,0
71,28746655000,29112032000,365,746.759,578.34,-4.349944538023512,2.1927397418025056,41.6880000000001,42.41534261325732,0.05183523361624045,35005000.0,429.59197534246573,keyboard,0
74,29822661000,29962795000,140,667.624,584.294,-9.46289732745154,1.8006712857211062,30.199999999999932,79.35866897195288,0.053520445203012856,710629000.0,429.59197534246573,keyboard,0
75,29987787000,30238040000,250,648.619,566.462,-10.695196075395703,2.94400857087242,25.956999999999994,26.06089501532899,-0.04167892885507686,24992000.0,429.59197534246573,keyboard,0
76,30298040000,30493298000,195,880.86,535.596,4.331087446978192,4.953388767621628,29.527999999999906,234.28314501261073,-0.002306115741269412,60000000.0,429.59197534246573,keyboard,0
77,30533292000,31178924000,646,962.357,532.691,9.604388528114322,5.117979917821836,32.47000000000003,81.54875862942362,-0.0006218677645683778,39994000.0,429.59197534246573,keyboard,0
78,31218924000,31589305000,370,888.648,600.443,4.82485539093516,0.7639865892266611,35.44799999999998,100.11668285056184,0.04185788537788301,40000000.0,429.59197534246573,keyboard,0
81,32980566000,33531071000,551,633.817,570.265,-11.64912490367984,2.696340963549948,48.898000000000025,256.6116720747519,-0.052773835717446496,1391261000.0,429.59197534246573,keyboard,0
82,33576072000,33721198000,145,701.89,591.626,-7.248647475018476,1.3315827705349448,38.97300000000007,71.34581732659593,0.005306929462030551,45001000.0,429.59197534246573,keyboard,0
83,33751323000,34096577000,345,732.34,598.479,-5.280367954428015,0.8908223120424784,23.694000000000074,31.211634193037757,0.003863620419034973,30125000.0,429.59197534246573,keyboard,0
86,34822334000,34972461000,150,709.321,268.463,-7.109041976665625,22.11213745025137,21.221000000000117,330.8178269334952,-0.028630986697732938,725757000.0,429.59197534246573,screen,1
87,34997461000,35718103000,721,734.72,245.676,-5.425457339019248,23.597349863143634,36.825999999999965,34.12266944422728,-0.01276262497823466,25000000.0,429.59197534246573,screen,0
88,35853219000,35963353000,110,738.335,694.597,-4.905457602594226,-5.3174378609817685,45.37099999999987,448.93555491406556,0.027275025706045584,135116000.0,429.59197534246573,keyboard,1
89,36018345000,36233597000,215,717.81,602.669,-6.219143258107016,0.6198266846954216,30.788999999999987,94.19146887590195,-0.03124952616356619,54992000.0,429.59197534246573,keyboard,0
92,36894229000,37034355000,140,894.97,538.2,5.243821403799443,4.782634020923664,24.758000000000038,188.52564165386104,-0.006091307356122783,660632000.0,429.59197534246573,keyboard,0
93,37069355000,37214482000,145,987.083,537.384,11.198237820516002,4.806754121089018,34.59800000000007,92.11661427234498,-0.00015460916660700878,35000000.0,429.59197534246573,keyboard,0
94,37244485000,37915113000,671,937.692,528.089,8.012290463981486,5.422972097543021,49.573999999999955,50.25801335110646,-0.051584534496265336,30003000.0,429.59197534246573,keyboard,0
97,38615745000,39061253000,446,608.377,562.965,-13.2935479150041,3.157400993427089,44.59400000000005,331.1566164234078,0.05298961442668082,700632000.0,429.59197534246573,keyboard,0
98,39091250000,39376503000,285,583.29,603.619,-14.897091273979315,0.55298374997957,56.91599999999994,47.771385629893544,0.03706528103910025,29997000.0,429.59197534246573,keyboard,0
99,39411503000,40122260000,711,667.232,541.991,-9.503769344297906,4.522537074852591,57.601,104.13582355750593,-0.011053083404867858,35000000.0,429.59197534246573,keyboard,0
102,40892895000,41033019000,140,742.412,616.768,-4.628979539613913,-0.2906750149195796,29.840000000000032,106.03599449715185,0.013660879378091954,770635000.0,429.59197534246573,keyboard,0
103,41053019000,41308271000,255,752.78,596.358,-3.959133482884015,1.028525410251842,26.45799999999997,22.89243377188197,-0.019212237499726947,20000000.0,429.59197534246573,keyboard,0
104,41353404000,41598536000,245,610.696,569.485,-13.140869721926002,2.740593935869932,40.669000000000096,144.6029777874577,-0.05156865157552422,45133000.0,429.59197534246573,keyboard,0
105,41658661000,41858776000,200,757.981,584.833,-3.62361022979658,1.7737529829677958,36.197,148.08251864754325,0.001812199465056589,60125000.0,429.59197534246573,keyboard,0
108,42309281000,42704660000,395,584.054,585.255,-14.85176697949707,1.725927611297173,51.579000000000065,173.92751194966255,0.054788788628754,450505000.0,429.59197534246573,keyboard,0
109,42769669000,43014913000,245,897.417,565.802,5.395385681866336,3.0004709449444675,28.812999999999988,313.96622267052874,-0.0010820797942426644,65009000.0,429.59197534246573,keyboard,0
110,43034913000,43315165000,280,923.383,574.394,7.0712314565261325,2.442632223803828,23.74599999999998,27.350605477758627,0.005577265461619004,20000000.0,429.59197534246573,keyboard,0
113,43950797000,44196049000,245,625.505,555.937,-12.19210841164079,3.613159331477716,43.03500000000008,298.4492649228676,-0.05375108226711891,635632000.0,429.59197534246573,keyboard,0
114,44241049000,44451176000,210,715.443,542.89,-6.384055093678837,4.477534444320254,27.869000000000142,90.87941490238589,-0.0025143501369981015,45000000.0,429.59197534246573,keyboard,0
115,44471302000,45807445000,1336,751.387,549.235,-4.055247493882344,4.073840009740252,54.95200000000011,36.49972823186493,0.0030495190840471127,20126000.0,429.59197534246573,keyboard,0
118,46513197000,46773331000,260,622.286,560.932,-12.397268714508394,3.2918649257916868,45.66399999999999,129.62981142468735,0.05325411235481421,705752000.0,429.59197534246573,keyboard,0
119,46828450000,47073702000,245,708.683,523.934,-6.829677189374478,5.698319159377884,39.06599999999992,93.98560322198296,-0.0070616960984048035,55119000.0,429.59197534246573,keyboard,0
120,47108702000,47994461000,886,782.309,527.089,-2.0556560954653262,5.508265808772689,59.19900000000007,73.69356756868267,0.0007474461492357085,35000000.0,429.59197534246573,keyboard,0
123,48760227000,49015470000,255,955.209,591.529,9.121830929578326,1.335026389305587,31.134000000000015,184.51808475051973,0.006226524450517822,765766000.0,429.59197534246573,keyboard,0
124,49040471000,50026355000,986,967.282,604.908,9.898749140981506,0.4735477561190924,49.50299999999993,18.020959186458494,0.014602567264012847,25001000.0,429.59197534246573,keyboard,0
125,50281608000,50526862000,245,710.663,307.699,-6.94043216472368,19.599540185964795,34.31999999999999,392.6658895829889,-0.03984648449472558,255253000.0,429.59197534246573,screen,1
126,50561863000,50862238000,300,757.359,279.655,-3.837143725511688,21.43367665756319,28.686000000000035,54.47001332843609,-0.009439353234539842,35001000.0,429.59197534246573,screen,0
127,50887238000,52969133000,2082,716.227,276.745,-6.624124093367554,21.58867155371703,71.67399999999998,41.23480961517835,-0.05359840685039595,25000000.0,429.59197534246573,screen,0
128,53004134000,53639765000,636,633.007,314.25,-12.12561187461303,19.08030584753472,37.06,91.28084916892483,0.0474411779486388,35001000.0,429.59197534246573,screen,0
