timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.0151,2.9379,-30.5938,19.3438,-43.1875,32.4375,20.0312,-41.5625,-0.0231,-0.2677,0.9632,-0.1035,-0.2762,0.9555,0.6533,-0.2344,9.8132,0.6479,-0.1888,9.2523,63.05599038513312
5000000,3.0518,2.9434,-30.7812,19.4062,-43.375,32.2188,20.25,-41.875,-0.0183,-0.2799,0.9599,-0.0687,-0.2883,0.9551,0.6602,-0.2216,9.7512,0.6821,-0.1635,9.3681,63.02350353986995
15003000,3.0371,2.9545,-30.6875,19.3438,-43.4688,32.3125,20.0625,-41.9375,-0.0287,-0.2696,0.9626,-0.0773,-0.278,0.9575,0.6499,-0.2202,9.6185,0.6519,-0.2019,9.4402,63.022705506666405
20005000,3.0408,2.9269,-30.8125,19.1875,-43.6562,32.1875,20.0625,-41.8438,-0.0306,-0.262,0.9646,-0.0737,-0.2724,0.9594,0.6548,-0.2642,10.1574,0.644,-0.22,9.5486,63.03213798341287
25000000,3.0279,3.0353,-30.9062,19.4062,-42.9375,32.125,20.0625,-42.0,0.0127,-0.2677,0.9634,-0.0633,-0.2762,0.959,0.6475,-0.2184,9.5704,0.6401,-0.2114,9.41,63.04158793510836
30000000,2.9324,2.8773,-30.625,19.4062,-43.3125,32.4375,20.1562,-41.9375,-0.0287,-0.2677,0.9631,-0.0792,-0.278,0.9573,0.6519,-0.2318,9.7682,0.6641,-0.1646,9.1717,63.08194695196083
35000000,2.914,2.9765,-30.875,19.3438,-43.3438,32.1562,20.0625,-42.2188,-0.0127,-0.2696,0.9629,-0.0511,-0.278,0.9592,0.6499,-0.236,9.7914,0.6426,-0.1672,8.9541,63.045335498591804
40000000,2.9508,2.9434,-30.7812,19.375,-43.1875,32.2188,20.0625,-42.0,-0.0099,-0.2677,0.9635,-0.0698,-0.278,0.958,0.6577,-0.2478,10.0112,0.6406,-0.1823,9.096,63.01494118461113
45000000,2.9838,2.9912,-30.8125,19.3438,-43.25,32.2188,20.0625,-42.1875,-0.0146,-0.2658,0.9639,-0.0586,-0.2762,0.9593,0.6362,-0.2556,9.8503,0.6528,-0.234,9.8036,63.044351179387995
50000000,3.0684,2.971,-30.6875,19.1875,-43.1875,32.3125,19.9375,-42.125,-0.0099,-0.2545,0.967,-0.072,-0.263,0.9621,0.6318,-0.2581,9.8268,0.6406,-0.2158,9.4638,63.01342242927296
55000000,2.9802,2.96,-30.75,19.4375,-43.0938,32.25,20.1562,-42.0,-0.008,-0.2724,0.9622,-0.0763,-0.2827,0.9562,0.6514,-0.2236,9.6729,0.6562,-0.1849,9.3049,63.013593201229206
60000000,2.982,2.9324,-30.6562,19.3125,-43.0312,32.3438,19.9688,-41.5938,-0.0099,-0.2592,0.9658,-0.0982,-0.2677,0.9585,0.6372,-0.2583,9.8911,0.6333,-0.2043,9.254,63.019813141979405
65000000,3.0188,2.9453,-30.5625,19.25,-43.0625,32.4688,20.0312,-41.9062,-0.0203,-0.2592,0.9656,-0.0934,-0.2696,0.9584,0.6167,-0.2661,9.7421,0.6396,-0.1794,9.0541,63.04674521987634
70000000,3.0041,2.8718,-30.6562,19.4062,-43.25,32.3438,20.1562,-41.8125,-0.0249,-0.2705,0.9624,-0.08,-0.2808,0.9564,0.6504,-0.2396,9.8372,0.6533,-0.1644,9.0468,63.02086088153668
75000000,3.0757,2.9581,-30.5938,19.3125,-43.1875,32.4375,20.0312,-41.9375,-0.0287,-0.2658,0.9636,-0.0923,-0.2752,0.9569,0.6318,-0.2469,9.7047,0.6562,-0.2112,9.5925,63.04778988497535
80000000,3.0206,2.9379,-30.6562,19.5312,-43.25,32.3438,20.3125,-41.8125,-0.022,-0.2855,0.9581,-0.0816,-0.2939,0.9523,0.6562,-0.2274,9.7705,0.6699,-0.1855,9.469,63.021241148838065
85001000,2.9894,2.9251,-30.5938,19.3438,-43.4062,32.4062,20.1562,-41.7812,-0.0353,-0.2677,0.9629,-0.0932,-0.2762,0.9566,0.6392,-0.2343,9.6493,0.667,-0.1906,9.4901,63.026189943229156
90000000,2.9618,2.9232,-30.8125,19.4062,-43.3125,32.1875,20.1875,-41.7812,-0.0099,-0.2724,0.9621,-0.0698,-0.2808,0.9572,0.6597,-0.2502,10.0605,0.6577,-0.1959,9.4421,63.02345047186801
95001000,3.0647,2.9802,-30.5625,19.3438,-43.3125,32.4688,20.0625,-41.8125,-0.0362,-0.2658,0.9633,-0.0951,-0.2762,0.9564,0.6353,-0.2573,9.8579,0.6689,-0.2013,9.6303,63.05324186257199
100001000,3.0022,2.9104,-30.625,19.4375,-43.25,32.4062,20.25,-41.625,-0.0287,-0.2733,0.9615,-0.0949,-0.2837,0.9542,0.6499,-0.2366,9.7981,0.6689,-0.1541,9.1132,63.05737827320447
105001000,2.9471,2.9471,-30.8125,19.3438,-43.3125,32.1875,20.0625,-41.9375,-0.0174,-0.2677,0.9633,-0.0642,-0.278,0.9584,0.646,-0.2418,9.8108,0.647,-0.2078,9.4484,63.01910150652737
110001000,3.0132,2.9655,-30.75,19.375,-43.4375,32.2812,20.0625,-42.125,-0.0287,-0.2677,0.9631,-0.0689,-0.2762,0.9586,0.6479,-0.2275,9.6765,0.6396,-0.2064,9.3496,63.048612085754904
115001000,2.9655,2.9526,-30.7812,19.125,-43.375,32.25,19.9375,-42.0,-0.025,-0.2526,0.9672,-0.072,-0.263,0.9621,0.6299,-0.2644,9.8742,0.644,-0.233,9.6919,63.05143102809007
120001000,3.0463,2.9434,-30.875,19.2188,-43.625,32.1562,20.0312,-41.4375,-0.0278,-0.2602,0.9652,-0.0907,-0.2677,0.9592,0.6406,-0.2554,9.8981,0.6167,-0.2238,9.2768,63.074379295003766
125001000,2.9269,2.8975,-30.875,19.625,-43.2812,32.1562,20.3438,-41.6875,-0.0154,-0.2855,0.9582,-0.076,-0.2939,0.9528,0.6934,-0.2106,10.0139,0.6782,-0.1512,9.1895,63.055441688802716
130001000,2.982,2.9747,-30.7812,19.4062,-43.375,32.2188,20.125,-41.9375,-0.0259,-0.2705,0.9624,-0.0689,-0.2799,0.9576,0.6436,-0.2559,9.937,0.6479,-0.1895,9.259,63.020497298022015
135126000,3.039,2.9655,-30.875,19.4062,-43.4062,32.1562,20.25,-42.0625,-0.0155,-0.2752,0.9613,-0.0613,-0.2855,0.9564,0.6567,-0.2386,9.8994,0.6655,-0.1853,9.4157,63.05116732916211
140126000,3.0151,2.9324,-30.5938,19.3438,-43.3125,32.4375,19.9375,-41.9375,-0.0354,-0.2602,0.9649,-0.0869,-0.2696,0.9591,0.6494,-0.2566,10.0124,0.625,-0.2397,9.5473,63.04909106704077
145131000,2.9692,2.8663,-30.625,19.25,-43.3438,32.375,20.0312,-41.5625,-0.0382,-0.2592,0.9651,-0.1037,-0.2696,0.9574,0.6343,-0.2686,9.9702,0.6436,-0.2278,9.6287,63.03001906337963
150126000,3.0426,2.9581,-30.5938,19.125,-43.4375,32.4375,19.9375,-41.625,-0.0412,-0.2469,0.9682,-0.106,-0.2554,0.961,0.6221,-0.2527,9.6559,0.6274,-0.241,9.5887,63.06258868925379
155126000,3.0041,2.9838,-30.75,19.3438,-43.5,32.25,20.0312,-41.9375,-0.0231,-0.2677,0.9632,-0.0736,-0.2752,0.9586,0.6426,-0.2534,9.899,0.6406,-0.217,9.4772,63.02312214584422
160126000,2.9875,2.9159,-30.625,19.3125,-43.5625,32.375,20.0625,-41.3438,-0.0466,-0.262,0.9639,-0.1083,-0.2724,0.9561,0.6313,-0.2585,9.8266,0.6431,-0.2356,9.7088,63.04351774520518
165126000,2.8975,2.9618,-30.625,19.4375,-43.0625,32.375,20.125,-41.9062,-0.0221,-0.2677,0.9632,-0.0839,-0.2762,0.9574,0.6274,-0.2549,9.7416,0.6543,-0.234,9.8204,63.01436095002472
170126000,2.9985,2.8883,-30.7812,19.1875,-43.5625,32.2188,20.1875,-41.5312,-0.0334,-0.263,0.9642,-0.0933,-0.2733,0.9574,0.6362,-0.259,9.8879,0.6543,-0.2,9.4469,63.040670837880526
175134000,3.0077,2.9581,-30.6562,19.125,-43.4375,32.375,19.9688,-41.75,-0.0364,-0.2498,0.9676,-0.0984,-0.2592,0.9608,0.6157,-0.2664,9.7337,0.6489,-0.2396,9.8203,63.059430921393506
180126000,2.9434,3.0022,-30.9062,19.3438,-43.5,32.125,20.0312,-41.8125,-0.0222,-0.2602,0.9653,-0.07,-0.2696,0.9604,0.645,-0.2605,10.0049,0.626,-0.2292,9.4432,63.0575320516907
185143000,3.0537,2.9067,-30.7812,19.4062,-43.5,32.2188,20.1875,-41.75,-0.0286,-0.2752,0.961,-0.0846,-0.2837,0.9552,0.6499,-0.2437,9.8758,0.6489,-0.203,9.4186,63.02914349481516
190127000,2.9655,2.903,-30.7812,19.3125,-43.5,32.2188,20.125,-41.75,-0.0325,-0.263,0.9643,-0.0793,-0.2733,0.9586,0.6396,-0.2664,10.0077,0.6455,-0.2174,9.5373,63.02953796633766
195127000,2.9857,3.0151,-30.9062,19.4375,-43.25,32.125,20.1562,-42.125,-0.0155,-0.2762,0.961,-0.0557,-0.2837,0.9573,0.6709,-0.24,10.0772,0.6558,-0.201,9.4758,63.045335498591804
200127000,2.9379,2.9838,-30.8125,19.4062,-43.25,32.1875,20.0625,-41.7188,-0.0174,-0.2677,0.9633,-0.0774,-0.2752,0.9583,0.6543,-0.2754,10.2753,0.6401,-0.2321,9.6363,63.02202236623322
205127000,2.9471,2.9287,-30.625,19.25,-43.375,32.4062,19.9688,-41.9375,-0.0354,-0.2526,0.9669,-0.0899,-0.262,0.9609,0.6343,-0.2494,9.7595,0.6494,-0.2152,9.558,63.0516871553014
210127000,2.9526,2.9159,-30.6562,19.375,-43.1875,32.3438,20.1875,-41.75,-0.0324,-0.2696,0.9624,-0.0867,-0.278,0.9567,0.6411,-0.2563,9.9144,0.6802,-0.1946,9.6862,63.02163566982374
215127000,2.9416,2.9416,-30.5938,19.25,-43.1875,32.4375,19.9375,-41.7812,-0.0364,-0.2517,0.9671,-0.0937,-0.2602,0.961,0.6211,-0.2681,9.8139,0.6421,-0.2402,9.7485,63.05073445749859
220127000,2.9673,2.96,-30.5625,19.5312,-43.1875,32.4375,20.3125,-41.75,-0.0407,-0.2837,0.9581,-0.0918,-0.2939,0.9514,0.6475,-0.2303,9.7017,0.6846,-0.1741,9.5125,63.021241148838065
225127000,2.9949,2.9287,-30.625,19.6875,-43.0625,32.375,20.375,-41.6875,-0.0275,-0.293,0.9557,-0.0916,-0.2995,0.9497,0.6631,-0.2234,9.805,0.686,-0.1815,9.6109,63.01875340920352
230127000,2.9728,2.982,-30.75,19.3438,-43.3438,32.2812,20.0312,-41.9375,-0.0325,-0.263,0.9643,-0.0793,-0.2724,0.9589,0.6382,-0.2554,9.87,0.6626,-0.229,9.861,63.05063339800798
235127000,2.9728,2.9471,-30.6875,19.5,-43.3125,32.3125,20.1562,-41.6562,-0.0324,-0.2733,0.9614,-0.0846,-0.2837,0.9552,0.6641,-0.1949,9.5045,0.647,-0.2306,9.6987,63.025184871843095
240127000,2.9324,2.9269,-30.6875,19.5,-43.0312,32.3125,20.2812,-41.5938,-0.0249,-0.2733,0.9616,-0.0875,-0.2827,0.9552,0.6362,-0.2466,9.7511,0.6738,-0.2108,9.7909,63.02123762827893
245127000,2.9912,2.9177,-30.75,19.375,-43.25,32.2812,19.9375,-41.8125,-0.0278,-0.2592,0.9654,-0.0898,-0.2649,0.9601,0.6367,-0.2352,9.632,0.6216,-0.2384,9.4934,63.050099016099885
250127000,2.9838,2.9545,-30.7812,19.3438,-43.3125,32.25,20.1562,-41.75,-0.025,-0.2649,0.964,-0.0765,-0.2733,0.9589,0.6348,-0.2384,9.6444,0.6426,-0.2087,9.4086,63.05579730246855
255127000,2.9618,2.9471,-30.9062,19.3125,-43.3438,32.125,20.0,-41.6875,-0.0222,-0.2592,0.9656,-0.0672,-0.2677,0.9612,0.6333,-0.231,9.5459,0.6348,-0.244,9.7061,63.05670590333751
260127000,2.9324,3.0096,-30.75,19.5312,-43.2188,32.25,20.25,-42.0625,-0.0221,-0.2762,0.9609,-0.0613,-0.2855,0.9564,0.6689,-0.2288,9.9314,0.6694,-0.1902,9.5142,63.01471021221949
265133000,2.9875,2.96,-30.8125,19.5312,-43.0625,32.1875,20.25,-41.8125,-0.0173,-0.2808,0.9596,-0.0696,-0.2902,0.9544,0.6514,-0.2288,9.7291,0.6689,-0.1973,9.5861,63.01649921599898
270127000,2.9912,2.9379,-30.5625,19.25,-43.3125,32.4688,20.0,-41.75,-0.041,-0.2573,0.9655,-0.101,-0.2677,0.9582,0.6226,-0.2664,9.8119,0.6426,-0.2238,9.5733,63.05512418463705
275257000,2.9251,2.8754,-30.8125,19.25,-43.0625,32.1562,20.1562,-41.4375,-0.025,-0.2573,0.966,-0.1038,-0.2658,0.9584,0.6162,-0.2517,9.5782,0.6597,-0.2332,9.8728,62.99618244885955
280252000,3.1731,2.8589,-30.8125,19.4062,-43.3125,32.1875,20.1562,-41.6875,-0.0467,-0.2573,0.9652,-0.0982,-0.2649,0.9593,0.6162,-0.2378,9.4253,0.6494,-0.2244,9.6585,63.02541650001212
285253000,3.1731,2.8442,-30.9062,19.625,-43.3125,32.125,20.4688,-41.75,-0.0486,-0.2554,0.9656,-0.0907,-0.2649,0.96,0.6299,-0.2045,9.2162,0.6528,-0.2177,9.6241,63.05620967145107
