timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.3862,3.2411,-31.2188,19.3125,-38.8438,31.75,20.625,-39.125,0.0652,-0.2762,0.9589,0.0061,-0.2827,0.9592,0.6914,-0.2527,10.4535,0.7021,-0.1788,9.768,62.98310490226724
5004000,3.3991,3.2595,-31.1875,19.0938,-38.875,31.8438,20.3125,-39.4062,0.0684,-0.2573,0.9639,0.0155,-0.263,0.9647,0.6558,-0.2781,10.3217,0.6646,-0.2184,9.767,63.045318484563154
10001000,3.3182,3.1823,-31.4062,19.125,-38.6875,31.5938,20.5,-39.125,0.0868,-0.2705,0.9588,0.0164,-0.2752,0.9612,0.6689,-0.2639,10.3177,0.6636,-0.1998,9.5523,63.01652189108821
15126000,3.3917,3.2484,-31.2188,19.0938,-38.9062,31.75,20.375,-39.3125,0.0664,-0.262,0.9628,0.0202,-0.2696,0.9628,0.665,-0.2715,10.356,0.6743,-0.2078,9.7631,62.98314319379432
20126000,3.3587,3.2448,-31.375,19.25,-38.6875,31.6406,20.4688,-39.25,0.085,-0.2705,0.959,0.023,-0.2752,0.9611,0.6934,-0.2627,10.5862,0.6665,-0.2064,9.6583,63.029895470720874
25126000,3.412,3.2264,-31.2812,19.0625,-38.9375,31.7188,20.375,-39.3125,0.0664,-0.2592,0.9635,0.0202,-0.2658,0.9638,0.6626,-0.2671,10.2795,0.6929,-0.2166,10.0738,63.01478621125362
30126000,3.4285,3.2062,-31.125,19.25,-38.6875,31.8438,20.5,-39.375,0.0727,-0.2762,0.9584,0.0155,-0.2808,0.9596,0.6743,-0.2612,10.3501,0.7124,-0.2019,10.1395,62.984957963707494
35126000,3.3201,3.2007,-31.2188,19.1875,-38.875,31.7969,20.375,-39.3438,0.0663,-0.2658,0.9617,0.0155,-0.2724,0.9621,0.6865,-0.2544,10.4159,0.6763,-0.2115,9.8271,63.028631400181936
40126000,3.298,3.1584,-31.3125,19.3125,-38.8438,31.6562,20.4688,-39.2188,0.0802,-0.2733,0.9586,0.0127,-0.278,0.9605,0.6836,-0.2468,10.2988,0.6787,-0.205,9.783,62.98043215459862
45126000,3.4432,3.197,-31.0625,19.2188,-38.5312,31.9531,20.375,-39.375,0.072,-0.262,0.9624,0.0089,-0.2658,0.964,0.6587,-0.251,10.0573,0.6899,-0.2212,10.0908,63.03185417104593
50126000,3.3091,3.186,-31.2188,19.2188,-38.5938,31.7812,20.5625,-39.0938,0.0821,-0.2733,0.9584,0.0089,-0.278,0.9605,0.6826,-0.2576,10.4056,0.6929,-0.1853,9.7314,63.01631161604113
55126000,3.2521,3.219,-31.375,19.25,-38.625,31.6406,20.5625,-39.25,0.0877,-0.2752,0.9574,0.0276,-0.2799,0.9596,0.6919,-0.2605,10.5451,0.689,-0.1885,9.7209,63.03236569104796
60126000,3.2337,3.2007,-31.2188,19.125,-38.6875,31.7812,20.4688,-39.2812,0.0756,-0.2724,0.9592,0.0127,-0.2762,0.961,0.6694,-0.2654,10.3394,0.6934,-0.202,9.9202,63.01712686349641
65136000,3.3182,3.2227,-31.25,19.2188,-38.7188,31.7344,20.5,-39.375,0.0775,-0.2705,0.9596,0.0249,-0.2762,0.9608,0.6729,-0.2517,10.2285,0.6929,-0.2,9.8918,63.00084694065628
70126000,3.2595,3.2135,-31.0625,19.25,-38.6875,31.9375,20.4688,-39.375,0.0662,-0.2705,0.9604,0.0042,-0.2762,0.9611,0.667,-0.2568,10.2173,0.6992,-0.2043,10.0134,63.01553879552249
75126000,3.2503,3.1474,-31.125,19.125,-38.7188,31.875,20.4688,-39.375,0.07,-0.2705,0.9602,0.0127,-0.2762,0.961,0.6582,-0.2583,10.1322,0.6948,-0.2015,9.9318,63.01774668202601
80129000,3.2007,3.1896,-31.2812,19.1875,-38.875,31.7344,20.3438,-39.375,0.0766,-0.2677,0.9605,0.0174,-0.2733,0.9618,0.6802,-0.2637,10.4446,0.6855,-0.2212,10.04,63.028191097714355
85127000,3.2448,3.2117,-31.1875,19.25,-38.7188,31.8438,20.4688,-39.5,0.0689,-0.2762,0.9586,0.0201,-0.2827,0.959,0.6768,-0.26,10.3648,0.6909,-0.2031,9.904,63.0479224603793
90127000,3.3476,3.2521,-31.2188,19.1875,-38.6562,31.8125,20.3438,-39.5,0.0748,-0.2658,0.9611,0.023,-0.2705,0.9624,0.6782,-0.2578,10.3576,0.6724,-0.2148,9.8182,63.047551957391654
95126000,3.2778,3.1896,-31.1875,19.25,-38.8125,31.8125,20.5,-39.375,0.069,-0.2705,0.9602,0.0192,-0.278,0.9604,0.6733,-0.2666,10.3979,0.7041,-0.2028,10.0526,63.01491018997012
100127000,3.3054,3.2154,-31.125,19.0938,-38.75,31.8906,20.2812,-39.5,0.0712,-0.2545,0.9644,0.0155,-0.262,0.9649,0.6577,-0.261,10.1562,0.6641,-0.2299,9.8872,63.03124829891916
105127000,3.208,3.2209,-31.2188,19.3125,-38.625,31.7969,20.5938,-39.1875,0.0772,-0.2827,0.9561,0.0107,-0.2883,0.9575,0.6914,-0.2498,10.4213,0.7061,-0.1838,9.868,63.03123497465364
110127000,3.2925,3.1804,-31.2812,19.0938,-38.875,31.7031,20.4688,-39.3125,0.0709,-0.2724,0.9596,0.0183,-0.278,0.9604,0.6611,-0.2759,10.3593,0.6807,-0.2018,9.7708,63.000826008394526
115127000,3.2705,3.219,-31.375,19.1875,-38.9688,31.6406,20.4375,-39.1875,0.0775,-0.2677,0.9604,0.0221,-0.2724,0.9619,0.6875,-0.2571,10.4567,0.6797,-0.1986,9.7247,63.02837593536739
120138000,3.219,3.1566,-31.1875,19.0938,-38.6875,31.8438,20.3438,-39.4375,0.0776,-0.263,0.9617,0.0249,-0.2696,0.9627,0.6611,-0.2715,10.311,0.6709,-0.2186,9.8428,63.0481544511019
125127000,3.2448,3.2668,-31.125,19.2188,-38.625,31.8906,20.4688,-39.5625,0.0699,-0.2762,0.9586,0.0229,-0.2837,0.9587,0.666,-0.2532,10.1658,0.7002,-0.2032,10.0127,63.034968466796265
130136000,3.276,3.1602,-31.2188,19.1875,-38.75,31.7812,20.4375,-39.375,0.07,-0.2677,0.961,0.0127,-0.2724,0.9621,0.6797,-0.2563,10.3584,0.6875,-0.2031,9.8645,63.01549908554244
135127000,3.2907,3.107,-31.3125,19.0938,-38.75,31.6406,20.4688,-39.0625,0.0775,-0.2677,0.9604,0.0099,-0.2724,0.9621,0.6626,-0.2727,10.3413,0.6704,-0.2003,9.6364,62.96888978582995
140127000,3.265,3.14,-31.125,19.1875,-38.75,31.8594,20.4375,-39.4375,0.069,-0.2705,0.9602,0.0089,-0.278,0.9605,0.6753,-0.2561,10.305,0.6821,-0.2056,9.8292,63.00055396272322
145127000,3.2356,3.1676,-31.25,19.3438,-38.5938,31.75,20.5,-39.0938,0.0838,-0.278,0.9569,0.0052,-0.2808,0.9597,0.6909,-0.2446,10.3594,0.7017,-0.1964,9.9548,63.01259237993625
150133000,3.3311,3.1198,-31.2812,19.0625,-38.875,31.7344,20.375,-39.4062,0.0719,-0.2677,0.9608,0.0193,-0.2733,0.9617,0.6616,-0.2759,10.365,0.6758,-0.2168,9.879,63.03150540047413
155252000,3.2356,3.1161,-31.2812,19.1875,-38.875,31.7188,20.4375,-39.25,0.0756,-0.2696,0.96,0.0164,-0.2733,0.9618,0.687,-0.2617,10.502,0.6763,-0.2014,9.716,63.01351541534562
160252000,3.2411,3.1492,-31.25,19.3438,-38.8125,31.7344,20.5938,-39.2188,0.0734,-0.2855,0.9556,0.0145,-0.2902,0.9569,0.6895,-0.2446,10.3424,0.7056,-0.1714,9.7261,62.998112853084734
165252000,3.2117,3.1584,-31.25,19.125,-38.8125,31.7344,20.4688,-39.3125,0.0775,-0.2696,0.9599,0.0164,-0.2733,0.9618,0.6616,-0.2673,10.2709,0.6914,-0.1932,9.8013,63.00071778797445
170252000,3.2411,3.1694,-31.3125,18.9062,-39.0,31.6562,20.1875,-39.375,0.0778,-0.2545,0.9639,0.0288,-0.2602,0.9651,0.6465,-0.2944,10.3953,0.645,-0.2422,9.8036,62.98285111345786
