fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,170252000,700632000,530,760.141,506.117,-3.49866247874461,6.860301718286712,154.08499999999998,0.0,0.0,0.0,566.6439653061225,screen,0
2,730758000,1086011000,355,731.7,490.699,-5.352664811053312,7.84841368269145,80.92199999999997,32.35127825913523,-0.04616101414852073,30126000.0,566.6439653061225,screen,0
3,1121137000,1346264000,225,804.395,455.991,-0.6284688443664278,10.101402955897637,58.031000000000006,80.55562233016384,-0.007774444645774503,35126000.0,566.6439653061225,screen,0
4,1471390000,2187023000,716,824.271,476.764,0.6676906145714285,8.760337078381754,97.02699999999999,28.750180955952263,0.01409286256300499,125126000.0,566.6439653061225,screen,0
5,2422275000,2812661000,390,824.643,474.626,0.6920504153954378,8.898399028338423,57.136000000000024,2.1701216555760636,-0.024408893107252482,235252000.0,566.6439653061225,screen,0
8,3383160000,3873665000,491,767.945,674.186,-2.982792198362012,-4.003144680292894,131.88800000000003,207.45808445081144,0.03224699693289674,570499000.0,566.6439653061225,keyboard,1
9,3973791000,4138917000,165,760.899,443.734,-3.473519732016056,10.885388079480514,47.43700000000001,230.55968949493325,-0.027949030717940488,100126000.0,566.6439653061225,screen,1
10,4158918000,5645308000,1486,790.646,418.627,-1.5346036487821149,12.509712648148447,81.43000000000006,38.92615390710976,-0.012234947764530636,20001000.0,566.6439653061225,screen,0
13,6285943000,7136698000,851,792.049,397.016,-1.448098829809309,13.902068837447628,87.46100000000007,21.656493945234985,-0.026284076666101334,640635000.0,566.6439653061225,screen,0
16,7962457000,9323720000,1361,783.299,406.36,-2.0209312160875017,13.298924827161088,176.89399999999995,12.801282591990534,0.040550590874844444,825759000.0,566.6439653061225,screen,0
20,10539858000,10684984000,145,809.013,315.561,-0.338874363443057,19.14248208691404,46.423,94.36984792294629,-0.02259896924198171,1216138000.0,566.6439653061225,screen,0
21,10714985000,10910237000,195,775.349,316.961,-2.5930980453777264,19.046616179273645,39.950000000000045,33.6930986405228,0.05410571560428187,30001000.0,566.6439653061225,screen,0
22,10985237000,11230493000,245,731.101,645.238,-5.3622842044546255,-2.129274476469838,110.32700000000011,331.2456403230087,0.029753979358948447,75000000.0,566.6439653061225,keyboard,1
23,11285491000,11730995000,446,932.265,644.051,7.643365117481363,-2.0483378503236622,105.15199999999993,201.16750201014077,-0.00010298471787013682,54998000.0,566.6439653061225,keyboard,0
24,11761001000,12161375000,400,883.95,659.735,4.524819032504997,-3.0663345924170184,164.99400000000003,50.79691999521224,0.049352758622104705,30006000.0,566.6439653061225,keyboard,0
25,12216375000,12771881000,556,663.975,669.15,-9.707531855065003,-3.659191189739051,167.086,220.17639031013294,0.05408458472600173,55000000.0,566.6439653061225,keyboard,0
26,12806881000,13067134000,260,761.157,641.297,-3.4182557752950107,-1.876659452848348,39.670999999999935,101.09466223792431,-0.004871639968297298,35000000.0,566.6439653061225,keyboard,0
