timestamp [ns],gaze x [px],gaze y [px],fixation id,blink id,azimuth [deg],elevation [deg]
0,799.882,844.28,,,-0.9353198523743111,-14.978591679982207
5001000,777.717,799.025,,,-2.380091586912522,-12.061790011251242
10000000,771.52,796.403,,,-2.785103778778004,-11.891516194413478
15000000,778.239,800.937,,,-2.346598322256296,-12.185032839248288
20001000,786.165,806.068,,,-1.828485313221664,-12.517005306348354
25000000,786.043,807.192,,,-1.836794696001183,-12.589384623592146
30001000,790.918,802.327,,,-1.515689535703913,-12.276693918259038
35001000,786.831,797.969,,,-1.7824382842469608,-11.995322593977129
40129000,787.47,796.143,,,-1.7400543483658015,-11.877766683916477
45126000,786.877,793.923,,,-1.7783167254407193,-11.73464999180208
50126000,785.391,785.317,2.0,,-1.8732264884823544,-11.179714544413834
55126000,782.213,784.632,2.0,,-2.080923228752206,-11.135094769856195
60126000,780.367,782.135,2.0,,-2.2008476071950187,-10.973822376806918
65129000,780.92,784.067,2.0,,-2.1653041546246747,-11.098433026693067
70126000,779.68,784.52,2.0,,-2.2465458777996608,-11.127426382028096
75126000,794.192,783.688,2.0,,-1.2971877982636593,-11.0757803829783
80126000,797.142,788.917,2.0,,-1.1051057956883368,-11.41311302205231
85126000,794.236,787.329,2.0,,-1.2949858692225673,-11.31050557123212
90126000,793.874,786.455,2.0,,-1.3184958467986492,-11.254105036892383
95126000,796.807,788.488,2.0,,-1.1269462148946645,-11.38544666558151
100126000,790.991,790.166,2.0,,-1.508005695961871,-11.493058122202944
105126000,792.558,793.565,2.0,,-1.406160392827111,-11.712283047956216
110129000,792.815,791.862,2.0,,-1.388960688072841,-11.602573194607416
115126000,794.227,792.746,2.0,,-1.2966750498337227,-11.659648101346372
120126000,794.439,792.249,2.0,,-1.2826705483021137,-11.627667920676334
125134000,795.748,792.364,2.0,,-1.197021264332048,-11.635190142717647
130126000,796.851,792.005,2.0,,-1.124726086898534,-11.612119632482177
135133000,793.621,794.606,2.0,,-1.3367330085771685,-11.7794471647648
140127000,791.151,796.547,2.0,,-1.4990257014261663,-11.904296512770715
145134000,787.573,794.873,2.0,,-1.7329827444453405,-11.795918437881449
150127000,790.785,794.256,2.0,,-1.5224541362317987,-11.756622122044265
155131000,789.035,794.327,2.0,,-1.6370666103479614,-11.76094857913541
