section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126046438062,4.7661,4.3582,-32.0,7.3125,-41.9688,30.7969,9.3125,-38.8438,-0.0255,0.5179,0.855,-0.2873,0.4884,0.824,-0.3003,-0.9526,7.498,-0.3711,-1.0508,7.9178
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126051447062,4.7661,4.5199,-31.75,7.125,-41.9062,31.0156,9.0625,-38.4688,-0.0852,0.5481,0.8321,-0.3236,0.5121,0.7957,-0.3374,-0.9814,7.4387,-0.4141,-1.0771,7.7674
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126056438062,4.6999,4.4647,-31.75,6.9375,-41.375,31.0781,8.75,-39.2188,-0.0547,0.5578,0.8281,-0.2846,0.5263,0.8013,-0.3555,-0.9927,7.3759,-0.4324,-1.1133,8.0149
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126061448062,4.6154,4.3582,-31.8438,7.1875,-40.9688,30.9531,9.2188,-38.75,-0.025,0.5448,0.8382,-0.3025,0.5121,0.8039,-0.3438,-0.9697,7.2256,-0.3923,-1.0479,7.6456
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126066439062,4.6742,4.4096,-31.8125,7.3438,-41.3125,31.0,9.0,-39.2812,-0.0468,0.5304,0.8465,-0.2948,0.4994,0.8147,-0.3289,-0.9521,7.1767,-0.3818,-1.0693,8.0287
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126071438062,4.7955,4.2259,-32.3438,7.0312,-42.0625,30.3906,8.7812,-38.75,-0.037,0.5522,0.8329,-0.2762,0.5213,0.8075,-0.344,-1.0098,7.7124,-0.4185,-1.0791,7.7428
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126076438062,4.5419,4.2773,-31.8125,7.125,-40.125,30.9688,9.0938,-39.1875,-0.0044,0.5615,0.8275,-0.2975,0.5279,0.7955,-0.3801,-1.0098,7.3118,-0.3892,-1.0645,7.8867
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126081571062,4.6595,4.3141,-31.8438,7.0625,-40.5625,30.9219,9.0625,-38.625,-0.0174,0.5583,0.8295,-0.2893,0.5263,0.7996,-0.3762,-1.0156,7.4272,-0.4265,-1.0771,7.6286
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126086563062,4.7697,4.2994,-31.5,7.0312,-40.625,31.3125,9.25,-39.5,-0.0418,0.5558,0.8303,-0.2948,0.5263,0.7976,-0.3804,-1.0068,7.2731,-0.3601,-1.0615,8.1728
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126091450062,4.597,4.4684,-31.4375,7.0312,-41.1562,31.3906,9.125,-39.5625,-0.0551,0.5477,0.8349,-0.3088,0.5154,0.7994,-0.3569,-1.0068,7.5331,-0.3667,-1.0586,8.0633
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126096563062,4.6742,4.3876,-31.1875,6.8438,-40.625,31.625,9.0,-38.6875,-0.0706,0.5623,0.8239,-0.3584,0.5263,0.7711,-0.4019,-1.0273,7.2864,-0.4304,-1.0918,7.7677
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126101563062,4.5897,4.2553,-31.8438,6.9375,-40.5,30.9531,8.9062,-39.625,-0.0012,0.557,0.8305,-0.2651,0.5254,0.8085,-0.3838,-1.0283,7.4994,-0.4043,-1.083,7.9492
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126106563062,4.7991,4.2773,-31.8438,6.8438,-41.9375,30.9219,9.0625,-38.3125,-0.0484,0.5534,0.8315,-0.2844,0.5238,0.803,-0.3594,-1.0117,7.566,-0.438,-1.0557,7.2336
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126111563062,4.7771,4.3582,-31.7188,6.5,-41.25,31.0781,8.5625,-39.25,-0.0391,0.5887,0.8074,-0.2645,0.5591,0.7858,-0.4167,-1.0645,7.5796,-0.4705,-1.1172,7.6378
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126116563062,4.7036,4.4023,-32.0312,6.8438,-41.125,30.7969,9.0938,-39.2812,0.0076,0.5671,0.8236,-0.24,0.5415,0.8057,-0.3943,-1.0479,7.6239,-0.4197,-1.0469,7.3291
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126121563062,4.6963,4.3802,-31.875,6.875,-41.0625,30.9219,9.3438,-38.7812,-0.0085,0.5611,0.8277,-0.2681,0.5304,0.8042,-0.3811,-1.0352,7.6135,-0.4324,-1.0283,6.9583
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126126567062,4.6081,4.3655,-31.8125,7.0312,-41.0625,31.0,9.0625,-38.875,-0.0044,0.5611,0.8277,-0.2711,0.5312,0.8027,-0.3733,-1.0273,7.6039,-0.4487,-1.085,7.4777
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126131563062,4.8102,4.417,-31.6875,6.8125,-41.5625,31.0938,9.3438,-38.3438,-0.0552,0.5647,0.8234,-0.3147,0.5337,0.7849,-0.3767,-1.0361,7.6743,-0.4297,-1.0645,7.4353
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126136563062,4.7404,4.4831,-31.4375,6.7188,-41.75,31.3281,9.3125,-38.3125,-0.0875,0.5724,0.8153,-0.3154,0.5469,0.7755,-0.3831,-1.04,7.6521,-0.4419,-1.083,7.5298
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126141563062,4.597,4.3545,-31.5625,7.0625,-40.8125,31.2344,9.5312,-38.3438,-0.0325,0.5699,0.821,-0.294,0.5403,0.7884,-0.3669,-1.0225,7.6142,-0.4148,-1.0596,7.5408
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126146563062,4.6669,4.5419,-31.5312,6.8438,-41.0,31.3125,9.4062,-38.75,-0.0415,0.5855,0.8096,-0.2865,0.5566,0.7798,-0.3826,-1.0342,7.5852,-0.4221,-1.0635,7.5076
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126151563062,4.733,4.6007,-31.5625,6.7188,-40.8125,31.3125,9.0312,-39.2188,-0.0254,0.5985,0.8007,-0.2405,0.5748,0.7822,-0.3931,-1.0596,7.7826,-0.45,-1.1123,7.8062
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126156563062,4.6522,4.6044,-31.2188,6.8125,-40.5312,31.6875,9.0625,-39.5625,-0.028,0.591,0.8062,-0.2442,0.5683,0.7857,-0.3894,-1.0361,7.5333,-0.4436,-1.123,8.0121
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126161563062,4.7624,4.6007,-31.0,7.1875,-40.9688,31.875,9.4375,-39.5,-0.0527,0.5659,0.8228,-0.2773,0.5424,0.793,-0.3376,-0.9946,7.5971,-0.4065,-1.0957,8.0832
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126166563062,4.7367,4.6779,-31.4375,7.2188,-41.0625,31.3906,9.4375,-39.5312,-0.0198,0.5623,0.8267,-0.2469,0.5387,0.8055,-0.3484,-1.0068,7.6278,-0.418,-1.0645,7.566
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126171563062,4.6999,4.6081,-31.5625,7.5312,-41.5938,31.25,9.8438,-39.8438,-0.0245,0.5279,0.8489,-0.2413,0.507,0.8275,-0.3093,-0.9634,7.5288,-0.373,-1.0146,7.4504
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126176563062,4.7771,4.2773,-31.8125,7.3438,-41.5625,31.0156,9.8438,-38.9375,-0.0159,0.5477,0.8365,-0.2658,0.5221,0.8104,-0.3352,-0.9878,7.5405,-0.3899,-1.0107,7.2153
30b60b47-bbab-4d47-a284-6746b25bee6a,67aedc57-62d3-4284-8aba-aaafe7f6e21c,1761562126181569062,4.8285,4.0091,-32.25,7.2188,-41.7188,30.5625,9.625,-39.625,0.0021,0.5312,0.8472,-0.2039,0.507,0.8375,-0.3418,-1.0137,7.7847,-0.3826,-1.0391,7.6455
