section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,1,1761561780484380868,1761561780679631868,195,749.203,992.61,-4.455435120440525,-24.481418151609343
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,2,1761561780714632868,1761561781059885868,345,730.823,965.749,-5.666092952291896,-22.7452658964507
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,3,1761561781080010868,1761561781675518868,596,763.198,992.574,-3.494951959836248,-24.48814218640731
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,4,1761561781795642868,1761561781945768868,150,761.318,565.905,-3.409704289224431,2.997514572746306
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,5,1761561781975768868,1761561782731528868,756,744.992,514.219,-4.479296728007966,6.334241153224483
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,6,1761561782791537868,1761561783126903868,335,620.591,780.119,-12.63279944002361,-10.749143649398748
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,7,1761561783337030868,1761561783487157868,150,760.327,972.668,-3.6671059126478545,-23.21007309660233
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,8,1761561783537282868,1761561783632283868,95,661.393,824.733,-10.040420702554243,-13.645086670821385
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,9,1761561783667412868,1761561783902535868,235,633.698,783.969,-11.78452277606599,-11.008226492261596
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,10,1761561783937661868,1761561784317914868,380,713.061,762.379,-6.583841695580383,-9.678696639966002
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,11,1761561784358040868,1761561784848419868,490,797.305,745.064,-1.0879978507378087,-8.584292972364038
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,12,1761561784978545868,1761561785248798868,270,731.615,938.661,-5.566690191861631,-21.010321037828145
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,13,1761561785514050868,1761561785609176868,95,790.193,696.457,-1.5442016704170622,-5.444241813224061
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,14,1761561785654176868,1761561786139681868,486,700.366,695.075,-7.365425763202111,-5.338835174023564
b4478daa-a1ba-47b6-b8fa-9bba56d99dcc,4c344ed0-a947-40f9-884b-3d11e2c80a45,15,1761561786169681868,1761561787420828868,1251,737.713,691.075,-4.944673077111597,-5.089907816034243
