timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,4.7477,4.5346,-31.8125,14.75,-42.75,31.0156,17.0312,-38.7188,0.04,0.2611,0.9645,-0.3251,0.2384,0.9151,0.0858,-0.8872,10.9309,0.1749,-0.9136,12.2211,62.99860789327015
4989000,4.7404,4.5603,-31.6875,14.5625,-42.6562,31.1094,16.8438,-38.8438,0.0334,0.2677,0.9629,-0.3244,0.246,0.9134,0.0527,-0.9209,10.9747,0.1497,-0.9438,12.3103,62.953867022288634
9990000,4.6963,4.4941,-31.6875,14.4062,-42.375,31.125,16.6875,-38.7812,0.0408,0.2799,0.9592,-0.3181,0.2573,0.9125,0.0205,-0.9438,10.9012,0.1306,-0.9697,12.4165,62.956571415381255
14990000,4.7881,4.4978,-31.625,14.5625,-42.625,31.1875,16.8438,-38.75,0.0258,0.2705,0.9624,-0.3315,0.2469,0.9106,0.047,-0.9194,10.8948,0.1619,-0.9512,12.5326,62.97324916930998
20114000,4.6448,4.406,-31.75,14.6875,-42.6875,31.0312,16.9062,-38.5,0.04,0.263,0.964,-0.3222,0.2412,0.9154,0.0779,-0.9238,11.2853,0.1448,-0.9336,12.1329,62.95980352081795
25115000,4.7771,4.4831,-31.625,14.625,-42.75,31.1719,16.9062,-38.75,0.0231,0.2602,0.9653,-0.3322,0.2384,0.9126,0.0646,-0.9097,10.9689,0.1753,-0.9375,12.5139,62.96550264271699
30115000,4.7587,4.5529,-31.75,14.6875,-42.7812,31.0781,16.875,-38.9375,0.0335,0.2535,0.9667,-0.3184,0.2327,0.919,0.082,-0.9058,11.1123,0.1812,-0.939,12.5958,62.98356401117675
35115000,4.8212,4.5199,-31.875,14.8125,-42.9375,30.9688,17.125,-39.0938,0.0356,0.228,0.973,-0.3066,0.2089,0.9286,0.1072,-0.8784,11.0589,0.2133,-0.9048,12.5353,63.003689450539326
40115000,4.8249,4.4758,-31.8125,14.625,-42.9062,31.0156,16.8438,-38.875,0.0346,0.2422,0.9696,-0.3208,0.2241,0.9202,0.0993,-0.8994,11.2245,0.187,-0.9351,12.6127,62.99637923317498
45115000,4.8726,4.3655,-31.6875,14.6562,-43.1875,31.1094,16.9375,-38.8438,0.0138,0.2365,0.9715,-0.3312,0.2175,0.9182,0.1332,-0.8794,11.3545,0.1952,-0.9263,12.5961,62.98827437698226
