timestamp [ns],gaze x [px],gaze y [px],fixation id,blink id,azimuth [deg],elevation [deg]
0,699.345,837.799,,,-7.563820137231231,-14.516987116400982
4989000,701.983,835.328,,,-7.386611447615167,-14.360525269156309
9990000,700.208,836.51,,,-7.505184221279452,-14.43498518391846
14990000,702.197,836.385,,,-7.373906998004625,-14.428490955671672
20114000,702.326,837.142,,,-7.36648131674946,-14.477198509979138
25115000,701.224,841.663,,,-7.445362316601015,-14.766434849960664
30115000,700.84,840.758,,,-7.469392423448077,-14.708040778696857
35115000,692.099,831.14,,,-8.031533953931962,-14.083866782659287
40115000,687.372,826.605,,,-8.33597027323697,-13.789001657029775
45115000,686.335,817.415,,,-8.39098511519375,-13.198634478918317
50115000,686.409,818.043,,,-8.386999297082488,-13.238981854776432
55116000,683.787,817.063,,,-8.557760815907233,-13.173904953946908
60115000,681.993,819.047,,,-8.678374237323833,-13.299657414755824
65118000,682.752,820.816,,,-8.631088157038628,-13.413789719361151
70116000,683.423,819.354,,,-8.584944687656717,-13.320567163281549
75115000,685.149,823.271,,,-8.477196572017252,-13.573288479195469
80115000,684.179,824.501,,,-8.542781855759884,-13.651346454905635
85117000,689.244,826.53,,,-8.212744709009971,-13.785758928926326
90115000,687.469,824.484,,,-8.326499269485575,-13.65304335226255
95115000,688.47,824.987,,,-8.26140436240175,-13.686170008323138
100130000,686.573,823.45,,,-8.383925899740472,-13.585982687959204
105116000,686.949,823.455,,,-8.359229163950998,-13.586621013075597
110115000,685.045,817.766,,,-8.476135004541913,-13.220090511003772
115116000,687.245,816.509,,,-8.329949706787637,-13.141240526669032
120116000,684.996,815.517,,,-8.47618094188682,-13.07575445823435
125123000,684.403,815.124,1.0,,-8.514596582320083,-13.0500676113214
130116000,686.522,812.728,1.0,,-8.372207604418083,-12.898025053737088
135116000,684.952,815.791,1.0,,-8.479451652625839,-13.093262179888264
140116000,684.758,811.743,1.0,,-8.486584214807472,-12.833372743863146
145116000,686.238,810.142,1.0,,-8.387350252903769,-12.73184625257574
150116000,685.578,814.66,1.0,,-8.436826159893243,-13.021252903070062
155116000,689.236,813.703,1.0,,-8.195518463313423,-12.962736148703666
160241000,687.183,813.757,1.0,,-8.330241419748923,-12.964553934456758
165132000,687.175,813.951,1.0,,-8.331058046556693,-12.977013313442802
170241000,686.479,816.553,1.0,,-8.38029424796881,-13.143402737455595
175248000,689.038,819.845,1.0,,-8.216862025510778,-13.356686019631308
180241000,687.615,818.695,1.0,,-8.308730393746407,-13.281742637211336
185241000,687.647,821.238,1.0,,-8.310178244999891,-13.44492680827262
190241000,687.747,815.985,1.0,,-8.296316219117756,-13.108001206846504
195241000,687.151,819.735,1.0,,-8.340661723159585,-13.34812426254191
200249000,683.289,820.668,1.0,,-8.59562583322593,-13.404774324430017
205241000,679.683,818.409,1.0,,-8.829133677165311,-13.256794077362168
210242000,675.317,822.113,1.0,,-9.121413106631792,-13.490456785013258
215247000,673.614,816.056,1.0,,-9.223917582582688,-13.100625844545206
