timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,2.5374,2.2563,-30.9688,9.2188,-38.75,32.125,10.25,-37.375,-0.086,0.3023,0.9493,-0.0331,0.2939,0.9553,-0.1603,-0.6807,5.8185,-0.1356,-0.646,5.6888,63.11720523660724
5001000,2.4179,2.2452,-30.7812,9.6875,-38.6875,32.3125,10.5625,-37.7188,-0.1044,0.246,0.9636,-0.0432,0.2356,0.9709,-0.0881,-0.627,5.9895,-0.0897,-0.5938,5.593,63.10720231780205
10004000,2.5025,2.3922,-31.0,9.4375,-38.8125,32.0625,10.125,-37.75,-0.1007,0.245,0.9643,-0.0261,0.2365,0.9713,-0.0679,-0.6353,6.305,-0.11,-0.6035,5.4825,63.0751969378614
15001000,2.4694,2.3004,-31.0,10.0312,-39.0938,32.0625,11.0938,-37.9062,-0.1056,0.1435,0.984,-0.0315,0.1329,0.9906,0.0095,-0.5396,6.0591,-0.0034,-0.5127,5.6149,63.082631672830516
20001000,2.3353,2.192,-30.9688,10.0,-38.625,32.125,10.8125,-37.5625,-0.089,0.1619,0.9828,-0.0574,0.1522,0.9867,-0.0519,-0.5566,5.5826,-0.0206,-0.5386,5.7201,63.10797620697403
25001000,2.6237,2.3261,-30.8125,9.8125,-38.8125,32.25,10.6562,-38.0,-0.1141,0.1542,0.9814,-0.0449,0.1435,0.9886,-0.0334,-0.5513,5.7244,0.0123,-0.5366,6.0558,63.07337704761019
30001000,2.5245,2.2122,-30.9062,9.875,-38.7812,32.1562,10.875,-37.6875,-0.1066,0.1455,0.9836,-0.0546,0.1348,0.9894,-0.0381,-0.5449,5.6009,0.0524,-0.5322,6.4437,63.07981034728941
35001000,2.4657,2.2452,-30.875,9.6875,-38.8125,32.2188,10.6875,-37.4375,-0.1234,0.1667,0.9783,-0.0603,0.1542,0.9862,-0.0385,-0.585,6.0507,0.0164,-0.5654,6.427,63.116703204777735
40001000,2.4584,2.3261,-31.0,9.6562,-38.8125,32.0938,10.625,-37.625,-0.1166,0.1744,0.9778,-0.0467,0.1619,0.9857,-0.0124,-0.5903,6.3968,0.0189,-0.5596,6.3878,63.112410254481645
45008000,2.5025,2.2654,-30.9375,9.5312,-38.7812,32.1562,10.625,-37.375,-0.1164,0.1811,0.9765,-0.0611,0.1696,0.9836,-0.0266,-0.6157,6.5311,0.0081,-0.5747,6.4425,63.11884644517832
50001000,2.3996,2.3004,-31.1875,9.7188,-38.6875,31.9062,10.6562,-37.5312,-0.0956,0.1715,0.9805,-0.0342,0.16,0.9865,0.0088,-0.5947,6.6776,0.013,-0.5527,6.2468,63.111256746637515
55007000,2.4363,2.2673,-30.9375,9.5312,-38.625,32.1562,10.375,-37.5625,-0.123,0.1869,0.9747,-0.0476,0.1763,0.9832,-0.0149,-0.6152,6.6531,-0.0155,-0.585,6.3019,63.10828697072992
60126000,2.5061,2.2011,-30.9375,9.5312,-38.625,32.1562,10.4375,-37.375,-0.1182,0.1888,0.9749,-0.0581,0.1763,0.9826,-0.0114,-0.6079,6.6081,-0.0113,-0.585,6.3473,63.11258875517625
65016000,2.4749,2.2636,-31.0938,9.8125,-38.6875,31.9688,10.8125,-37.4062,-0.1006,0.159,0.9821,-0.0478,0.1484,0.9878,0.0134,-0.5879,6.6502,0.0321,-0.5498,6.4217,63.08354181916231
70126000,2.5061,2.2765,-30.875,9.9375,-38.5312,32.2188,10.7812,-37.625,-0.1132,0.1522,0.9818,-0.0527,0.1416,0.9885,0.0159,-0.5713,6.4889,0.0498,-0.5513,6.6312,63.105947632295326
75129000,2.541,2.1864,-30.7812,9.875,-38.4375,32.3125,10.5938,-37.5625,-0.1168,0.1628,0.9797,-0.0545,0.1513,0.987,0.0068,-0.5747,6.428,0.0316,-0.5742,6.6926,63.10386103979692
80126000,2.4547,2.2636,-30.9688,9.625,-38.5625,32.125,10.4688,-37.3125,-0.1211,0.183,0.9756,-0.0505,0.1715,0.9839,-0.024,-0.6035,6.4207,0.0095,-0.585,6.5738,63.11182216415558
85126000,2.4069,2.2452,-30.9688,9.6562,-38.3438,32.125,10.3438,-37.4375,-0.0973,0.1821,0.9785,-0.0438,0.1725,0.984,-0.0341,-0.605,6.3274,-0.0089,-0.5874,6.401,63.10405511446947
90126000,2.429,2.2857,-30.7812,9.6875,-38.6875,32.3125,10.5938,-37.5,-0.1367,0.1696,0.976,-0.0602,0.158,0.9856,-0.0022,-0.6006,6.6248,0.0321,-0.5684,6.6321,63.111381823170376
95136000,2.4363,2.3151,-30.875,9.8125,-38.3125,32.25,10.5,-37.5312,-0.108,0.1734,0.9789,-0.0496,0.1619,0.9856,-0.0154,-0.5898,6.3582,0.0155,-0.5767,6.5451,63.13357831566337
100126000,2.4859,2.2967,-30.9062,9.75,-38.5938,32.1875,10.5625,-37.5312,-0.1168,0.1628,0.9797,-0.0362,0.1522,0.9877,0.0043,-0.5879,6.5507,0.0145,-0.5693,6.4515,63.107877913141714
105126000,2.3904,2.3114,-31.0,9.625,-38.625,32.125,10.4688,-37.625,-0.1025,0.1619,0.9815,-0.0208,0.1503,0.9884,-0.0096,-0.5962,6.4943,0.0123,-0.5806,6.5546,63.138558927488994
110127000,2.4455,2.3647,-30.9688,10.0,-38.75,32.125,11.0,-37.5312,-0.0925,0.1164,0.9889,-0.0238,0.1048,0.9942,0.0529,-0.5659,6.8303,0.0734,-0.5181,6.5132,63.11349358005783
115127000,2.3665,2.2893,-30.75,9.7188,-38.6875,32.3438,10.6562,-37.4375,-0.1057,0.1406,0.9844,-0.0392,0.13,0.9907,0.0336,-0.5874,6.8649,0.0262,-0.5488,6.3459,63.11314298305861
120127000,2.3996,2.2783,-30.6875,10.0,-38.8438,32.375,10.9688,-37.5625,-0.1175,0.1193,0.9859,-0.048,0.1087,0.9929,0.0707,-0.541,6.7425,0.0665,-0.5225,6.4876,63.082954982942894
125127000,2.3445,2.2232,-31.0,9.9375,-38.8125,32.0938,10.9062,-37.5938,-0.0953,0.1261,0.9874,-0.0335,0.1164,0.9926,0.0583,-0.564,6.868,0.0668,-0.5273,6.5453,63.11300347646276
