timestamp [ns],gaze x [px],gaze y [px],fixation id,blink id,azimuth [deg],elevation [deg]
0,792.979,450.368,,,-1.3747872220342308,10.463464771997826
5009000,789.032,488.785,,,-1.6251085345880714,7.983507538379857
10006000,793.835,508.908,,,-1.3101291070687766,6.683982907915439
14996000,790.787,536.012,,,-1.504946819635708,4.931980248354443
19996000,789.833,567.717,,,-1.564287489062682,2.881840560124225
24996000,802.476,615.047,,,-0.7454856702662909,-0.1797061655120549
29999000,806.211,643.02,,,-0.5041803982918641,-1.9893482868782544
34996000,803.067,650.825,,,-0.7077073547690164,-2.494160165327786
39996000,805.038,679.344,,,-0.5809991982007133,-4.338509114097277
44997000,800.318,678.186,,,-0.8866626846532516,-4.263567131987457
49997000,804.717,676.347,,,-0.6016698442168273,-4.144722001585129
54997000,801.831,672.746,,,-0.7884356990787403,-3.911823534141316
60003000,800.381,669.509,,,-0.8822051808899128,-3.702503124835242
64997000,797.073,673.909,,,-1.0966011883682776,-3.9869350045666136
70008000,794.701,679.32,,,-1.2505994933119575,-4.336661715243379
74997000,796.79,678.827,,,-1.115253886963398,-4.304904082422651
79997000,798.9,673.799,,,-0.9782728548599604,-3.979849462213532
84997000,797.828,674.458,,,-1.0477641951221308,-4.022439027535746
89997000,795.75,673.7,,,-1.1822880697617943,-3.973358916584528
94997000,795.61,673.84,,,-1.191319893429109,-3.9824273621974178
99997000,794.455,670.858,,,-1.2659684351311349,-3.789575518855811
105122000,790.773,673.428,,,-1.5044940983845736,-3.955580217164074
110008000,792.447,674.488,,,-1.3961783872291011,-4.024182451957381
115125000,790.163,672.575,,,-1.54397473152621,-3.9004133039270408
120122000,792.859,671.095,,,-1.3692811927029995,-3.804821618024289
125127000,789.71,670.829,1.0,,-1.5731573077954886,-3.7874849604153487
130125000,788.719,672.536,1.0,,-1.6374865373345189,-3.89784833597245
135126000,788.912,668.631,1.0,,-1.6246312323100214,-3.645383800321349
140122000,794.205,673.799,1.0,,-1.282300942835215,-3.979704712724272
145122000,793.647,674.14,1.0,,-1.3184605406167529,-4.00174112930126
150123000,793.543,674.939,1.0,,-1.3252702418862523,-4.053402854113578
155123000,790.732,676.548,1.0,,-1.5074567796272955,-4.157322951862975
