timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,2.9489,2.8773,-31.125,15.6875,-39.4375,31.9062,17.375,-37.625,-0.0711,-0.131,0.9888,-0.0527,-0.1387,0.9889,0.3887,-0.3325,7.9063,0.4829,-0.3174,8.7917,63.07983026245394
5000000,2.8938,2.8534,-31.0,15.3438,-39.6875,32.0,17.1562,-37.4688,-0.0907,-0.1077,0.99,-0.0693,-0.1155,0.9909,0.353,-0.3557,7.7675,0.4619,-0.3396,8.8018,63.065104641552765
10000000,2.982,2.8626,-31.0625,15.375,-39.75,31.9688,17.1875,-37.5625,-0.0925,-0.1145,0.9891,-0.0692,-0.1223,0.9901,0.3665,-0.3555,7.9137,0.4573,-0.3372,8.7228,63.09528581589912
15004000,2.9361,2.8552,-31.125,15.5625,-39.5625,31.8906,17.375,-37.4375,-0.0818,-0.1232,0.989,-0.0605,-0.131,0.9895,0.3752,-0.3457,7.903,0.4849,-0.3179,8.819,63.077465267795915
20001000,2.9324,2.8663,-30.8125,15.75,-39.375,32.2188,17.5625,-37.5625,-0.0999,-0.1397,0.9851,-0.0815,-0.1474,0.9857,0.3799,-0.3247,7.7223,0.5239,-0.2935,8.9895,63.08339791252529
25004000,2.9287,2.8846,-31.0625,15.375,-39.625,31.9688,17.2188,-37.625,-0.0819,-0.1145,0.99,-0.0577,-0.1203,0.9911,0.3638,-0.3599,7.9326,0.4651,-0.3362,8.7995,63.08997050348019
30001000,2.903,2.8295,-31.0938,15.7812,-39.5938,31.9375,17.625,-37.25,-0.0873,-0.1445,0.9856,-0.069,-0.1503,0.9862,0.3994,-0.3242,7.934,0.5142,-0.2913,8.8551,63.10180485984533
35001000,2.9692,2.8883,-31.1875,15.4688,-39.75,31.875,17.3125,-37.6875,-0.0827,-0.1252,0.9887,-0.0508,-0.131,0.9901,0.3704,-0.3516,7.9137,0.4705,-0.3301,8.7923,63.12314981201429
40001000,2.8571,2.9287,-30.9688,15.5938,-39.5,32.0625,17.3438,-37.625,-0.0905,-0.1252,0.988,-0.0663,-0.1329,0.9889,0.3689,-0.3391,7.7596,0.4812,-0.3186,8.786,63.083459834492274
45126000,3.0022,2.892,-31.2812,15.625,-39.8438,31.7188,17.4375,-37.5625,-0.0817,-0.1329,0.9878,-0.0498,-0.1397,0.9889,0.4009,-0.3379,8.1015,0.4961,-0.3062,8.8159,63.067340882107914
50126000,2.9563,2.9104,-31.1875,15.6875,-39.5625,31.8594,17.5312,-37.5625,-0.0797,-0.1397,0.987,-0.0497,-0.1474,0.9878,0.3862,-0.3301,7.8522,0.49,-0.2971,8.6476,63.105553078156284
55126000,2.8699,2.8663,-30.9688,15.5,-39.5312,32.0625,17.3125,-37.5625,-0.0876,-0.1184,0.9891,-0.0711,-0.1261,0.9895,0.3601,-0.3518,7.8027,0.4788,-0.3291,8.8746,63.08807902948068
60126000,2.892,2.8846,-31.0938,15.625,-39.4375,31.9062,17.5,-37.4062,-0.0769,-0.1281,0.9888,-0.0633,-0.1358,0.9887,0.3694,-0.3418,7.7948,0.4939,-0.2993,8.7158,63.060620078540296
65135000,2.8993,2.8699,-31.25,15.6562,-39.5938,31.7812,17.4375,-37.5625,-0.074,-0.131,0.9886,-0.0479,-0.1387,0.9892,0.3901,-0.3369,7.9712,0.4695,-0.3086,8.544,63.089074987829704
70126000,2.8938,2.9104,-31.2188,15.5625,-39.6875,31.8125,17.3438,-37.625,-0.0827,-0.1252,0.9887,-0.0527,-0.1329,0.9897,0.3899,-0.3508,8.1225,0.4719,-0.3215,8.7143,63.09018715798837
75126000,2.8865,2.835,-31.0938,15.5,-39.5625,31.9062,17.3438,-37.375,-0.0819,-0.1184,0.9896,-0.0654,-0.1252,0.99,0.3689,-0.3525,7.9083,0.4775,-0.3191,8.7503,63.06492491623216
80132000,2.8938,2.8589,-31.125,15.6562,-39.5,31.8906,17.4375,-37.5938,-0.0798,-0.1329,0.9879,-0.0546,-0.1387,0.9888,0.3799,-0.3396,7.887,0.4944,-0.3098,8.8371,63.06958436116413
85126000,2.9177,2.8699,-31.1875,15.4688,-39.625,31.8594,17.3438,-37.5,-0.0819,-0.1184,0.9896,-0.0576,-0.1252,0.9905,0.3652,-0.3567,7.9137,0.4744,-0.3206,8.7308,63.11056052365563
90126000,2.9104,2.8791,-31.25,15.5938,-39.4375,31.75,17.4688,-37.5625,-0.0692,-0.129,0.9892,-0.0508,-0.1368,0.9893,0.3738,-0.3401,7.8246,0.4937,-0.3088,8.8181,63.05577887870389
95126000,2.9269,2.8405,-30.9688,15.4688,-39.5,32.0625,17.3438,-37.5625,-0.0925,-0.1184,0.9887,-0.0663,-0.1261,0.9898,0.3625,-0.3616,7.938,0.4824,-0.3286,8.9103,63.08893968787239
100126000,2.9581,2.8644,-31.1875,15.875,-39.3125,31.875,17.6562,-37.5625,-0.0662,-0.1435,0.9874,-0.0545,-0.1503,0.9871,0.4111,-0.3167,7.9809,0.521,-0.2837,8.8488,63.11191709724876
105133000,2.9159,2.8663,-31.0625,15.75,-39.4375,32.0,17.5312,-37.4375,-0.0846,-0.131,0.9878,-0.072,-0.1387,0.9877,0.3918,-0.3276,7.8876,0.4932,-0.3093,8.818,63.119343942170374
110126000,2.9324,2.9104,-31.0938,15.6562,-39.4375,31.9531,17.5,-37.5625,-0.0788,-0.131,0.9882,-0.0585,-0.1397,0.9885,0.3855,-0.3423,7.9791,0.5034,-0.3074,8.9118,63.1017180673395
115127000,2.8846,2.881,-31.2188,15.6875,-39.3125,31.8438,17.5,-37.5312,-0.074,-0.1329,0.9884,-0.0527,-0.1387,0.9889,0.3911,-0.3396,8.0118,0.4988,-0.3137,8.9296,63.11378379324124
120127000,2.8901,2.8534,-31.0938,15.7812,-39.4062,31.9062,17.6562,-37.4375,-0.0719,-0.1435,0.987,-0.068,-0.1503,0.9863,0.3936,-0.3345,7.9822,0.519,-0.2815,8.8026,63.05863465608814
125126000,2.8828,2.8056,-31.2188,15.5625,-39.4375,31.8125,17.4688,-37.4375,-0.0712,-0.1223,0.9899,-0.0605,-0.1281,0.9899,0.3745,-0.3518,7.9625,0.4768,-0.3071,8.61,63.09182799206249
130126000,2.9067,2.8607,-31.0625,15.5,-39.4062,31.9688,17.3125,-37.625,-0.0799,-0.1155,0.9901,-0.0586,-0.1232,0.9906,0.3594,-0.3501,7.7757,0.478,-0.3328,8.9068,63.08250636571125
135127000,2.881,2.8754,-31.0938,15.5,-39.4062,31.9375,17.3438,-37.5938,-0.077,-0.1155,0.9903,-0.0576,-0.1223,0.9908,0.3513,-0.3467,7.6486,0.4849,-0.3301,8.9539,63.08430210353444
140127000,2.8883,2.8332,-30.9688,15.875,-39.2812,32.0625,17.75,-37.375,-0.0893,-0.1435,0.9856,-0.0757,-0.1503,0.9857,0.3816,-0.3147,7.6307,0.5342,-0.2747,8.8982,63.08798620284214
145127000,2.9838,2.8883,-31.2188,15.375,-39.6875,31.7969,17.3125,-37.4375,-0.079,-0.1155,0.9902,-0.0615,-0.1223,0.9906,0.3582,-0.3767,8.0572,0.4624,-0.3267,8.6642,63.0856152600575
150129000,2.9177,2.8167,-31.0,15.3438,-39.375,32.0312,17.1875,-37.625,-0.0897,-0.1019,0.9907,-0.0684,-0.1096,0.9916,0.3413,-0.3691,7.7867,0.4661,-0.3452,8.9104,63.082437358824365
155127000,2.9232,2.8626,-31.0,15.75,-39.3438,32.0,17.5625,-37.625,-0.0826,-0.1387,0.9869,-0.068,-0.1474,0.9867,0.3821,-0.3264,7.7656,0.5078,-0.3081,8.9694,63.04949983695351
160127000,2.8424,2.8001,-30.9688,15.8125,-39.3125,32.0625,17.6875,-37.375,-0.0826,-0.1416,0.9865,-0.0796,-0.1474,0.9859,0.3896,-0.3193,7.7715,0.5327,-0.2815,8.9569,63.08893968787239
165127000,2.9324,2.8754,-31.0625,15.6562,-39.5,31.9531,17.5312,-37.5938,-0.0826,-0.1358,0.9873,-0.0584,-0.1435,0.9879,0.3777,-0.3352,7.814,0.5078,-0.3076,8.964,63.072300313211976
170127000,2.9085,2.8754,-30.9688,15.4375,-39.5,32.0625,17.2188,-37.5,-0.0925,-0.1116,0.9894,-0.0693,-0.1174,0.9907,0.3513,-0.3604,7.8,0.4749,-0.3396,8.9468,63.08817487754738
175128000,2.8552,2.8497,-31.0938,15.5625,-39.375,31.9375,17.375,-37.5625,-0.0789,-0.1223,0.9894,-0.0605,-0.1281,0.9899,0.373,-0.3567,8.0003,0.4849,-0.3271,8.9215,63.08339791252529
180127000,2.8828,2.8203,-30.9062,15.75,-39.1562,32.1562,17.5,-37.4375,-0.0846,-0.131,0.9878,-0.0797,-0.1387,0.9871,0.3755,-0.3301,7.7329,0.5098,-0.3127,9.0426,63.11008416608236
185262000,2.9434,2.8497,-31.2188,15.5938,-39.625,31.8438,17.4375,-37.5312,-0.076,-0.1232,0.9895,-0.0547,-0.131,0.9899,0.3789,-0.3523,8.0167,0.4907,-0.3147,8.8498,63.12428016928194
190252000,2.9214,2.8718,-31.0625,15.4375,-39.5625,31.9688,17.3125,-37.5625,-0.0867,-0.1145,0.9896,-0.0634,-0.1223,0.9905,0.3628,-0.3591,7.9136,0.4792,-0.3291,8.8801,63.09089002930614
195253000,2.9085,2.8479,-31.0938,15.5625,-39.4375,31.9531,17.375,-37.4375,-0.0828,-0.1203,0.9893,-0.0653,-0.1281,0.9896,0.3599,-0.3511,7.7919,0.4888,-0.3298,8.9951,63.10464924124054
200258000,2.8975,2.8993,-31.0938,15.5625,-39.4062,31.9375,17.3438,-37.5,-0.077,-0.1203,0.9897,-0.0653,-0.1261,0.9899,0.3567,-0.3508,7.754,0.4868,-0.3213,8.8787,63.08527092610446
205252000,2.8828,2.8479,-31.1875,15.625,-39.5,31.8594,17.4688,-37.4062,-0.0798,-0.1261,0.9888,-0.0653,-0.1339,0.9888,0.3806,-0.345,7.9546,0.4883,-0.3108,8.7793,63.108598435474704
210252000,2.9342,2.9508,-31.0,15.5938,-39.4062,32.0,17.3125,-37.625,-0.0828,-0.1184,0.9895,-0.0663,-0.1281,0.9895,0.3655,-0.3447,7.7839,0.4861,-0.3408,9.0864,63.04860508472809
