fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,0,250253000,250,742.808,403.426,-4.685170868980323,13.47485393260674,48.731999999999914,0.0,0.0,0.0,541.9347457386364,screen,0
2,315253000,755758000,441,703.448,727.019,-7.183649258813591,-7.3977923334922595,77.17899999999986,325.97797356416584,1.6918360156773016,65000000.0,541.9347457386364,keyboard,1
3,790758000,1616527000,826,825.939,725.102,0.7748280661352042,-7.2953208816823745,65.94299999999998,122.50599973062542,-0.015648851874262182,35000000.0,541.9347457386364,keyboard,0
4,1656516000,1856768000,200,754.478,724.122,-3.868040841635249,-7.226536898594621,35.22500000000002,71.46771943332179,-3.127879739251667,39989000.0,541.9347457386364,keyboard,0
5,1886768000,2392273000,506,793.935,728.82,-1.30513851896016,-7.53527145238031,52.81299999999999,39.735702497879664,0.11850840402939282,30000000.0,541.9347457386364,keyboard,0
6,2432273000,2632525000,200,908.103,710.57,6.103031574126431,-6.341779917180292,37.76999999999998,115.61744991133476,-0.158511097114976,40000000.0,541.9347457386364,keyboard,0
7,2687526000,2957781000,270,762.531,758.681,-3.356936396366822,-9.457905907091924,36.32799999999986,153.31625975414352,2.822397644372718,55001000.0,541.9347457386364,keyboard,0
8,3002779000,3162905000,160,872.735,711.467,3.810323984410029,-6.408658165986783,34.16899999999998,119.89196558568894,-0.4047669327695726,44998000.0,541.9347457386364,keyboard,0
9,3203031000,3478283000,275,811.759,734.044,-0.1467180123760628,-7.87323229830533,31.673000000000002,65.02148494920736,2.7869836833119,40126000.0,541.9347457386364,keyboard,0
10,3508287000,3633410000,125,796.142,699.218,-1.1587014272539178,-5.622973981927005,25.752000000000066,38.16727610139346,-1.9923433186734507,30004000.0,541.9347457386364,keyboard,0
11,3673410000,3968663000,295,937.424,687.399,7.990187547779287,-4.839730443424962,29.62099999999998,141.77549959354747,-0.08346105324617291,40000000.0,541.9347457386364,keyboard,0
12,4033788000,4173915000,140,802.452,393.59,-0.7635101881322798,14.123701205107803,24.349000000000046,323.3282685831847,-2.00142890862491,65125000.0,541.9347457386364,screen,1
13,4193915000,4454167000,260,805.857,423.198,-0.5359936509691774,12.216357772856783,27.249000000000024,29.803148977918426,1.4562966333230025,20000000.0,541.9347457386364,screen,0
14,4474168000,4859547000,385,837.313,414.126,1.5285077938310234,12.798909311148288,31.73199999999997,32.73806836085479,-0.2807835421890064,20001000.0,541.9347457386364,screen,0
15,4879553000,5319926000,440,814.629,405.987,0.0390185001437071,13.32545260703866,37.87299999999999,24.099941431464057,-2.797100551855255,20006000.0,541.9347457386364,screen,0
19,6095683000,6350936000,255,682.29,703.139,-8.5405216763539,-5.852047059503657,50.18100000000004,325.2889823295588,1.9897832063086645,775757000.0,541.9347457386364,keyboard,1
20,6420937000,6641191000,220,964.516,693.855,9.744651956594948,-5.245399839361832,44.566999999999894,282.3786601923028,-0.03288376466292837,70001000.0,541.9347457386364,keyboard,0
23,7336820000,7441951000,105,858.87,619.692,2.900500185762462,-0.4799279650645873,36.097999999999956,129.07837884401863,-2.529528787826924,695629000.0,541.9347457386364,keyboard,0
24,7491949000,8077577000,586,727.997,652.936,-5.564182985595114,-2.626110841038924,57.523000000000025,135.02927706612374,2.892836634592588,49998000.0,541.9347457386364,keyboard,0
25,8097577000,8292704000,195,718.945,657.811,-6.15051393045143,-2.9396627707994702,31.95900000000006,10.281261060784242,2.647578821379579,20000000.0,541.9347457386364,keyboard,0
26,8327715000,9288589000,961,802.974,659.439,-0.7139952834652841,-3.0513020279412206,89.22499999999991,84.04476917096031,0.01937184007150403,35011000.0,541.9347457386364,keyboard,0
30,9919220000,10239473000,320,887.479,698.114,4.762065185241808,-5.543717044052452,40.192999999999984,92.93465795923501,0.4292100170178422,630631000.0,541.9347457386364,keyboard,0
31,10284598000,10529850000,245,769.017,659.344,-2.911481938936459,-3.0438420434298155,31.46199999999999,124.6449290745516,-2.8253018121427234,45125000.0,541.9347457386364,keyboard,0
32,10559851000,10659985000,100,786.919,685.335,-1.755246233971384,-4.725155485073939,24.62600000000009,31.559684488283413,0.9676424354068561,30001000.0,541.9347457386364,keyboard,0
33,10704977000,10895108000,190,937.999,630.468,8.011387138006544,-1.1724758654790226,28.15599999999995,160.734420983808,-0.3483548126639973,44992000.0,541.9347457386364,keyboard,0
34,10935232000,11120356000,185,1000.439,638.703,12.03707136942991,-1.694466314176397,31.62799999999993,62.98070200466166,0.13112981186999947,40124000.0,541.9347457386364,keyboard,0
37,11906114000,12091240000,185,951.618,656.427,8.895232697109657,-2.842206567195603,46.791000000000054,51.938715973731895,2.793348028946852,785758000.0,541.9347457386364,keyboard,0
38,12146366000,12381493000,235,780.927,704.617,-2.1462158510520344,-5.970839782668575,39.24000000000001,177.36316861456893,2.866431109013897,55126000.0,541.9347457386364,keyboard,0
40,13077131000,13222251000,145,1005.117,633.775,12.337137483510986,-1.3779282034535856,38.45399999999995,235.11645000722507,-0.3060620222896772,695638000.0,541.9347457386364,keyboard,0
41,13247376000,13637630000,390,1020.519,622.432,13.326327868224944,-0.6499275231065681,71.77599999999995,19.12812727372966,-0.6347808555441228,25125000.0,541.9347457386364,keyboard,0
42,13702756000,14003015000,300,710.977,602.204,-6.660677032176792,0.6496459640817772,50.03500000000008,310.20222718091503,-3.076337276969297,65126000.0,541.9347457386364,keyboard,0
46,14953893000,15119033000,165,995.657,648.028,11.73170680618695,-2.293336755404581,46.34100000000001,288.3444838660869,0.1595976894473143,950878000.0,541.9347457386364,keyboard,0
47,15174151000,15379272000,205,811.647,692.681,-0.1531091447086291,-5.200748221767407,31.05899999999997,189.35039083403024,2.903528249946523,55118000.0,541.9347457386364,keyboard,0
50,16200030000,16290156000,90,797.814,683.079,-1.0491900531400855,-4.579792151378652,30.849000000000046,16.838951659768014,-2.5348122959392714,820758000.0,541.9347457386364,keyboard,0
51,16330156000,16580408000,250,800.612,627.064,-0.8660669064374625,-0.9571072551804588,33.004999999999995,56.08483778170352,-1.5208869027565968,40000000.0,541.9347457386364,keyboard,0
52,16610409000,17256040000,646,808.308,604.93,-0.368366983351942,0.4747925120035302,72.231,23.433786975220226,-1.236171642285812,30001000.0,541.9347457386364,keyboard,0
53,17316165000,17716419000,400,1000.106,705.092,12.051835451170682,-5.949318523386938,62.46100000000001,216.3767525590492,0.4812702992146117,60125000.0,541.9347457386364,keyboard,0
57,18332057000,18472182000,140,938.99,394.555,8.22434874889828,14.005140515551313,40.66100000000006,316.49390803773775,-1.7651202660357508,615638000.0,541.9347457386364,screen,1
58,18517177000,18962681000,446,826.316,379.086,0.8106645957159251,15.056831273354724,70.37799999999993,113.73091152804498,-3.0051557175448362,44995000.0,541.9347457386364,screen,0
59,19007681000,19808439000,801,939.687,402.929,8.258441874757738,13.4673303247297,39.30200000000002,115.85107807008096,0.20728861745791866,45000000.0,541.9347457386364,screen,0
