fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,155127000,245137000,90,711.868,473.951,-6.653158659407507,8.920319539840756,21.546999999999912,0.0,0.0,0.0,507.7310447154472,screen,0
2,280253000,425379000,145,667.113,517.799,-9.526392272892508,6.078351838994356,42.32999999999993,62.65506467158099,2.3664308063513517,35116000.0,507.7310447154472,keyboard,1
3,490383000,670632000,180,773.342,693.766,-2.636299395250544,-5.268937733989134,65.46899999999994,205.5455801762713,1.0276701660890961,65004000.0,507.7310447154472,keyboard,0
8,2096895000,2242021000,145,741.315,321.178,-4.866841879794278,18.75927040913865,22.42300000000006,373.9619585907101,-1.6565437672361047,1426263000.0,507.7310447154472,screen,1
9,2262021000,2422273000,160,734.993,342.284,-5.262986676490754,17.4003264360626,42.656999999999925,22.03249690797663,1.8618270825029262,20000000.0,507.7310447154472,screen,0
10,2542274000,2972778000,431,716.019,696.355,-6.352089244289375,-5.425739062623635,74.10299999999995,354.57902605343145,1.6243332410524438,120001000.0,507.7310447154472,keyboard,1
13,3658413000,3768411000,110,837.753,674.18,1.53751047207577,-4.003915721540319,47.22500000000002,123.73721097955948,-0.18018383957505932,685635000.0,507.7310447154472,keyboard,0
14,3798536000,3943662000,145,798.93,696.744,-0.9777722625049402,-5.463187190470505,51.96799999999996,44.90389097839975,2.6151099989407,30125000.0,507.7310447154472,keyboard,0
15,4028663000,4434041000,405,711.365,329.587,-6.855473479418778,18.1969871530438,61.920000000000016,377.4544898050625,-1.8049175088588345,85001000.0,507.7310447154472,screen,1
18,5064672000,5249799000,185,772.459,664.791,-2.689357220449283,-3.396195270699907,57.200000000000045,340.7259873446697,1.3905159917416097,630631000.0,507.7310447154472,keyboard,1
19,5269924000,5670178000,400,774.139,683.222,-2.58294160031558,-4.587670034088834,56.930999999999926,18.50740827344546,1.4798967381981976,20125000.0,507.7310447154472,keyboard,0
21,6180683000,6305810000,125,687.213,715.73,-8.229540448235225,-6.664326993463302,72.01400000000012,92.80570855286872,2.783722438600411,510505000.0,507.7310447154472,keyboard,0
22,6330809000,6576068000,245,667.514,692.065,-9.490390330010268,-5.134020319551032,48.490999999999985,30.790953639015417,-2.26498987052578,24999000.0,507.7310447154472,keyboard,0
23,6611062000,6791313000,180,728.959,720.067,-5.523561919097249,-6.958522984251508,45.577999999999975,67.52481046993016,0.42760432222646727,34994000.0,507.7310447154472,keyboard,0
24,6861314000,7031441000,170,943.258,697.027,8.372238524331761,-5.45753242259393,52.37199999999996,215.5339950007888,-0.107101930632604,70001000.0,507.7310447154472,keyboard,0
25,7071571000,7261698000,190,822.905,710.67,0.5771404287797658,-6.363167157032065,39.21500000000003,121.12380467108856,3.0287162934464007,40130000.0,507.7310447154472,keyboard,0
27,7802198000,8147577000,345,639.021,624.313,-11.30596089382739,-0.773109779660431,81.53999999999996,203.15229977777756,-2.7025368380377146,540500000.0,507.7310447154472,keyboard,0
28,8217577000,8492829000,275,938.1,670.206,8.026992597642991,-3.7323098144016655,47.85399999999993,302.57960223716344,0.15226011414781646,70000000.0,507.7310447154472,keyboard,0
29,8532958000,8718081000,185,870.133,653.398,3.630610791276317,-2.658296884118878,34.819999999999936,70.01444103183283,-2.8991600920153764,40129000.0,507.7310447154472,keyboard,0
