timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,2.9471,2.3518,-30.75,15.7812,-37.875,32.3125,15.9688,-37.125,-0.0247,0.2949,0.9552,-0.0248,0.2883,0.9572,-0.2244,-0.6045,4.2421,-0.446,-0.4717,0.2871,63.067238721938665
5002000,2.4988,1.6995,-30.9062,16.8438,-38.0938,32.125,16.9375,-36.6875,-0.033,0.2003,0.9792,0.0053,0.1926,0.9813,-0.095,-0.4568,3.9879,-0.3413,-0.363,0.2407,63.04695577757898
10006000,2.5907,1.5764,-31.0625,19.5625,-37.375,31.9375,18.625,-36.1562,0.0463,0.0347,0.9983,0.0278,0.0298,0.9992,-0.0588,-0.0779,0.2078,-0.0967,-0.099,0.0254,63.01876212438642
15009000,2.9545,1.6683,-31.4375,18.0,-37.75,31.5625,16.5625,-37.3125,0.061,0.1754,0.9826,0.0975,0.1725,0.9802,-0.1871,-0.2324,0.4965,-0.3081,-0.332,0.2643,63.01791659917043
20012000,2.8369,1.5976,-30.8125,18.4375,-37.4375,32.1875,18.0,-36.9375,-0.0131,0.0883,0.996,0.017,0.0853,0.9962,-0.1379,-0.17,0.351,-0.1558,-0.1755,0.2164,63.00350312681034
25000000,2.7597,1.5103,-32.5312,18.4688,-37.4688,30.4375,17.7812,-35.9375,0.1336,0.1329,0.9821,0.1049,0.13,0.986,-0.15,-0.1884,0.4194,-0.1627,-0.1768,0.1536,62.99106963006741
30000000,3.1713,1.3376,-31.2188,18.3125,-37.75,31.7344,17.3125,-35.8125,0.0323,0.16,0.9866,-0.0072,0.1561,0.9877,-0.1499,-0.1758,0.2831,-0.2231,-0.2441,0.2306,62.99094614696624
35001000,2.8957,1.6564,-31.2812,18.7812,-38.7188,31.6875,18.0,-36.4375,0.0366,0.0561,0.9978,0.0297,0.0551,0.998,-0.0707,-0.0808,0.1106,-0.1263,-0.1379,0.1267,63.014853668163035
40000000,2.8865,1.7492,-31.3125,20.625,-37.9375,31.5781,19.25,-35.625,-0.0346,-0.062,0.9975,-0.0268,-0.0639,0.9976,0.0704,0.0726,0.0235,0.0181,0.0186,0.0048,62.94812030243636
45000000,2.7946,1.7253,-31.5625,20.5938,-36.5625,31.4219,19.625,-35.4688,-0.0015,-0.0727,0.9974,0.0414,-0.0766,0.9962,0.0756,0.0768,0.0144,0.0321,0.0311,0.0127,63.00134440224272
50000000,2.9269,1.5415,-30.5938,20.625,-36.8125,32.3125,18.5,-35.6875,-0.096,-0.0151,0.9953,-0.0425,-0.019,0.9989,0.0896,0.0947,0.056,-0.0511,-0.0468,0.0473,62.95223450911016
55000000,2.6586,1.604,-31.125,20.6875,-36.875,31.8438,19.5625,-35.4375,0.076,-0.1261,0.9891,-0.0479,-0.1252,0.991,0.1012,0.1069,0.062,0.0535,0.0518,0.0192,62.995252239275935
60000000,2.7285,1.8906,-30.8125,21.0625,-36.1875,32.2188,20.375,-35.1562,-0.052,-0.207,0.977,0.0692,-0.2051,0.9763,0.1451,0.1514,0.0684,0.1016,0.1002,0.0159,63.04348511646545
65000000,2.6495,1.7877,-31.875,20.8125,-36.6875,31.125,20.6875,-36.0,0.0042,-0.2967,0.955,0.0191,-0.2967,0.9548,0.1436,0.1484,0.0537,0.1305,0.1349,0.0482,63.00387512883632
70001000,2.282,1.7629,-31.625,20.625,-36.5312,31.375,20.4688,-35.25,-0.1276,-0.3033,0.9443,-0.0431,-0.3144,0.9483,0.1449,0.1508,0.0642,0.1241,0.1281,0.0435,63.013219818384144
75003000,2.2214,1.7326,-30.875,19.375,-37.0625,32.1562,20.25,-34.5,-0.1626,-0.2649,0.9505,-0.0014,-0.278,0.9606,0.0694,0.0715,0.023,0.238,0.1224,1.2663,63.08933511053988
80010000,1.8943,1.649,-30.5,17.5,-37.5625,32.5938,18.0625,-36.6875,-0.2075,-0.062,0.9763,-0.0793,-0.0776,0.9938,-0.0701,-0.1087,0.421,0.1486,-0.0992,2.7031,63.10237420010439
85008000,1.7822,1.785,-31.25,17.75,-37.75,31.8594,17.6562,-37.4688,-0.0949,-0.1571,0.983,-0.0294,-0.1677,0.9854,0.0407,-0.0804,1.3209,0.2083,-0.132,3.7137,63.110096183098946
90001000,2.1129,2.067,-30.6562,17.125,-37.625,32.4375,17.125,-37.7812,-0.159,-0.1542,0.9752,-0.0755,-0.1686,0.9828,0.1564,-0.1349,3.1777,0.1779,-0.1884,3.9976,63.09389335054542
95001000,2.2324,2.3573,-30.7812,16.8125,-37.9375,32.2812,17.125,-37.1875,-0.1875,-0.1551,0.9699,-0.0899,-0.1648,0.9822,0.1663,-0.1973,3.9683,0.1691,-0.1956,3.9803,63.06763393381743
100001000,2.2581,2.6145,-30.6875,16.0938,-38.6562,32.3438,16.6875,-37.0,-0.1931,-0.1232,0.9734,-0.1029,-0.1358,0.9854,0.1299,-0.2428,4.0701,0.1511,-0.2444,4.3196,63.05585030605805
105001000,2.4051,2.9085,-30.3438,17.125,-38.1875,32.6875,17.4375,-37.0938,-0.162,-0.2099,0.9642,-0.123,-0.2213,0.9674,0.2106,-0.173,4.1876,0.2404,-0.1766,4.5545,63.041562604602376
110001000,2.7964,2.914,-30.75,16.2188,-38.1875,32.3125,16.8438,-36.8125,-0.1168,-0.1648,0.9794,-0.1185,-0.1715,0.978,0.147,-0.2708,4.5642,0.1846,-0.219,4.4068,63.08058462197382
115001000,3.1216,2.971,-30.6875,16.5625,-37.8125,32.375,16.9375,-36.9375,-0.1058,-0.1869,0.9767,-0.116,-0.1974,0.9734,0.1976,-0.2286,4.6557,0.2001,-0.2134,4.5151,63.06968492271069
120126000,3.2448,2.9545,-30.8125,16.5625,-37.8125,32.2188,17.2188,-36.8125,-0.0883,-0.2051,0.9748,-0.109,-0.2127,0.971,0.2244,-0.2325,4.9917,0.2517,-0.1862,4.7834,63.04264833729624
125126000,3.2962,3.0573,-30.6875,16.5,-37.3125,32.3125,17.1875,-37.1875,-0.0749,-0.207,0.9755,-0.0947,-0.2175,0.9715,0.2212,-0.2452,5.0963,0.2761,-0.205,5.2579,63.00387512883632
