fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,0,115127000,115,715.582,384.44,-6.497353709044688,14.679975787690008,21.454999999999984,0.0,0.0,0.0,492.1664791139241,screen,0
2,155127000,525506000,370,773.241,307.926,-2.7408326460699803,19.62617828584549,69.91300000000001,95.80684984383946,-0.9250114544653786,40000000.0,492.1664791139241,screen,0
3,600632000,755766000,155,672.872,671.367,-9.13348962614385,-3.804222531934407,54.40700000000004,377.0454835188985,1.8402435579539969,75126000.0,492.1664791139241,keyboard,1
4,930885000,1191138000,260,758.371,311.697,-3.735130838781811,19.37759328712842,52.101000000000056,369.692558622702,-1.3374128948756179,175119000.0,492.1664791139241,screen,1
5,1316264000,1401390000,85,641.75,713.905,-11.17408894483374,-6.525114998611558,43.80499999999995,418.7740833731237,1.8530094397044943,125126000.0,492.1664791139241,keyboard,1
6,1436390000,1596517000,160,653.218,649.335,-10.394995999291869,-2.382617503207715,66.14200000000017,65.58048432270068,-1.3950235129111395,35000000.0,492.1664791139241,keyboard,0
7,1626525000,1901771000,275,624.11,674.69,-12.285236867416664,-4.00212903151552,68.56200000000013,38.602482938277404,2.4249948964704084,30008000.0,492.1664791139241,keyboard,0
8,1921771000,2082025000,160,644.761,696.703,-10.965375744452066,-5.422704474435554,33.09699999999998,30.183372409324882,0.8173111953708407,20000000.0,492.1664791139241,keyboard,0
9,2122023000,2317150000,195,689.361,699.429,-8.080435191952782,-5.6157547458586965,78.46600000000001,44.683230366659956,0.06104513462877927,39998000.0,492.1664791139241,keyboard,0
11,2872656000,3223035000,350,808.856,666.758,-0.3334489254120402,-3.524725866814612,66.73900000000015,123.88078650864306,-0.26688640421126264,555506000.0,492.1664791139241,keyboard,0
12,3258037000,3398161000,140,784.993,683.958,-1.8798670551730496,-4.636068474925797,43.79699999999991,29.415689164117758,2.517055351203241,35002000.0,492.1664791139241,keyboard,0
13,3423162000,3633414000,210,759.783,682.459,-3.512808708456985,-4.5368966865742415,54.075000000000045,25.254526346775975,-3.082202049098746,25001000.0,492.1664791139241,keyboard,0
14,4063794000,4514176000,450,701.204,650.868,-7.295901026903973,-2.48927802888303,98.06399999999996,66.55441774968811,-2.647010170399533,430380000.0,492.1664791139241,keyboard,0
15,4564299000,4739426000,175,641.799,679.543,-11.145657448807762,-4.319991223174434,35.99599999999998,65.96369948691473,2.691877763344336,50123000.0,492.1664791139241,keyboard,0
16,4789436000,4979682000,190,726.326,685.436,-5.680417922535353,-4.72373546565525,77.65200000000004,84.73217321655339,0.06960474266140353,50010000.0,492.1664791139241,keyboard,0
17,5024679000,5169805000,145,750.266,685.851,-4.129982012558817,-4.75472018887487,45.55899999999997,23.943596743179526,0.01733326808683807,44997000.0,492.1664791139241,keyboard,0
18,5239931000,5485184000,245,673.033,686.67,-9.130333663609656,-4.7889511506703375,74.17200000000014,77.23734232869482,3.1309887756743695,70126000.0,492.1664791139241,keyboard,0
19,5505184000,5645310000,140,675.446,683.005,-8.972373030101274,-4.553869236879485,55.81299999999999,4.388028486689642,-0.9885455086261896,20000000.0,492.1664791139241,keyboard,0
20,5670311000,5885566000,215,695.018,673.16,-7.702321308702534,-3.925177135484248,49.48900000000003,21.908610384960536,-0.4660563083372807,25001000.0,492.1664791139241,keyboard,0
21,5915573000,6265817000,350,656.64,689.52,-10.192281026050477,-4.96636920545208,78.34800000000007,41.71954558717057,2.738633347604327,30007000.0,492.1664791139241,keyboard,0
22,6295943000,6431069000,135,651.545,717.267,-10.542576092778004,-6.746191511538472,48.746000000000095,28.210902750532536,1.7523967739901956,30126000.0,492.1664791139241,keyboard,0
23,6461073000,6586196000,125,684.129,735.66,-8.444494097949322,-7.945186187184269,57.169000000000096,37.41683451335776,0.5138919028349526,30004000.0,492.1664791139241,keyboard,0
24,6686197000,6821323000,135,759.742,722.954,-3.525688687683905,-7.152151218446546,60.663000000000125,76.67312570255625,-0.16648448573876118,100001000.0,492.1664791139241,keyboard,0
