timestamp [ns],gaze x [px],gaze y [px],fixation id,blink id,azimuth [deg],elevation [deg]
0,654.479,743.183,1.0,,-10.377407458623203,-8.411328666202541
5009000,659.394,747.231,1.0,,-10.062477364794184,-8.67431188888284
10000000,661.763,741.82,1.0,,-9.9029100298785,-8.328507800280956
15000000,667.327,758.016,1.0,,-9.558301929551815,-9.371912687830322
20000000,668.853,746.956,1.0,,-9.447370089373733,-8.662652591514952
25125000,666.097,746.837,1.0,,-9.626415483516736,-8.65330201061893
30136000,666.749,749.028,1.0,,-9.586254391553783,-8.794439451364024
35125000,665.182,745.406,,,-9.684406320161708,-8.560877686550636
40125000,659.278,732.75,,,-10.055295166694188,-7.744586040326806
45125000,667.259,721.584,,,-9.52770511132714,-7.031682301699725
50126000,679.162,704.612,,,-8.744065812034002,-5.945581275962258
55125000,690.649,653.192,,,-7.978578371427237,-2.637493911907938
60126000,692.831,597.659,,,-7.833205125251208,0.9420153431433864
65126000,734.795,577.243,,,-5.123826362443608,2.2626558511224646
70126000,730.306,543.688,,,-5.421543488162703,4.428925003703314
75126000,760.256,511.606,,,-3.489573792449947,6.505888181456283
80126000,764.507,481.406,,,-3.2227680578779725,8.456398441398946
85126000,770.231,466.861,,,-2.854893288873367,9.396101474302764
90126000,763.516,455.505,,,-3.297244844929787,10.127140061052168
95126000,762.612,443.974,,,-3.3613801332112287,10.870431073005776
100126000,768.956,415.832,,,-2.959177249831092,12.685568058199529
105126000,766.593,420.139,2.0,,-3.1121293567044934,12.40745908868984
110126000,764.654,424.35,2.0,,-3.23722783422231,12.135655332459493
115126000,764.161,425.76,2.0,,-3.2688329663807267,12.044691664832849
120126000,745.824,433.365,2.0,,-4.465522543749809,11.548680440339696
125126000,750.194,433.491,2.0,,-4.1793844911515095,11.542145390090251
130126000,751.972,434.729,2.0,,-4.062236726349062,11.463015371363092
135126000,750.049,434.611,2.0,,-4.1881706184233085,11.469952440078416
140126000,756.206,424.721,2.0,,-3.790788340657258,12.109170002007524
145126000,751.575,426.83,2.0,,-4.093018062379837,11.971706092682137
150127000,751.422,428.94,2.0,,-4.101761088901277,11.835774344965044
155127000,751.086,427.527,2.0,,-4.124597126825172,11.926681590805934
160252000,751.274,428.789,2.0,,-4.11153805129068,11.84546044341146
165252000,747.926,425.997,2.0,,-4.332678714880441,12.0240526336295
170261000,747.605,427.328,2.0,,-4.352784395011902,11.938182188651098
175252000,751.229,431.175,2.0,,-4.112987948331451,11.691746365796336
180258000,750.531,432.691,2.0,,-4.15779666926707,11.593802152296751
185257000,754.051,426.224,2.0,,-3.931135231656114,12.011637487059446
190252000,753.884,427.459,2.0,,-3.941337759820384,11.931978556533704
195262000,751.405,432.887,2.0,,-4.10046574339829,11.581471910450984
200252000,750.396,428.208,2.0,,-4.169395191273223,11.882535266011464
205252000,749.68,425.994,2.0,,-4.217752495793765,12.024860064219466
210252000,752.483,427.776,2.0,,-4.032969491877604,11.911087970377904
215252000,753.144,417.249,2.0,,-3.9961916383790106,12.589313674791988
220252000,752.515,415.989,2.0,,-4.038252812443902,12.670238314940152
225264000,751.573,419.808,2.0,,-4.097598555519592,12.423979215489728
230252000,750.476,420.357,,,-4.169172260321839,12.388167864486972
235254000,753.054,420.618,,,-3.9999796833351113,12.37233807633839
240252000,749.922,420.916,,,-4.205135115259096,12.351972115532904
245253000,752.85,416.339,,,-4.016052889486191,12.647787618950526
