timestamp [ns],gaze x [px],gaze y [px],fixation id,blink id,azimuth [deg],elevation [deg]
0,614.18,644.215,,,-12.911845167959893,-2.0463091305999725
5000000,612.413,645.813,,,-13.026268574254203,-2.1483566443578925
10000000,610.695,646.566,,,-13.137271605339446,-2.1962017682141624
15000000,611.12,646.566,,,-13.109853960724696,-2.196248325752667
20008000,611.147,647.395,,,-13.108452912684529,-2.2493399189595795
25125000,612.102,643.346,,,-13.045518901583533,-1.9902817869184328
30125000,613.703,644.803,,,-12.942754047017411,-2.0839118865973565
35125000,613.128,646.93,,,-12.980539895168247,-2.220008012479525
40125000,612.901,648.007,,,-12.995562016470377,-2.2889483830773014
45125000,612.401,647.702,,,-13.027713506178427,-2.2693120293139266
50125000,611.819,647.953,,,-13.06528148400543,-2.2852586465974416
55125000,620.309,649.009,,,-12.518251772194356,-2.35483818499722
60126000,638.486,642.762,,,-11.34386529599412,-1.9576715593169216
65126000,656.894,656.029,,,-10.15985940834473,-2.8136717643814624
70125000,679.772,643.289,,,-8.67895076240359,-1.9978593382534129
75126000,690.278,632.656,,,-7.998646382493901,-1.3138935441742237
80126000,686.991,634.797,,,-8.211204143278124,-1.451628648674215
85126000,685.926,636.399,,,-8.280271931008121,-1.5547021690748364
90126000,686.465,637.358,,,-8.245601406026754,-1.616592773459792
100126000,683.307,643.812,,,-8.450739996848423,-2.031991749637806
105126000,686.678,643.013,,,-8.23281613310765,-1.9809655862469664
110135000,683.409,646.576,,,-8.444756401369105,-2.21010744192126
115126000,683.787,647.492,,,-8.420550310029704,-2.2691363958690665
120126000,683.779,647.607,,,-8.42106996874154,-2.2765627219250795
125126000,686.411,648.213,1.0,,-8.251196427642974,-2.3159740256514203
130126000,689.093,647.381,1.0,,-8.077703516246995,-2.2627677166800977
135126000,690.445,650.366,1.0,,-7.99107673407303,-2.4552995463901084
140126000,688.612,649.444,1.0,,-8.109251111203585,-2.3956601323175173
145126000,687.263,649.975,1.0,,-8.1965380617608,-2.4296751871290048
150126000,685.819,647.957,1.0,,-8.289401559821087,-2.2994178470433453
155126000,688.447,649.286,1.0,,-8.11991732734609,-2.385444905292339
160252000,686.235,645.004,1.0,,-8.261881801210759,-2.109230878452338
165252000,686.331,645.424,1.0,,-8.255756115100363,-2.136276560766091
170252000,686.918,647.457,1.0,,-8.218258698883476,-2.2673741532659526
175252000,687.351,646.155,1.0,,-8.190018061953968,-2.1835379902967884
180252000,685.674,646.115,1.0,,-8.298328455471394,-2.180741088489006
185252000,682.992,651.081,1.0,,-8.472735610559754,-2.500241645788355
190252000,683.465,646.239,1.0,,-8.44103901071106,-2.188360659982126
195263000,682.221,646.421,1.0,,-8.521464803481537,-2.199957477028775
200252000,682.066,644.387,1.0,,-8.53101476974262,-2.068877634104119
205252000,680.409,648.193,1.0,,-8.638901843273747,-2.313768501481108
210252000,679.389,647.561,1.0,,-8.704645627741868,-2.272943194449337
215252000,678.363,645.066,1.0,,-8.770361317174064,-2.1121134688534964
220252000,682.552,641.381,1.0,,-8.499043012563574,-1.875348843978034
225252000,681.453,639.714,,,-8.56969237881534,-1.767803435704956
230252000,682.153,639.833,,,-8.524512628073925,-1.775579743689398
235252000,682.568,640.9,,,-8.497903898827625,-1.844352645917383
240253000,691.997,640.317,,,-7.888722974548661,-1.807893451083024
245253000,714.519,629.508,,,-6.432273324871282,-1.1125106889079237
250253000,723.588,627.88,,,-5.846073401197494,-1.007912672114677
255253000,729.397,626.979,,,-5.470571466163158,-0.9499788322776578
260253000,734.253,629.925,2.0,,-5.156900282635963,-1.1404981940891028
265255000,731.825,632.627,2.0,,-5.314038626863589,-1.3148784476427624
270253000,729.921,634.031,2.0,,-5.437253583764917,-1.4054362339574502
275253000,729.078,634.586,2.0,,-5.491789166424243,-1.4412119575653402
280257000,729.84,632.4,2.0,,-5.4423856076646615,-1.300133212462261
285262000,728.468,633.762,2.0,,-5.531144987362929,-1.3879747686952528
