timestamp [ns],gaze x [px],gaze y [px],fixation id,blink id,azimuth [deg],elevation [deg]
0,702.163,655.614,,,-7.235026883753856,-2.7954625744826123
4999000,705.178,648.074,,,-7.03847986735932,-2.30958801436992
9996000,704.719,643.219,,,-7.06729421205499,-1.9963671723707983
14996000,703.956,644.306,,,-7.11672918315202,-2.066427662571223
20002000,704.895,646.144,,,-7.056388977042149,-2.1850995135788343
25121000,706.256,643.912,,,-6.96802373614286,-2.0412639715560688
30124000,704.788,641.913,,,-7.062574475337847,-1.9121604286863552
35121000,703.943,644.299,,,-7.117615246616558,-2.0659458447972763
40121000,703.285,642.524,,,-7.159796811442888,-1.9514274843617867
45121000,707.858,651.939,,,-6.866046378799642,-2.559270946192825
50127000,709.325,650.776,,,-6.77097195595461,-2.4844266775839627
55121000,710.844,649.862,,,-6.672582897067724,-2.425671966933541
60125000,708.378,648.21,,,-6.831705256826184,-2.31872805880416
65121000,709.074,648.791,,,-6.786827044000043,-2.3563377897485465
70121000,708.967,645.342,,,-6.793096221370334,-2.133782682362321
75121000,710.95,647.415,,,-6.665298198629635,-2.2677537901869607
80121000,708.141,644.37,,,-6.846292610684744,-2.071036259194735
85121000,704.626,644.153,,,-7.0734377976019545,-2.056622120545593
90121000,703.829,644.125,,,-7.124917153517619,-2.054752895794472
95124000,703.958,645.682,,,-7.11685444280581,-2.1551875076455667
100121000,703.155,646.148,,,-7.168852294813503,-2.1850956929602834
105122000,703.559,643.983,,,-7.142361430246645,-2.045538231288998
110122000,701.905,639.377,,,-7.248508004872951,-1.7482685430379468
115122000,701.85,639.65,,,-7.252047663229678,-1.7658784784747872
120122000,699.421,640.975,,,-7.409255967748037,-1.8510615183706025
125124000,700.288,640.54,1.0,,-7.3531122801012,-1.823101610900357
130122000,700.566,642.718,1.0,,-7.335538162330605,-1.963622947520586
135122000,702.11,645.243,1.0,,-7.236190602213226,-2.1266142989145367
140122000,700.297,644.622,1.0,,-7.353230690305984,-2.0863733357665337
145122000,699.724,647.853,1.0,,-7.39089116289741,-2.2946212941345543
150122000,698.476,646.354,1.0,,-7.471287657682011,-2.197800126901441
155122000,698.608,649.457,1.0,,-7.463379268570079,-2.39791120863837
160122000,699.904,649.105,1.0,,-7.379514511265588,-2.3753845309101176
165247000,698.625,648.146,1.0,,-7.462006057018376,-2.313405960016551
170247000,697.971,644.715,1.0,,-7.5035410461409535,-2.0920649498951773
175247000,697.944,646.429,1.0,,-7.505630679386532,-2.20258493662696
180247000,695.17,647.258,1.0,,-7.68508317618426,-2.255643516032209
185247000,696.688,645.514,1.0,,-7.586603131120302,-2.143418384761913
190247000,698.217,644.832,1.0,,-7.487685195288677,-2.09963497486894
195248000,698.462,644.796,1.0,,-7.471839941623658,-2.0973820975956774
200247000,698.308,650.952,1.0,,-7.48306241799678,-2.4942436729818414
205248000,698.676,652.241,1.0,,-7.459608791740752,-2.577436261022824
210248000,700.988,650.745,1.0,,-7.309821988298102,-2.481277949938325
215248000,702.05,651.202,1.0,,-7.241271402304705,-2.5109377913978284
220248000,700.579,652.025,1.0,,-7.336559424047703,-2.563791138134896
225248000,700.554,647.775,1.0,,-7.337280015432188,-2.289707149886689
230248000,702.297,646.07,1.0,,-7.22425989287978,-2.1800082760764443
235248000,700.687,643.857,1.0,,-7.327929783034491,-2.0370860901163907
240248000,702.099,647.409,1.0,,-7.237324906848363,-2.2662928203626
245248000,703.385,648.52,1.0,,-7.154482199819837,-2.338097278986592
250251000,704.085,647.883,1.0,,-7.109083591173073,-2.2971170894535424
255251000,703.97,648.3,1.0,,-7.116605184434095,-2.323997063240863
260256000,704.516,647.306,1.0,,-7.08113460131031,-2.259946172045861
265248000,702.866,648.06,1.0,,-7.187871503416683,-2.3084019377092697
270249000,703.679,651.11,1.0,,-7.135967087056294,-2.505231968568561
275248000,706.07,650.013,1.0,,-6.981208884513253,-2.434791745983683
280248000,698.698,648.026,,,-7.457271936440631,-2.3056707516112525
285249000,700.492,646.289,,,-7.340998834560377,-2.1938774308000024
290248000,708.141,646.277,,,-6.846661670162423,-2.194024043309116
295248000,728.319,635.129,,,-5.540912183424947,-1.4762645417214069
300373000,755.814,642.98,,,-3.763923636773864,-1.985172594887484
305373000,776.287,631.133,,,-2.4392685602199062,-1.2199780922502736
310374000,804.517,639.545,,,-0.6137264930546761,-1.7645364588115156
315377000,812.177,651.178,,,-0.1183205194777223,-2.517068905549011
320374000,822.333,640.728,,,0.5385833455822652,-1.841056135428148
325376000,823.07,646.086,2.0,,0.5863407055524141,-2.187577045140369
330374000,822.133,644.237,2.0,,0.525699358563034,-2.0679969778853406
335376000,821.852,643.616,2.0,,0.5075293311654286,-2.02788038146722
340374000,823.056,643.135,2.0,,0.5854266763617532,-1.996732056748634
345374000,820.844,640.606,2.0,,0.4422927339090512,-1.83314280183386
350386000,819.16,640.846,2.0,,0.3334025564011943,-1.8486770239751456
355374000,820.536,642.234,2.0,,0.4224313015127479,-1.938446193258168
360374000,820.7,642.371,2.0,,0.4330043520146134,-1.9473199864189368
365374000,821.67,637.484,2.0,,0.4957273488384097,-1.631177456510202
370374000,823.33,639.356,2.0,,0.6031121887072742,-1.7523032623885375
375374000,822.609,640.201,2.0,,0.5564885985498927,-1.806968953006352
380377000,822.316,639.786,2.0,,0.5374776461337957,-1.780100974034062
385376000,823.546,640.664,2.0,,0.6170563063629093,-1.8368615902273564
390374000,824.706,640.358,2.0,,0.6920792794052503,-1.8170912265914303
395374000,826.541,637.822,2.0,,0.8107162920313755,-1.653000988340985
400382000,827.537,645.66,2.0,,0.875286492943224,-2.159958295892083
405374000,826.039,648.734,2.0,,0.778426701124909,-2.358827070590221
410375000,824.694,648.94,2.0,,0.6914257575887175,-2.372201413271816
