fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,0,330260000,330,789.587,476.987,-1.5910293780382871,8.745340648945568,48.603000000000065,0.0,0.0,0.0,614.90245625,screen,0
2,360254000,690632000,330,805.298,474.506,-0.5680249043067199,8.906466176972463,23.03100000000012,15.905687096130134,-0.1566214879013758,29994000.0,614.90245625,screen,0
3,715632000,1131011000,415,837.066,483.593,1.499876330899771,8.318373649933482,28.152000000000044,33.04208517935881,0.2786031302076027,25000000.0,614.90245625,screen,0
4,1161012000,1356263000,195,788.765,472.531,-1.645422356475934,9.032896883815903,32.32699999999994,49.551533225521936,-2.9164531621423304,30001000.0,614.90245625,screen,0
5,1421264000,1626516000,205,787.588,746.115,-1.720831997169741,-8.651338932608471,50.778999999999996,273.58653180483867,1.5750984524256861,65001000.0,614.90245625,keyboard,1
6,1671516000,1896644000,225,897.264,762.622,5.427128462981982,-9.699758503427857,40.59400000000005,110.9112529232269,0.14938570310790267,45000000.0,614.90245625,keyboard,0
7,1961785000,2402149000,440,833.529,498.71,1.2680748382548577,7.34241622536385,42.282000000000096,271.49897599991056,-1.8077600317884992,65141000.0,614.90245625,screen,1
8,2482274000,2797527000,315,825.042,750.067,0.7179806633972033,-8.907248650703654,51.55200000000002,251.5002397971024,1.6045482294038411,80125000.0,614.90245625,keyboard,1
9,2887653000,3973664000,1086,829.562,497.954,1.0104016702496703,7.391564655055515,41.39199999999994,252.15351508356966,-1.5528697787567862,90126000.0,614.90245625,screen,1
10,4043665000,4218916000,175,832.55,795.321,1.213177544046581,-11.825089240991556,43.284000000000106,297.382011616372,1.5607484753391483,70001000.0,614.90245625,keyboard,1
11,4238917000,4338921000,100,836.146,797.596,1.449116730820185,-11.971183852417688,35.84299999999996,4.25521339065386,0.5640796680198096,20001000.0,614.90245625,keyboard,0
12,4429043000,4564170000,135,959.262,765.371,9.465788955564152,-9.841030145013676,51.69799999999998,127.26350647770161,-0.256001889693238,90122000.0,614.90245625,keyboard,0
13,4614170000,4774422000,160,868.96,786.16,3.592972732281573,-11.22651489641553,49.283000000000015,92.6640908065254,2.915318761950271,50000000.0,614.90245625,keyboard,0
