fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,0,895897000,896,755.775,335.044,-3.8864439245273306,17.87706062762805,79.02399999999989,0.0,0.0,0.0,510.4671401960784,screen,0
4,1721641000,2107020000,385,747.338,673.789,-4.316879916845838,-3.975204412453071,69.97900000000004,338.85005237420285,1.5956978191980076,825744000.0,510.4671401960784,keyboard,1
5,2122028000,2322147000,200,728.742,692.77,-5.526386243518211,-5.197495507516646,44.423,26.572346095141842,2.3459492196991025,15008000.0,510.4671401960784,keyboard,0
6,2372276000,2667525000,295,863.038,696.2,3.17805826592414,-5.424520007022605,59.976999999999975,134.33979498272288,0.025535045497890017,50129000.0,510.4671401960784,keyboard,0
8,3263035000,3908670000,646,773.309,653.106,-2.6331620174461934,-2.640801497732636,63.66399999999999,99.5408774172702,-2.693854590387197,595510000.0,510.4671401960784,keyboard,0
11,4374053000,4734419000,360,684.427,696.428,-8.398239595557065,-5.420812749406681,60.771999999999935,98.87773059693467,2.688067456509748,465383000.0,510.4671401960784,keyboard,0
12,4774419000,4969672000,195,762.953,695.414,-3.310069761462719,-5.374240707934992,33.0920000000001,78.53254657783607,-0.012912202917874075,40000000.0,510.4671401960784,keyboard,0
13,5059674000,5219799000,160,929.389,676.137,7.466302770308374,-4.1165559167969885,53.66500000000008,167.54863420810094,-0.11530851596494163,90002000.0,510.4671401960784,keyboard,0
14,5259924000,5425051000,165,838.142,697.001,1.5645207154744925,-5.478994660664443,37.226999999999975,93.60193109653237,2.9168029267696665,40125000.0,510.4671401960784,keyboard,0
17,6030556000,6385934000,355,690.316,595.054,-7.995907744427739,1.1097679568791652,90.04399999999998,179.5709249433215,-2.5378523307764733,605505000.0,510.4671401960784,keyboard,0
18,6456060000,6686187000,230,976.632,634.826,10.502922982534926,-1.4490254157195508,57.388999999999896,289.06515500834746,0.13802620214960484,70126000.0,510.4671401960784,keyboard,0
19,6731318000,7056566000,325,790.311,618.669,-1.5321184936290555,-0.4139881876514978,44.20399999999995,187.02022267658643,-3.0550930996132446,45131000.0,510.4671401960784,keyboard,0
