timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.7996,3.7169,-30.9688,15.1875,-39.0,32.0,18.5,-39.5625,-0.1013,-0.1048,0.9893,-0.1799,-0.1155,0.9769,0.4492,-0.3789,9.0953,0.5083,-0.2639,8.488,63.058376413764414
5000000,3.7298,3.66,-31.0938,15.375,-38.9688,31.875,18.7188,-39.3438,-0.0866,-0.1223,0.9887,-0.1881,-0.1339,0.973,0.468,-0.3623,9.1216,0.5352,-0.2494,8.6314,63.058634594161646
10000000,3.7592,3.6839,-31.0,15.3438,-38.9688,31.9531,18.7188,-39.5,-0.0896,-0.1155,0.9893,-0.1825,-0.1281,0.9748,0.4688,-0.365,9.1596,0.5449,-0.2422,8.6627,63.04574210880541
15000000,3.7335,3.7592,-30.9375,15.125,-38.875,32.0312,18.4062,-39.5,-0.0879,-0.0941,0.9917,-0.1916,-0.1048,0.9759,0.4441,-0.3835,9.0895,0.5088,-0.2876,8.7542,63.057228595379925
20005000,3.7629,3.8107,-31.125,15.1875,-39.0625,31.8438,18.5938,-39.75,-0.0878,-0.1067,0.9904,-0.1646,-0.1174,0.9793,0.4636,-0.3826,9.2973,0.5215,-0.261,8.6044,63.06461217973199
25000000,3.7702,3.7629,-31.0625,15.25,-38.9688,31.9062,18.5,-39.5312,-0.0907,-0.1019,0.9907,-0.1847,-0.1126,0.9763,0.4585,-0.3674,9.0718,0.5078,-0.2771,8.6276,63.05502337998139
30009000,3.7188,3.7188,-31.0625,15.1562,-39.0625,31.8906,18.4688,-39.3125,-0.0927,-0.096,0.9911,-0.1887,-0.1067,0.9762,0.4504,-0.3772,9.09,0.5112,-0.2749,8.6419,63.040690179994066
35000000,3.7298,3.6508,-31.0938,15.125,-39.125,31.875,18.4062,-39.2188,-0.0966,-0.096,0.9907,-0.1887,-0.1077,0.9761,0.4543,-0.3833,9.2015,0.5078,-0.2864,8.7298,63.05430076783026
40000000,3.7169,3.7335,-30.9688,15.3125,-39.0,31.9531,18.5625,-39.5,-0.0935,-0.1116,0.9893,-0.175,-0.1223,0.9769,0.4761,-0.3706,9.3041,0.5303,-0.2817,8.932,63.00776142357384
45000000,3.7996,3.7849,-31.0938,15.125,-39.25,31.875,18.4688,-39.5312,-0.0956,-0.1009,0.9903,-0.1771,-0.1116,0.9778,0.4585,-0.3855,9.2724,0.5132,-0.2754,8.6693,63.05814654206068
50006000,3.8143,3.7408,-30.9688,15.2812,-39.0625,32.0,18.5625,-39.5,-0.0965,-0.1048,0.9898,-0.1875,-0.1155,0.9754,0.4607,-0.3699,9.1235,0.5273,-0.27,8.77,63.05575397519246
55125000,3.7813,3.796,-30.9375,15.0312,-39.0625,32.0,18.375,-39.5625,-0.0966,-0.0941,0.9909,-0.183,-0.1048,0.9775,0.4309,-0.3918,9.0345,0.5083,-0.2869,8.7407,63.028246879395276
60125000,3.7813,3.6673,-30.9062,14.9688,-39.0312,32.0312,18.4375,-39.375,-0.1005,-0.0873,0.9911,-0.1965,-0.097,0.9757,0.4265,-0.3953,9.0235,0.5142,-0.2925,8.8686,63.033851198304546
65125000,3.807,3.671,-31.0,15.1875,-39.0625,31.9531,18.4375,-39.4062,-0.0927,-0.099,0.9908,-0.1857,-0.1116,0.9762,0.4592,-0.3853,9.2779,0.5078,-0.2954,8.8293,63.037872975696125
70125000,3.75,3.7261,-31.0,15.3438,-38.9688,31.9688,18.5625,-39.625,-0.0877,-0.1096,0.9901,-0.1722,-0.1203,0.9777,0.4807,-0.3623,9.2641,0.5366,-0.2822,9.0092,63.05442412368858
75125000,3.7261,3.6288,-31.0625,15.125,-39.0,31.9062,18.4375,-39.375,-0.0898,-0.0941,0.9915,-0.1849,-0.1048,0.9772,0.4524,-0.3889,9.242,0.501,-0.292,8.7147,63.05688274042731
80125000,3.7482,3.6747,-31.0625,15.1875,-39.0,31.9062,18.4375,-39.4375,-0.083,-0.096,0.9919,-0.1724,-0.1067,0.9792,0.4563,-0.3875,9.2695,0.5044,-0.2805,8.6268,63.05403306641059
85135000,3.7206,3.6582,-30.9688,15.3438,-38.875,32.0,18.5,-39.4375,-0.0878,-0.1077,0.9903,-0.1808,-0.1184,0.9764,0.4663,-0.3728,9.2189,0.5288,-0.2837,8.937,63.050359064243246
90125000,3.7004,3.6196,-31.25,15.0,-39.0,31.7188,18.4062,-39.5312,-0.0763,-0.0853,0.9934,-0.1621,-0.096,0.9821,0.448,-0.3997,9.3123,0.4961,-0.2881,8.6167,63.0630965408455
95125000,3.7463,3.7078,-31.25,15.0625,-39.1562,31.7188,18.375,-39.6875,-0.0821,-0.0931,0.9923,-0.1572,-0.1019,0.9823,0.4636,-0.3948,9.4329,0.501,-0.2842,8.6286,63.05810581820548
100125000,3.6747,3.6269,-31.25,15.0625,-39.0625,31.6875,18.4375,-39.3125,-0.0743,-0.0902,0.9931,-0.1697,-0.099,0.9805,0.4541,-0.3921,9.2965,0.5,-0.2805,8.5773,63.028422408069204
105125000,3.7225,3.682,-31.1875,15.125,-39.0,31.8125,18.375,-39.375,-0.0802,-0.0883,0.9929,-0.1707,-0.099,0.9803,0.4641,-0.3862,9.3434,0.4988,-0.2893,8.6604,63.08488824591829
110126000,3.682,3.6067,-31.125,15.1875,-39.0,31.8594,18.4688,-39.5,-0.082,-0.097,0.9919,-0.1696,-0.1077,0.9796,0.4644,-0.3899,9.3869,0.522,-0.2908,8.9378,63.071796970198974
115125000,3.6931,3.5553,-31.0938,15.3125,-38.875,31.8594,18.4688,-39.3125,-0.0742,-0.1038,0.9918,-0.1799,-0.1145,0.977,0.47,-0.3696,9.2248,0.5107,-0.2856,8.7547,63.03379273199417
120126000,3.7151,3.5718,-31.125,15.2812,-38.9375,31.7969,18.4375,-39.4062,-0.0743,-0.1019,0.992,-0.1723,-0.1126,0.9786,0.4695,-0.3716,9.241,0.5078,-0.2952,8.8266,63.00275715387383
125126000,3.7298,3.6839,-31.25,15.1562,-39.0,31.7188,18.4062,-39.5625,-0.0666,-0.0883,0.9939,-0.1563,-0.097,0.9829,0.47,-0.3811,9.3521,0.5137,-0.2917,8.855,63.055124135077236
130126000,3.7408,3.75,-31.2812,15.1875,-38.875,31.6875,18.4688,-39.6562,-0.0588,-0.0931,0.9939,-0.1495,-0.1038,0.9833,0.4673,-0.3879,9.398,0.5142,-0.293,8.8739,63.05897543427105
135126000,3.7482,3.5755,-31.3125,15.125,-39.0938,31.6406,18.4375,-39.4688,-0.0714,-0.0912,0.9933,-0.1591,-0.1019,0.982,0.4805,-0.3918,9.5893,0.5073,-0.2969,8.84,63.04130456185056
140126000,3.7188,3.6967,-31.25,15.0625,-39.0625,31.7188,18.4062,-39.625,-0.0724,-0.0873,0.9935,-0.1544,-0.097,0.9832,0.4585,-0.4001,9.4353,0.5107,-0.3108,9.032,63.060023068343384
145131000,3.7206,3.7023,-31.3125,14.875,-39.0625,31.6406,18.25,-39.5938,-0.0667,-0.0698,0.9953,-0.1546,-0.0795,0.9848,0.4485,-0.4099,9.432,0.4895,-0.3193,8.8873,63.045742951447565
150130000,3.6931,3.671,-31.3125,14.9688,-38.9375,31.625,18.3125,-39.625,-0.056,-0.0727,0.9958,-0.1469,-0.0824,0.9857,0.4504,-0.4058,9.4076,0.4951,-0.3132,8.8831,63.03000787077533
155126000,3.6398,3.491,-31.3125,14.8125,-38.75,31.5938,18.0938,-39.125,-0.0502,-0.0561,0.9972,-0.1712,-0.0639,0.9832,0.4343,-0.4265,9.4588,0.4592,-0.3416,8.7933,62.992937178544075
160126000,3.829,3.5718,-31.125,14.875,-39.1875,31.7969,18.2812,-39.25,-0.0853,-0.0474,0.9952,-0.1703,-0.0581,0.9837,0.4373,-0.4097,9.3037,0.4895,-0.3313,9.0195,63.01405878294145
165126000,3.8878,3.8878,-30.9062,15.0,-39.1562,32.0625,18.2812,-39.5312,-0.0989,-0.0298,0.9946,-0.1858,-0.0395,0.9818,0.4231,-0.4141,9.1946,0.4905,-0.344,9.1709,63.05524623796183
