timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.5718,3.6747,-30.7812,15.125,-39.1562,32.1562,18.5938,-39.8125,-0.0828,-0.1203,0.9893,-0.1691,-0.129,0.9771,0.4836,-0.3928,9.6358,0.5347,-0.2812,8.9763,63.03633572702334
5000000,3.6324,3.7702,-30.6875,15.0,-39.25,32.2188,18.4375,-39.875,-0.0829,-0.1145,0.99,-0.1663,-0.1252,0.9781,0.4551,-0.4041,9.4405,0.5137,-0.2905,8.8415,63.00325079660573
10009000,3.5828,3.5295,-31.0,15.1875,-39.1875,31.9062,18.7188,-39.4688,-0.0682,-0.1281,0.9894,-0.1556,-0.1368,0.9783,0.5039,-0.3831,9.7551,0.5254,-0.2634,8.6754,63.005866455592844
15000000,3.5975,3.6563,-30.6562,15.1875,-38.9375,32.2812,18.5938,-40.125,-0.0799,-0.1203,0.9895,-0.1586,-0.131,0.9786,0.4629,-0.3875,9.3433,0.54,-0.2856,9.0855,63.04069602011069
20000000,3.6563,3.6545,-30.8125,14.875,-39.25,32.125,18.375,-39.625,-0.0849,-0.1048,0.9909,-0.1704,-0.1155,0.9786,0.4443,-0.4128,9.4182,0.5073,-0.3069,8.9504,63.03585909028289
25003000,3.6251,3.6967,-30.75,14.9688,-39.0938,32.2188,18.2812,-39.8125,-0.08,-0.1048,0.9913,-0.1666,-0.1145,0.9794,0.4512,-0.4087,9.4484,0.4956,-0.3181,8.9425,63.059957951857214
30001000,3.5847,3.6159,-30.8125,15.1562,-39.0625,32.125,18.375,-39.8438,-0.0712,-0.1155,0.9908,-0.1558,-0.1261,0.9797,0.4819,-0.3892,9.5759,0.5137,-0.3062,9.0138,63.024598446796944
35001000,3.5369,3.671,-30.75,15.0,-39.0312,32.2188,18.4062,-40.1875,-0.08,-0.1096,0.9907,-0.1425,-0.1223,0.9822,0.4507,-0.4043,9.394,0.5298,-0.3005,9.1337,63.07145948501588
40001000,3.5938,3.7261,-30.7812,14.9688,-39.0,32.1562,18.3125,-39.625,-0.0772,-0.1019,0.9918,-0.1704,-0.1126,0.9789,0.4524,-0.4016,9.3832,0.498,-0.3066,8.8433,63.02925728144034
45001000,3.6085,3.6949,-30.6875,15.0312,-39.0312,32.25,18.4062,-40.1875,-0.0819,-0.1116,0.9904,-0.153,-0.1223,0.9806,0.4517,-0.3992,9.3479,0.5342,-0.2937,9.108,63.03853235077733
50001000,3.66,3.6949,-30.75,15.25,-38.9062,32.2188,18.5938,-39.7812,-0.0721,-0.1261,0.9894,-0.1594,-0.1368,0.9777,0.4832,-0.3772,9.4567,0.54,-0.2693,8.9054,63.06359010459205
55126000,3.5957,3.6269,-30.875,15.0,-39.0625,32.0938,18.2812,-39.875,-0.0684,-0.1048,0.9921,-0.1531,-0.1155,0.9814,0.4661,-0.4075,9.6016,0.4944,-0.3152,8.8964,63.05946561088192
60126000,3.5681,3.7408,-31.0,14.9375,-39.375,31.9062,18.4375,-39.75,-0.0713,-0.1116,0.9912,-0.1406,-0.1223,0.9825,0.4829,-0.4067,9.7824,0.5112,-0.2937,8.849,63.0046079540219
65012000,3.603,3.7261,-30.7812,15.0,-39.25,32.1562,18.4375,-39.75,-0.0877,-0.1096,0.9901,-0.1636,-0.1203,0.9792,0.4629,-0.3992,9.4736,0.5142,-0.2993,8.9439,63.033187488893496
70126000,3.5847,3.5847,-30.875,15.1875,-39.0938,32.0625,18.5625,-39.5625,-0.0712,-0.1174,0.9905,-0.1635,-0.1261,0.9785,0.4749,-0.3809,9.4042,0.5273,-0.2834,8.9178,63.02966929105689
75126000,3.5112,3.4799,-30.7812,15.0625,-38.9062,32.1562,18.2812,-39.75,-0.0666,-0.0883,0.9939,-0.1592,-0.097,0.9825,0.4443,-0.3948,9.2171,0.501,-0.3254,9.0838,63.02529926061438
80128000,3.5938,3.5424,-30.6875,15.2812,-39.125,32.25,18.5,-39.9688,-0.0899,-0.0776,0.9929,-0.1574,-0.0902,0.9834,0.4551,-0.3867,9.2477,0.5166,-0.3384,9.4029,63.025404228215784
85126000,3.6894,3.5075,-30.9375,15.25,-39.4688,32.0,18.5938,-39.6875,-0.0823,-0.0513,0.9953,-0.1567,-0.0639,0.9856,0.4387,-0.3899,9.1,0.4905,-0.3386,9.1115,63.02664305180786
