timestamp [ns],gaze x [px],gaze y [px],fixation id,blink id,azimuth [deg],elevation [deg]
0,705.085,451.448,,,-7.113799012482176,10.365554644340389
5000000,703.715,450.271,,,-7.204317674934142,10.440518040826108
10009000,702.026,445.323,,,-7.319352722449483,10.757872193314062
15000000,700.255,446.413,,,-7.43394314692631,10.686753021803751
20000000,695.48,451.469,,,-7.740552268548477,10.358731640493906
25003000,698.349,450.863,,,-7.553949303920121,10.399426775701318
30001000,697.497,450.348,,,-7.610062302540583,10.432061098018812
35001000,701.427,442.717,,,-7.361062419308224,10.925109897446408
40001000,701.667,446.229,,,-7.341921810976639,10.6993635194418
45001000,701.291,449.217,,,-7.3635590082255264,10.50697312884292
50001000,698.327,447.336,,,-7.558891069488928,10.626246890464936
55126000,700.514,447.182,,,-7.416245324823684,10.637387465737271
60126000,700.593,447.269,,,-7.410983807832573,10.631881068723004
65012000,696.623,450.767,,,-7.666656220575706,10.404542122722615
70126000,698.83,450.628,,,-7.5227775011369395,10.414787924180224
75126000,699.8,460.415,,,-7.450317461929578,9.785760952696853
80128000,698.251,474.51,,,-7.538976490761851,8.87795412949469
85126000,690.856,521.051,,,-7.986266541679624,5.878340842959866
90130000,686.263,549.838,,,-8.26943203712949,4.022833650726677
95126000,689.246,606.643,,,-8.064161759573134,0.3628061192944427
100126000,699.087,645.793,,,-7.431659745385206,-2.1616980561274923
105126000,699.204,673.625,,,-7.431719349183111,-3.956070648384089
110126000,701.648,711.543,,,-7.290996186832944,-6.400258929277888
115126000,703.805,718.084,,,-7.154856235527151,-6.822439236203088
120126000,694.929,749.509,,,-7.754039851475116,-8.841500638241094
125126000,708.841,757.496,1.0,,-6.854980296024991,-9.362369637669644
130126000,705.743,749.881,1.0,,-7.050680109849335,-8.87077403593873
135126000,706.243,742.967,1.0,,-7.012966018554345,-8.425888914588164
140140000,703.314,742.369,1.0,,-7.203040345100585,-8.386081734249316
145127000,708.532,732.279,1.0,,-6.856859184634358,-7.738604822769959
150127000,706.5,734.332,1.0,,-6.990268432869193,-7.869984177129626
155127000,704.032,731.703,1.0,,-7.148795100511985,-7.699653631207151
160127000,704.426,733.111,1.0,,-7.124128632750199,-7.790515562043629
165127000,707.034,735.958,1.0,,-6.9566364435868655,-7.974949321442252
170135000,707.161,736.681,1.0,,-6.948874950868984,-8.021525042286388
175127000,707.248,739.228,1.0,,-6.944969710947472,-8.185588772343262
180127000,708.844,739.18,1.0,,-6.841206096555347,-8.18316851737575
185127000,708.86,736.525,1.0,,-6.838330550053848,-8.012223834845933
190252000,714.401,740.479,1.0,,-6.4807791080943495,-8.269165114394236
195252000,714.285,737.671,1.0,,-6.48650863466816,-8.088187384783938
200252000,712.954,731.516,1.0,,-6.5691096977300605,-7.691178804268217
205252000,710.565,732.953,1.0,,-6.725243736270517,-7.782822486044275
210252000,712.611,730.934,1.0,,-6.591063926869614,-7.653518906282886
215252000,716.068,728.347,1.0,,-6.3649285137168,-7.4881211615917245
220252000,717.378,729.805,1.0,,-6.280686196848072,-7.582527701816149
225252000,712.844,734.242,1.0,,-6.577976637541878,-7.866774051220733
230252000,711.224,734.993,1.0,,-6.68372472262272,-7.914472974816782
235252000,710.462,731.948,1.0,,-6.731255161707735,-7.718036230628558
240262000,710.702,733.346,1.0,,-6.716558104815222,-7.808192254022517
245252000,712.173,734.098,1.0,,-6.621491539967018,-7.857197625843093
250261000,718.379,729.526,1.0,,-6.215534075595685,-7.564924097417469
255253000,716.028,736.771,1.0,,-6.372615323887303,-8.03090817474891
260253000,715.58,737.145,1.0,,-6.402015002492091,-8.054811712711222
265254000,717.29,735.718,1.0,,-6.289952489168258,-7.963550914230576
270253000,712.026,732.831,1.0,,-6.630204973704666,-7.7755382603158845
275253000,714.418,730.317,1.0,,-6.473289436517804,-7.6144447246828575
280253000,714.141,731.875,1.0,,-6.49221190234305,-7.71478146263724
285253000,715.832,734.891,1.0,,-6.384184527579637,-7.9097298721526865
290253000,717.247,731.371,1.0,,-6.2901477652398015,-7.683407813127689
295253000,717.646,730.538,1.0,,-6.263744520596689,-7.629873039905404
300253000,715.731,730.62,1.0,,-6.3881712283159695,-7.634447690091257
305253000,715.003,732.004,1.0,,-6.436287937366785,-7.72340293120072
310253000,714.682,734.786,1.0,,-6.458887283634736,-7.902523103385298
315253000,715.046,735.367,1.0,,-6.435610549724986,-7.940077566558682
320256000,713.636,735.479,1.0,,-6.52726774133111,-7.946774632784261
325261000,713.629,731.281,1.0,,-6.525146553315608,-7.676286972039127
330384000,714.813,732.083,1.0,,-6.448716225441169,-7.728424205501546
335378000,713.14,730.529,1.0,,-6.556428670605333,-7.627660161026057
340378000,713.218,728.35,1.0,,-6.550004701936806,-7.487299405574116
345378000,714.195,730.814,1.0,,-6.488034660198514,-7.646432025014295
350378000,716.378,736.795,1.0,,-6.349894065627324,-8.032592243331024
355378000,716.853,733.693,1.0,,-6.317103731804396,-7.832870209569963
360382000,716.216,733.609,1.0,,-6.358435170240239,-7.827232978518619
365378000,718.386,740.476,1.0,,-6.221688007857257,-8.270528588338085
370378000,721.801,742.08,1.0,,-6.00060307649542,-8.375189056278106
375388000,721.523,735.435,1.0,,-6.0146386287145575,-7.946866203002046
380379000,723.381,742.606,1.0,,-5.898164368043871,-8.4096655389578
385379000,723.66,742.229,1.0,,-5.879752256716578,-8.385455757109535
390378000,720.861,735.164,1.0,,-6.057513858679772,-7.929148575370706
395379000,721.558,736.441,1.0,,-6.0129743117374606,-8.011735375038109
400379000,721.934,737.096,1.0,,-5.988925020395098,-8.054036409763798
405379000,715.802,745.873,1.0,,-6.393297858774069,-8.617114790523939
410379000,716.081,741.963,1.0,,-6.372535636235026,-8.365417197005666
415390000,719.815,738.304,1.0,,-6.127393127976141,-8.131101947583858
420379000,715.448,741.289,,,-6.41325827445074,-8.3217537166379
425379000,717.399,738.395,,,-6.284506631736207,-8.136085338863909
430383000,728.211,738.775,,,-5.581741014146163,-8.164470114456947
435379000,748.071,759.824,,,-4.300092681482968,-9.52777283180881
440379000,760.468,751.808,,,-3.4886570459787416,-9.014196674045207
445379000,781.728,758.288,,,-2.105324781539769,-9.436172790858116
450382000,800.701,761.633,,,-0.8687405794262147,-9.653807961687487
455379000,792.719,773.874,2.0,,-1.3916014553196308,-10.44284823123952
460379000,795.143,768.246,2.0,,-1.2323118193363716,-10.08006537442384
465504000,795.203,761.924,2.0,,-1.227339598720246,-9.672188446751315
470504000,795.855,763.498,2.0,,-1.1850851187561566,-9.773812895999338
475504000,794.663,763.055,2.0,,-1.2627427420424149,-9.745135735610548
480515000,797.174,759.384,2.0,,-1.0984602384972386,-9.508483142753956
485504000,797.82,761.589,2.0,,-1.0565995863134725,-9.650793072297777
490504000,795.882,761.147,2.0,,-1.182941675117733,-9.62215446721182
495504000,796.213,762.722,2.0,,-1.1615914397651157,-9.72379527771536
500504000,797.994,765.223,2.0,,-1.0457755664339747,-9.88525555425207
505504000,797.688,764.231,2.0,,-1.0655753244478678,-9.821265984191696
510505000,799.137,763.818,2.0,,-0.971020865976929,-9.794707705255536
515505000,796.95,770.18,2.0,,-1.114657431827776,-10.204935483544157
520505000,796.965,769.001,2.0,,-1.1134736954326572,-10.1288830237259
525505000,798.102,770.346,2.0,,-1.0394745627474151,-10.21571633359022
530505000,800.698,767.771,2.0,,-0.8696130420047902,-10.0497657317451
535518000,798.764,768.935,2.0,,-0.996031410146108,-10.124789367119329
540513000,798.862,768.999,2.0,,-0.989661290434702,-10.12891331250438
545505000,798.894,765.522,2.0,,-0.9870617897558072,-9.90457943530637
550508000,802.116,767.115,2.0,,-0.777044216104664,-10.007561795367188
555505000,797.227,767.456,2.0,,-1.0961431998233335,-10.029234532397334
560505000,797.399,768.214,2.0,,-1.0850409088151185,-10.07814258540692
565506000,795.179,763.892,2.0,,-1.2292331452308771,-9.799177923097083
570512000,798.418,765.533,2.0,,-1.0181795647619485,-9.9053055990286
575505000,796.748,765.401,2.0,,-1.1270804188619397,-9.89664323436799
580505000,798.434,757.454,2.0,,-1.0160199846728568,-9.3840338061557
585505000,796.379,757.082,2.0,,-1.1499390773062876,-9.35988251167888
590505000,799.967,759.262,2.0,,-0.9163364572945892,-9.50079987586284
595518000,798.254,759.71,2.0,,-1.0280338790239507,-9.529555465048494
600630000,798.156,762.138,2.0,,-1.0347795993147335,-9.686251910986044
605631000,803.917,765.788,2.0,,-0.6593462030836518,-9.921988676355353
610630000,801.988,766.967,2.0,,-0.7853332440059678,-9.997976465012592
615634000,802.009,761.629,2.0,,-0.7833883919998934,-9.653633908042382
620631000,800.423,762.617,2.0,,-0.886953431639089,-9.717300496908583
625631000,799.039,762.606,2.0,,-0.9772225922960962,-9.716462368835884
630631000,799.35,760.675,2.0,,-0.9567110811550472,-9.591926185329504
635631000,796.92,764.279,2.0,,-1.1157197640224517,-9.824256511137728
640631000,796.258,764.033,2.0,,-1.1588396820195523,-9.808383858802886
645635000,799.142,760.161,2.0,,-0.9702031855236674,-9.558771524781209
650631000,799.83,763.116,2.0,1.0,-0.925716578481919,-9.749440210902993
655631000,796.404,762.146,2.0,1.0,-1.1490599376828734,-9.686616415952011
660631000,794.386,765.667,2.0,1.0,-1.28129015400613,-9.913594012928034
665631000,795.155,763.121,2.0,1.0,-1.2306946656042794,-9.749447384398689
670631000,787.799,775.342,,1.0,-1.7132892819045946,-10.536921091281544
675631000,802.964,744.552,,1.0,-0.7195554678330064,-8.551540245539824
680631000,807.793,749.464,,1.0,-0.4054678648478817,-8.86871975303013
685631000,810.611,754.299,,1.0,-0.2221329806211201,-9.180809438699562
690631000,795.496,719.284,,1.0,-1.2026076162092945,-6.919447500270112
695631000,809.04,641.97,,1.0,-0.3211583210938817,-1.9214304805660247
700631000,772.912,719.231,,1.0,-2.669287972153985,-6.913876922126983
705631000,707.225,655.466,,1.0,-6.907738385249777,-2.786644832514505
710633000,627.986,787.987,,1.0,-12.163907680973,-11.259624929811029
715631000,815.674,680.986,,1.0,0.1079034744146242,-4.444683991398636
720631000,793.575,711.617,,1.0,-1.3264999776627957,-6.424029789591233
725631000,789.487,662.299,,1.0,-1.5869818703955167,-3.2359100885271648
730631000,818.91,665.293,,1.0,0.3173467403127978,-3.4299246196654534
735635000,809.398,629.714,,1.0,-0.2979282187467265,-1.128613203461055
740760000,736.854,675.231,,1.0,-4.99589501330829,-4.066832118738967
745757000,674.667,644.832,,1.0,-9.008966679228376,-2.0964804547611244
750765000,605.419,544.744,,1.0,-13.495648226310744,4.3225556579016535
755765000,641.743,488.561,,1.0,-11.197297937553834,7.942164603939775
760757000,707.412,475.972,,1.0,-6.941650794938561,8.788193276381136
765757000,671.556,470.541,,1.0,-9.27962187383867,9.118158964728796
770757000,692.058,430.081,,1.0,-7.987366741895209,11.731389587843696
775757000,717.619,439.448,3.0,1.0,-6.30593300913112,11.144392728205698
780760000,691.065,449.772,3.0,1.0,-8.030354466734336,10.465156679088096
785757000,705.144,443.549,3.0,1.0,-7.117448374394491,10.873754741459477
790757000,710.607,452.712,3.0,1.0,-6.752345758689931,10.287163455507082
795757000,714.842,450.044,3.0,1.0,-6.478228910631005,10.46105311067996
800764000,719.192,445.661,3.0,1.0,-6.197848576929336,10.745336927914003
805757000,721.128,444.292,3.0,1.0,-6.072479326863451,10.834385959101988
810761000,722.255,445.023,3.0,1.0,-5.998272403088114,10.787892084786694
815757000,716.927,436.931,3.0,1.0,-6.353449942061924,11.30600985742634
820757000,715.414,433.71,3.0,1.0,-6.455371231561845,11.51248004347754
825757000,721.842,436.506,3.0,1.0,-6.032381843092663,11.335908027943994
830757000,721.63,437.015,3.0,1.0,-6.045769861693984,11.303057500131969
835757000,720.363,434.41,3.0,1.0,-6.130908135795897,11.470035874330115
840763000,720.455,429.125,3.0,1.0,-6.129674997493214,11.810157088199263
845757000,715.527,431.585,3.0,1.0,-6.4499781989922,11.649261662483362
850757000,716.575,435.582,3.0,1.0,-6.377691249824443,11.39263945708472
855758000,713.819,429.53,3.0,1.0,-6.563743122393765,11.780489676905574
860758000,717.338,430.335,3.0,1.0,-6.332616606088613,11.730664838083523
865758000,716.834,432.013,3.0,1.0,-6.364034212973601,11.62241127751269
870883000,715.2,433.119,3.0,1.0,-6.469945964594582,11.550377009565755
875883000,718.151,433.953,3.0,1.0,-6.27609637083003,11.498314718712102
880883000,713.203,441.586,3.0,1.0,-6.592673566066504,11.004531414095323
885883000,711.019,442.693,3.0,1.0,-6.734387544601335,10.932109223308272
890883000,706.971,440.322,3.0,1.0,-7.001189387877705,11.0823728686941
895883000,706.756,438.226,3.0,1.0,-7.017288536914268,11.217061892802777
900883000,707.324,437.946,3.0,1.0,-6.980423238881314,11.23543943948754
905886000,710.32,441.71,3.0,1.0,-6.781009788298537,10.994996379032171
910883000,709.35,440.671,3.0,,-6.845336924937437,11.061270340585711
915883000,708.671,443.168,3.0,,-6.887358645904897,10.900255247198269
920883000,708.473,442.488,3.0,,-6.900967772308748,10.943877801818566
925883000,706.919,444.988,3.0,,-7.000099333993273,10.7821897947263
930883000,709.396,443.156,3.0,,-6.839984004043268,10.90140899559041
935883000,707.453,440.501,3.0,,-6.969494163633466,11.0711190035333
940888000,709.129,442.586,3.0,,-6.85796084188199,10.937971328709448
945899000,708.913,444.668,3.0,,-6.870188137592613,10.803861094084576
950883000,704.919,447.05,3.0,,-7.128763885434728,10.64841310973926
955883000,706.794,442.716,3.0,,-7.010461368612166,10.928274489278175
960883000,709.404,443.542,3.0,,-6.839110776396386,10.876615640917846
965883000,708.983,443.286,3.0,,-6.866843345812681,10.892815761780168
970884000,709.123,445.756,3.0,,-6.855446127124189,10.734021552862032
975892000,710.186,434.94,3.0,,-6.796207598803334,11.430420971794192
980884000,711.784,437.138,3.0,,-6.689615476631483,11.289912199043023
985884000,711.746,440.679,3.0,,-6.688735809826563,11.062089257091108
990884000,705.623,451.103,3.0,,-7.079016618554676,10.388059869017026
995884000,704.545,456.243,3.0,,-7.144672159159932,10.056777173450229
1000884000,705.982,455.494,3.0,,-7.051622347517781,10.10569407981848
1006009000,707.655,456.489,3.0,,-6.941679819882265,10.04255362096276
1011017000,706.516,458.225,3.0,,-7.014437004235707,9.9302204565946
1016009000,705.687,458.977,3.0,,-7.067818901578862,9.881384974894866
1021009000,703.016,450.567,3.0,,-7.249685936759873,10.421104465886112
1026009000,704.632,451.966,3.0,,-7.142912006188928,10.332006314657324
1031009000,705.046,452.491,3.0,,-7.115399661202742,10.29841566841466
1036009000,703.154,450.713,3.0,,-7.240550501967144,10.411785326440375
1041009000,704.536,452.641,3.0,,-7.148520240069998,10.288498470600253
1046009000,705.753,453.101,3.0,,-7.068737105378594,10.259554576473072
1051009000,705.676,453.601,3.0,,-7.073279722036986,10.227365950152445
1056009000,699.873,450.028,3.0,,-7.455325377363088,10.454004901523827
1061009000,700.401,451.534,3.0,,-7.419422995166427,10.357441177239476
1066012000,700.231,446.749,3.0,,-7.4351561943366,10.665118208269266
1071009000,704.366,450.686,3.0,,-7.16146605975884,10.414172823973002
1076013000,701.215,450.187,3.0,,-7.367577172511033,10.44451869048729
1081009000,701.382,447.567,3.0,,-7.359199826423396,10.61315703621343
1086010000,706.26,450.924,3.0,,-7.037617887710597,10.39991607828415
1091010000,705.247,448.582,3.0,,-7.105874207790102,10.550076651203254
1096011000,703.557,449.729,3.0,,-7.215138554576076,10.47535071197688
1101010000,701.464,457.121,3.0,,-7.344850283120312,9.998607905078668
1106016000,698.48,454.944,3.0,,-7.541429938378923,10.136982283202332
1111010000,702.941,453.129,3.0,,-7.25217368849233,10.256232445521167
1116010000,704.228,450.901,3.0,,-7.170237397346106,10.40032055597477
1121010000,705.199,452.434,3.0,,-7.105468145086914,10.302192121377852
1126010000,705.09,452.272,3.0,,-7.112764553681726,10.312531488998326
1131019000,705.892,450.912,3.0,,-7.061657508362157,10.400517785610171
1136010000,704.316,451.95,3.0,,-7.1635572257012505,10.33285027911935
1141016000,703.403,453.208,3.0,,-7.221944931218777,10.251439476594747
1146135000,700.217,455.019,3.0,,-7.428088524937554,10.133173365034391
1151135000,700.366,453.485,3.0,,-7.419803305080897,10.231925244949773
1156135000,698.559,456.297,3.0,,-7.535000906827857,10.049998663644391
1161135000,700.239,454.462,3.0,,-7.427194451494579,10.169003487880849
1166137000,703.386,452.504,3.0,,-7.223706993120929,10.296681243545862
1171135000,702.034,453.151,3.0,,-7.311338096872013,10.254356939321696
1176135000,701.423,453.68,3.0,,-7.350673519711607,10.21998438839383
1181135000,702.553,456.203,3.0,,-7.274649584690799,10.058280013015978
1186135000,698.46,451.357,3.0,,-7.546244454790538,10.36766997796298
1191135000,697.293,453.558,3.0,,-7.620202319620206,10.225473388317331
1196135000,699.617,452.682,3.0,,-7.4694243185800495,10.283164201238366
1201136000,699.791,452.053,3.0,,-7.458693862142529,10.323696118243612
1206137000,700.058,452.331,3.0,,-7.4409888020354575,10.305959442154611
1211136000,703.785,453.533,3.0,,-7.196702329710671,10.230704435087867
1216136000,702.554,454.169,3.0,,-7.276420475142463,10.189142866885248
1221136000,702.324,451.678,3.0,,-7.293771605343146,10.349248970520993
1226136000,700.44,452.42,3.0,,-7.416003534554432,10.300463301002868
1231136000,698.507,453.443,3.0,,-7.5411345863764065,10.23354154437484
1236139000,696.252,453.974,3.0,,-7.687709358911276,10.198114990202
1241136000,698.853,447.721,3.0,,-7.52417130795668,10.601754886513376
1246136000,696.573,452.614,3.0,,-7.668099408614672,10.285756828704915
1251136000,699.424,448.48,3.0,,-7.48614176257175,10.55326783868569
1256136000,704.001,445.982,3.0,,-7.189734678360168,10.716606171277776
1261136000,703.551,448.138,3.0,,-7.21704099948461,10.577662402991082
1266136000,703.981,450.218,3.0,,-7.1870352967931845,10.444126509305049
1271136000,703.177,449.943,3.0,,-7.239758181105394,10.46131248022136
1276136000,700.566,449.421,3.0,,-7.410681562731728,10.493443539840518
1281261000,703.169,452.649,3.0,,-7.237721492012221,10.287247581497953
1286261000,702.323,451.736,3.0,,-7.293776645418103,10.34551829367679
1291261000,699.238,453.819,3.0,,-7.4930682404901985,10.209787727890625
1296264000,697.645,454.08,3.0,,-7.596729157310314,10.192097290254774
1301261000,699.645,455.98,3.0,,-7.46451493151123,10.071025821304245
1306267000,699.862,448.991,3.0,,-7.457010885322792,10.520705697134275
1311261000,700.168,448.994,3.0,,-7.4370836247388254,10.520654469719885
1316266000,702.767,452.823,3.0,,-7.263802995935944,10.27583061878934
1321261000,702.357,452.913,3.0,,-7.290447651197125,10.269839856532036
1326265000,700.239,454.716,3.0,,-7.426959389328194,10.15262487104477
1331262000,698.97,454.774,,,-7.5096890422374685,10.148222115125073
1336262000,699.501,455.536,,,-7.474277360453035,10.09947669802122
1341262000,697.553,458.077,,,-7.598962170857391,9.93493774956912
1346262000,698.637,460.585,,,-7.525977956928702,9.774197683710796
1351262000,688.466,501.876,,,-8.153550643470187,7.112008892280804
1356262000,696.518,553.782,,,-7.604673781652612,3.771074925938579
1361262000,700.652,592.186,,,-7.328595810060758,1.2954168621794064
1366262000,707.22,634.508,,,-6.904412634573208,-1.434697549657669
1371273000,709.468,669.662,,,-6.766468139576214,-3.702689547985484
1376262000,716.659,704.844,,,-6.3143393517568125,-5.973299951116839
1381262000,732.547,752.015,,,-5.307244517502003,-9.019304092583308
1386262000,731.575,755.671,,,-5.37278258930516,-9.254541021678495
1391268000,741.85,748.702,4.0,,-4.699710431202338,-8.808881581097621
1396262000,737.502,752.813,4.0,,-4.985029072289716,-9.072439641070169
1401262000,741.567,749.633,4.0,,-4.718585218239092,-8.86879058103633
1406262000,742.466,749.152,4.0,,-4.659809040675642,-8.83806869064893
1411262000,737.453,748.294,4.0,,-4.985700154553994,-8.781131999449991
1416270000,735.523,746.149,4.0,,-5.110170047728687,-8.642258543903521
1421387000,734.156,745.988,4.0,,-5.199086292525658,-8.631409776259327
1426388000,734.485,747.687,4.0,,-5.178588458061473,-8.741035839202787
1431387000,735.652,747.03,4.0,,-5.10225007547449,-8.69910619831693
1436387000,738.463,743.338,4.0,,-4.917365195242115,-8.461998149061333
1441395000,738.932,746.681,4.0,,-4.88861589724629,-8.67766581294073
1446388000,738.481,745.844,4.0,,-4.917521982769851,-8.623560039360322
1451388000,738.179,745.815,4.0,,-4.937129587266834,-8.621584113184836
1456388000,738.558,742.541,4.0,,-4.910766492167073,-8.410637716078222
1461394000,735.975,744.381,4.0,,-5.079810858125588,-8.528445339216118
1466388000,737.964,743.467,4.0,,-4.94990125924167,-8.470165546821836
1471388000,740.271,745.422,4.0,,-4.800804761464336,-8.596864566147286
1476388000,740.82,742.605,4.0,,-4.763624026443387,-8.415413719245867
1481396000,741.308,735.628,4.0,,-4.728578708990649,-7.965645689733631
1486388000,742.191,737.564,4.0,,-4.67203559790518,-8.090721038152006
1491388000,745.169,741.399,4.0,,-4.48012407903066,-8.338925560336678
1496392000,747.03,743.979,4.0,,-4.360204592703643,-8.50581839339157
1501388000,747.457,740.114,4.0,,-4.330707986532538,-8.256668081190224
1506388000,743.478,740.036,4.0,,-4.589517202826204,-8.250527199304173
1511388000,742.918,740.888,4.0,,-4.626330560405679,-8.305304629056502
1516388000,745.215,737.366,4.0,,-4.47528680687021,-8.078812545902306
1521392000,747.363,737.53,4.0,,-4.335709703044885,-8.089936421624602
1526388000,748.724,735.215,4.0,,-4.246205375850635,-7.940978242046905
1531389000,741.662,750.497,4.0,,-4.712865437037187,-8.924485928650205
1536388000,742.415,749.041,4.0,,-4.663106589164773,-8.830890642243446
1541388000,741.092,746.024,4.0,,-4.747694855072268,-8.635960126495013
1546389000,747.829,743.88,4.0,,-4.308158695046429,-8.499668499593186
1551398000,743.455,743.229,4.0,,-4.592535467196682,-8.456450875917257
1556396000,748.386,743.176,4.0,,-4.271650579230646,-8.454396787868685
1561516000,746.208,741.4,4.0,,-4.412508506955302,-8.33925171589279
1566514000,747.917,738.33,4.0,,-4.30001669833041,-8.141706870341835
1571514000,750.294,737.443,4.0,,-4.145055906245786,-8.085109342655448
1576514000,751.016,737.344,4.0,,-4.098047895461634,-8.078862066821873
1581514000,751.25,738.05,4.0,,-4.083133617144993,-8.124475328379907
1586514000,744.372,737.211,4.0,,-4.530075203710662,-8.068560836304806
1591514000,746.457,739.427,4.0,,-4.395431869497882,-8.212101618846209
1596518000,744.194,738.704,4.0,,-4.542301551266128,-8.16485183247105
1601514000,747.085,736.113,4.0,,-4.3531341233402285,-7.998500789627249
1606514000,746.854,735.942,4.0,,-4.368094042146831,-7.987369707562711
1611514000,748.773,734.195,4.0,,-4.242564023269487,-7.875190585188214
