section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745815702252,-6.83403,-3.419876,-0.917435,0.027832,-0.593262,0.854492,-0.6509734588276055,-35.24322958529152,122.62893793395588,0.45596274733543396,-0.14055895805358887,-0.2681693434715271,0.8369140625
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745826370252,-6.58989,-2.80571,-0.917435,0.021973,-0.600098,0.849121,-0.6899855397879252,-35.29836305847425,122.37431732431347,0.4576573669910431,-0.14109167456626892,-0.2684135437011719,0.8358203768730164
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745837038252,-6.406784,-3.053665,-1.344681,0.039551,-0.590332,0.845215,-0.7263318155866116,-35.35327577590768,122.10352285585688,0.45947331190109253,-0.1416826695203781,-0.26862427592277527,0.8346554636955261
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745847776252,-5.67627,-2.502441,-1.771927,0.020508,-0.591797,0.845703,-0.8069383783387676,-35.45438014076796,121.72939826931169,0.4618714153766632,-0.14238379895687103,-0.2692185938358307,0.8330192565917969
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745858515252,-5.187988,-2.01416,-1.710892,0.024902,-0.589355,0.849121,-0.8426768213531698,-35.49492255696586,121.49089747710075,0.46346548199653625,-0.14284971356391907,-0.26935985684394836,0.8320077657699585
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745869254252,-4.94194,-1.466751,-2.077103,0.020996,-0.604004,0.856934,-0.8722677367661075,-35.5379595288365,121.28787462447985,0.4648108184337616,-0.14328821003437042,-0.26953771710395813,0.8311237096786499
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745879854252,-4.453659,-0.97847,-2.077103,0.023438,-0.601562,0.839355,-0.8952986069850654,-35.57221466413645,121.07135693831167,0.46627944707870483,-0.14377105236053467,-0.2696077227592468,0.830194354057312
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745890454252,-4.394531,-0.366211,-2.321243,0.016113,-0.611816,0.844727,-0.9191818303845163,-35.608385205944955,120.82334097396662,0.4679693579673767,-0.14433054625988007,-0.26965445280075073,0.8291304111480713
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745901054252,-3.843307,0.364304,-2.443314,0.01123,-0.597656,0.852539,-0.9335582624122388,-35.64213176284303,120.56056071996055,0.4697890877723694,-0.14498434960842133,-0.26962485909461975,0.8279959559440613
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745909054252,-2.929688,0.976562,-2.260208,0.02002,-0.603516,0.850586,-0.9520837749506014,-35.69468756907046,120.04029921833408,0.4734266996383667,-0.14629274606704712,-0.26941800117492676,0.8257579803466797
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745917054252,-3.108978,1.464844,-2.504349,0.007324,-0.61377,0.836426,-0.957173959353786,-35.72526197702841,119.80528559296312,0.47506415843963623,-0.14693583548069,-0.26935774087905884,0.824723482131958
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745925054252,-3.355026,1.829147,-2.931595,0.011719,-0.596191,0.845215,-0.9561231690536737,-35.750486305602834,119.56496358139155,0.476759672164917,-0.14761385321617126,-0.2692253589630127,0.8236666321754456
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745933054252,-2.988815,1.523972,-2.931595,0.009766,-0.599121,0.833496,-0.9585330164178845,-35.774986658680966,119.39765247063599,0.4779215157032013,-0.1480925977230072,-0.26919499039649963,0.8229169845581055
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745943710252,-2.132416,2.075195,-2.565384,0.009277,-0.600586,0.831055,-0.9531534662432765,-35.795376073475275,119.22405283140625,0.4791513979434967,-0.14862488210201263,-0.26909366250038147,0.8221386075019836
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745954366252,-2.073288,2.317429,-2.138138,0.004395,-0.597168,0.845703,-0.940452592159926,-35.80712662368655,119.0271000324866,0.48057684302330017,-0.14922791719436646,-0.26886850595474243,0.8212705850601196
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088745965022252,-1.953125,2.258301,-2.382278,-0.006836,-0.590332,0.833984,-0.9279123134712395,-35.822165282425935,118.81410254840594,0.48211053013801575,-0.1498810201883316,-0.2686452269554138,0.8203253149986267
