timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.524,3.298,-30.7812,16.6875,-39.5625,32.2188,18.7812,-39.4375,-0.0544,-0.1648,0.9848,-0.1423,-0.1734,0.9745,0.5234,-0.3381,9.4773,0.5361,-0.2452,8.5968,63.03490465361235
5000000,3.5461,3.3366,-30.6562,16.5938,-39.5312,32.3438,18.6875,-39.6562,-0.0612,-0.1551,0.986,-0.1444,-0.1648,0.9757,0.519,-0.3457,9.5115,0.5459,-0.2522,8.7837,63.03490465361235
10003000,3.4707,3.2595,-30.8125,16.2812,-39.75,32.2188,18.5,-39.5625,-0.0584,-0.1435,0.9879,-0.1352,-0.1522,0.9791,0.4983,-0.3796,9.654,0.5166,-0.2778,8.7347,63.070619224643735
15000000,3.502,3.2539,-30.7812,16.25,-39.8125,32.2188,18.5,-39.5312,-0.0662,-0.1387,0.9881,-0.1352,-0.1493,0.9795,0.4907,-0.3755,9.5228,0.5034,-0.2781,8.5889,63.04079337770108
20000000,3.5369,3.2705,-30.9375,16.3125,-39.8125,32.125,18.5625,-39.5,-0.0527,-0.1435,0.9882,-0.1342,-0.1522,0.9792,0.5054,-0.3716,9.6442,0.5088,-0.2637,8.4908,63.10339976974299
25001000,3.5828,3.2705,-31.0,16.4062,-39.9375,32.0312,18.6875,-39.625,-0.0555,-0.1503,0.9871,-0.1169,-0.16,0.9802,0.5322,-0.3611,9.8307,0.519,-0.2494,8.4494,63.07324440188565
30001000,3.5259,3.2558,-30.6562,16.5,-39.5,32.375,18.5625,-39.5312,-0.0632,-0.1474,0.9871,-0.1475,-0.158,0.9764,0.5,-0.3455,9.2942,0.5229,-0.2639,8.6532,63.06494313903723
35010000,3.5718,3.2025,-31.0,16.4375,-39.9688,32.0,18.8125,-39.4062,-0.0631,-0.16,0.9851,-0.1271,-0.1706,0.9771,0.5234,-0.3547,9.6611,0.522,-0.2424,8.406,63.04726119158548
40001000,3.5608,3.2448,-30.8125,16.4062,-39.7812,32.1875,18.625,-39.5312,-0.0632,-0.1493,0.9868,-0.134,-0.1609,0.9778,0.5142,-0.3542,9.551,0.5181,-0.2578,8.531,63.039555625337336
45004000,3.5975,3.2301,-30.875,16.4375,-39.9375,32.1562,18.7188,-39.4375,-0.066,-0.1542,0.9858,-0.1349,-0.1648,0.9771,0.5137,-0.3616,9.6267,0.5273,-0.2488,8.5364,63.07445206365252
50001000,3.4726,3.118,-30.7812,16.3125,-39.625,32.2188,18.625,-39.0625,-0.0652,-0.1464,0.9871,-0.1609,-0.1551,0.9747,0.5015,-0.3787,9.6788,0.5103,-0.2571,8.4349,63.0449368506306
55001000,3.5038,3.1345,-30.875,16.4375,-39.75,32.1562,18.6875,-39.4062,-0.0632,-0.1503,0.9866,-0.1398,-0.1609,0.977,0.519,-0.3638,9.7116,0.521,-0.2488,8.4647,63.07228291317827
60011000,3.5204,3.3256,-30.625,16.3125,-39.6875,32.375,18.5625,-39.5625,-0.0739,-0.1397,0.9874,-0.1476,-0.1503,0.9776,0.4993,-0.3762,9.627,0.521,-0.2727,8.7279,63.040289696352126
65001000,3.5332,3.2117,-30.875,16.25,-39.75,32.1562,18.5,-39.6875,-0.0662,-0.1387,0.9881,-0.1247,-0.1493,0.9809,0.4988,-0.3789,9.6513,0.4949,-0.2773,8.4847,63.07137686534201
70001000,3.5332,3.2264,-30.9375,16.4062,-39.8125,32.0625,18.5938,-39.3125,-0.0603,-0.1464,0.9874,-0.137,-0.1571,0.978,0.5156,-0.3584,9.6136,0.502,-0.2705,8.4891,63.03995236165713
75001000,3.5498,3.2944,-30.8125,16.6875,-39.5625,32.1875,18.8125,-39.5,-0.0553,-0.1677,0.9843,-0.1346,-0.1782,0.9747,0.5425,-0.3416,9.7303,0.5332,-0.248,8.5945,63.03585909028289
80001000,3.4818,3.1896,-30.7812,16.4062,-39.625,32.2188,18.5938,-39.4375,-0.0632,-0.1493,0.9868,-0.1417,-0.158,0.9772,0.5049,-0.3643,9.5575,0.5151,-0.2554,8.4711,63.03824831013311
85001000,3.5736,3.186,-30.875,16.4062,-40.0,32.1562,18.75,-39.375,-0.0709,-0.1551,0.9853,-0.1368,-0.1648,0.9768,0.5205,-0.3618,9.7065,0.5298,-0.2491,8.568,63.07785821411503
90001000,3.6177,3.2668,-30.75,16.3125,-39.75,32.25,18.6875,-39.4375,-0.0661,-0.1493,0.9866,-0.1427,-0.16,0.9768,0.4976,-0.3748,9.5915,0.5205,-0.2494,8.4659,63.045525465729924
95001000,3.5626,3.2392,-30.6875,16.3125,-39.8125,32.2812,18.5938,-39.5,-0.0719,-0.1445,0.9869,-0.1475,-0.1571,0.9765,0.4951,-0.3762,9.5803,0.522,-0.2625,8.6261,63.010786105475624
100002000,3.5167,3.2282,-30.6562,16.5938,-39.4375,32.3125,18.7812,-39.4688,-0.0573,-0.16,0.9855,-0.1444,-0.1677,0.9752,0.5107,-0.3438,9.3963,0.5386,-0.2452,8.6244,63.00668915393032
105001000,3.5645,3.1804,-30.8125,16.3125,-39.875,32.1875,18.5938,-39.2812,-0.069,-0.1474,0.9867,-0.1475,-0.1571,0.9765,0.5137,-0.3743,9.7675,0.5107,-0.2642,8.5182,63.04408717818032
110005000,3.5167,3.1933,-30.75,16.2812,-39.9062,32.25,18.625,-39.4375,-0.0758,-0.1435,0.9867,-0.1399,-0.1542,0.9781,0.498,-0.3743,9.5916,0.5205,-0.2595,8.5773,63.04532558508997
115131000,3.649,3.265,-30.9062,16.5625,-39.75,32.125,18.6875,-39.4688,-0.0584,-0.1522,0.9866,-0.135,-0.1629,0.9774,0.5234,-0.3511,9.6205,0.5073,-0.2542,8.3697,63.06763727840135
120127000,3.5975,3.208,-30.875,16.4062,-39.75,32.125,18.75,-39.25,-0.0632,-0.1522,0.9863,-0.1454,-0.1629,0.9759,0.5142,-0.3667,9.6891,0.5298,-0.243,8.5009,63.045566049009345
125127000,3.4965,3.1621,-30.9062,16.25,-39.75,32.125,18.5625,-39.375,-0.0604,-0.1368,0.9888,-0.1343,-0.1474,0.9799,0.4968,-0.3745,9.5805,0.5034,-0.2637,8.4304,63.07472120184123
130127000,3.5461,3.1492,-30.875,16.1875,-39.75,32.125,18.5,-39.0625,-0.0634,-0.131,0.9894,-0.1526,-0.1416,0.9781,0.501,-0.3845,9.7384,0.501,-0.2722,8.4969,63.04617603391977
135128000,3.4873,3.2007,-30.9375,16.2812,-39.8125,32.0938,18.5,-39.6562,-0.0575,-0.1397,0.9885,-0.119,-0.1493,0.9816,0.5049,-0.3796,9.7281,0.5044,-0.2712,8.5246,63.07053418847822
140127000,3.5167,3.2007,-30.75,16.4375,-39.75,32.25,18.625,-39.4375,-0.0718,-0.1542,0.9854,-0.1426,-0.1629,0.9763,0.5122,-0.3623,9.6183,0.5146,-0.27,8.6267,63.038740568796264
145127000,3.5387,3.1749,-30.9062,16.375,-39.8438,32.125,18.7188,-39.4062,-0.0651,-0.1503,0.9865,-0.1369,-0.16,0.9776,0.5078,-0.3689,9.6419,0.5298,-0.2544,8.6257,63.076279738424645
150127000,3.5442,3.1455,-30.8125,16.2188,-39.9375,32.1875,18.625,-39.4375,-0.0662,-0.1397,0.988,-0.1429,-0.1503,0.9783,0.4895,-0.3792,9.5497,0.5103,-0.2615,8.4832,63.04791668596196
155127000,3.5975,3.2595,-30.9062,16.25,-39.9375,32.125,18.5625,-39.5,-0.0652,-0.1435,0.9875,-0.1313,-0.1542,0.9793,0.5068,-0.3789,9.742,0.5073,-0.2708,8.5522,63.07512374890754
160127000,3.524,3.2907,-30.8125,16.4062,-39.75,32.1562,18.5938,-39.375,-0.0574,-0.1474,0.9874,-0.1399,-0.1571,0.9776,0.5112,-0.3677,9.6669,0.5122,-0.2625,8.5159,63.00780426621769
165139000,3.5167,3.2301,-30.9062,16.5312,-39.6875,32.125,18.875,-39.3438,-0.0573,-0.1657,0.9845,-0.1413,-0.1754,0.9743,0.5264,-0.355,9.6969,0.543,-0.2328,8.5374,63.07569818535503
170132000,3.4983,3.2135,-30.9062,16.2188,-39.6562,32.125,18.4375,-39.4688,-0.0508,-0.1329,0.9898,-0.1354,-0.1416,0.9806,0.4893,-0.3872,9.6365,0.4893,-0.28,8.4511,63.070515471890666
175127000,3.5387,3.3293,-30.8125,16.3125,-39.6875,32.2188,18.4688,-39.6562,-0.0614,-0.1397,0.9883,-0.1295,-0.1493,0.9803,0.4983,-0.3711,9.5591,0.5,-0.2786,8.5558,63.0681804800963
180128000,3.5259,3.2282,-30.625,16.3125,-39.75,32.375,18.5938,-39.5,-0.0739,-0.1445,0.9867,-0.1523,-0.1551,0.9761,0.4929,-0.3679,9.4635,0.5215,-0.2617,8.6125,63.041786377687615
185127000,3.5718,3.2025,-30.875,16.2812,-39.8125,32.1562,18.5938,-39.375,-0.0614,-0.1397,0.9883,-0.1371,-0.1503,0.9791,0.4973,-0.3853,9.7053,0.5122,-0.251,8.3898,63.075127415249824
190127000,3.5204,3.0684,-30.7812,16.2812,-39.75,32.2188,18.625,-39.4375,-0.0681,-0.1435,0.9873,-0.1476,-0.1522,0.9773,0.4983,-0.3721,9.5699,0.519,-0.2563,8.5259,63.044357833909295
195127000,3.5571,3.186,-30.8125,16.5625,-39.625,32.1875,18.75,-39.375,-0.0612,-0.16,0.9852,-0.1424,-0.1706,0.975,0.5317,-0.3457,9.6548,0.5278,-0.2474,8.5272,63.038461721793304
200128000,3.5516,3.2723,-30.75,16.4062,-39.625,32.25,18.5625,-39.6875,-0.0661,-0.1474,0.9869,-0.1274,-0.158,0.9792,0.5039,-0.3611,9.5113,0.5176,-0.2727,8.6893,63.03692200559922
205128000,3.4983,3.1896,-30.7812,16.4375,-39.8125,32.25,18.7188,-39.3125,-0.0719,-0.1503,0.986,-0.1503,-0.1609,0.9755,0.5117,-0.3582,9.5668,0.5259,-0.2488,8.5199,63.07445206365252
210128000,3.5534,3.072,-30.625,16.0938,-39.875,32.375,18.4062,-39.375,-0.0866,-0.1252,0.9883,-0.1537,-0.1358,0.9787,0.4744,-0.3926,9.5289,0.4968,-0.2864,8.6061,63.044406522387064
215128000,3.5185,3.1125,-30.75,16.2188,-39.8438,32.25,18.5,-39.4688,-0.0692,-0.131,0.989,-0.1402,-0.1416,0.9799,0.4937,-0.384,9.6506,0.502,-0.2729,8.5159,63.042402384744186
220128000,3.5442,3.1713,-30.6875,16.1875,-39.9375,32.2812,18.4375,-39.1875,-0.0692,-0.129,0.9892,-0.1555,-0.1397,0.9779,0.4905,-0.3821,9.5932,0.4961,-0.2791,8.5172,63.0133492181617
225128000,3.5938,3.2007,-30.6562,16.25,-39.875,32.3125,18.5,-39.5,-0.0797,-0.1387,0.9871,-0.1448,-0.1493,0.9781,0.49,-0.3809,9.5742,0.5039,-0.2793,8.6078,63.01000162426597
230128000,3.5277,3.1896,-30.75,16.25,-39.75,32.2812,18.4375,-39.625,-0.0663,-0.1329,0.9889,-0.1325,-0.1435,0.9807,0.4873,-0.3826,9.563,0.5054,-0.2815,8.6485,63.0692710810106
235132000,3.5332,3.2962,-30.75,16.3125,-39.6875,32.25,18.4375,-39.625,-0.0691,-0.1387,0.9879,-0.1352,-0.1493,0.9795,0.4949,-0.376,9.5748,0.501,-0.2815,8.599,63.03585909028289
240135000,3.5479,3.2117,-30.6875,16.2812,-39.625,32.2812,18.4375,-39.4375,-0.071,-0.1397,0.9876,-0.1524,-0.1503,0.9768,0.4863,-0.375,9.468,0.4924,-0.2791,8.476,63.005888340932074
245128000,3.4744,3.107,-30.7812,16.2188,-39.6875,32.2188,18.5,-39.3125,-0.0711,-0.1329,0.9886,-0.1583,-0.1435,0.9769,0.4873,-0.3774,9.506,0.5107,-0.2742,8.6284,63.042402384744186
250253000,3.5295,3.1823,-30.7812,16.2188,-39.6875,32.2188,18.4688,-39.3125,-0.074,-0.1358,0.988,-0.1563,-0.1464,0.9768,0.4839,-0.3792,9.4866,0.501,-0.2727,8.5023,63.04128111801028
255253000,3.5204,3.2209,-30.6562,16.4062,-39.6875,32.375,18.625,-39.375,-0.0758,-0.1445,0.9866,-0.1628,-0.1551,0.9744,0.5044,-0.3572,9.4735,0.521,-0.2649,8.6419,63.07101476217106
260253000,3.5057,3.1823,-30.6875,16.625,-39.4688,32.3125,18.6875,-39.5,-0.065,-0.158,0.9853,-0.1482,-0.1686,0.9745,0.521,-0.3425,9.4984,0.5386,-0.2644,8.8351,63.03375984097728
265254000,3.5718,3.1419,-30.7812,16.1875,-39.6562,32.25,18.375,-39.375,-0.072,-0.1339,0.9884,-0.1611,-0.1445,0.9763,0.4836,-0.3799,9.492,0.4868,-0.281,8.4344,63.06977408497671
270254000,3.5571,3.1731,-30.5938,16.2188,-39.5625,32.4375,18.375,-39.4375,-0.0846,-0.129,0.988,-0.1632,-0.1397,0.9767,0.4707,-0.3821,9.3712,0.4949,-0.2805,8.5196,63.068293168041265
275254000,3.5001,3.1308,-30.75,15.9688,-39.6875,32.25,18.25,-39.4688,-0.0722,-0.1203,0.9901,-0.1509,-0.131,0.9798,0.4651,-0.4062,9.577,0.4763,-0.2998,8.5237,63.04166640508482
280254000,3.5424,3.2374,-30.625,16.0938,-39.8125,32.375,18.375,-39.5625,-0.0818,-0.1261,0.9886,-0.1565,-0.1387,0.9779,0.4695,-0.3896,9.4416,0.5015,-0.2832,8.6233,63.04178275905592
285258000,3.4983,3.129,-30.8125,16.2812,-39.4062,32.2188,18.2812,-39.625,-0.0547,-0.1329,0.9896,-0.1383,-0.1416,0.9802,0.4883,-0.3821,9.5685,0.4836,-0.2986,8.5925,63.06340185186651
290267000,3.5314,3.1786,-30.75,16.2188,-39.7188,32.25,18.5,-39.375,-0.0691,-0.1368,0.9882,-0.1554,-0.1474,0.9768,0.4863,-0.385,9.5791,0.502,-0.2805,8.5993,63.04222451563714
