timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.5332,3.2227,-31.0625,16.8438,-38.5625,32.0,18.875,-38.6562,-0.0611,-0.1629,0.9848,-0.1271,-0.1715,0.9769,0.5078,-0.4004,9.9918,0.5366,-0.2749,8.9285,63.09527287665852
4997000,3.5608,3.1804,-31.0938,16.875,-38.625,31.9062,18.8125,-38.5,-0.0572,-0.1686,0.984,-0.1242,-0.1763,0.9765,0.5117,-0.3904,9.9245,0.5298,-0.2791,8.897,63.02990981470622
9997000,3.581,3.3201,-31.0625,16.9062,-38.6875,31.9688,18.9062,-38.25,-0.0678,-0.1686,0.9833,-0.147,-0.1782,0.973,0.5171,-0.3914,9.9959,0.5386,-0.262,8.8082,63.064539845621645
15000000,3.5626,3.2392,-31.0,16.9375,-38.625,32.0,19.0625,-38.3438,-0.0677,-0.1754,0.9822,-0.144,-0.1821,0.9727,0.519,-0.3875,9.9745,0.5566,-0.2346,8.7123,63.036455313096404
19997000,3.6012,3.2797,-31.1875,16.8438,-38.6875,31.8438,19.0,-38.5312,-0.0544,-0.1677,0.9843,-0.1242,-0.1763,0.9765,0.5088,-0.3938,9.9295,0.541,-0.2549,8.758,63.068362970827145
24997000,3.57,3.3385,-30.9375,16.875,-38.5625,32.0625,18.875,-38.625,-0.0678,-0.1686,0.9833,-0.1374,-0.1782,0.9743,0.5112,-0.3865,9.8756,0.5342,-0.2671,8.8149,63.03176902364394
29997000,3.5498,3.1951,-31.125,16.7188,-38.625,31.8594,18.8125,-38.1875,-0.0544,-0.16,0.9856,-0.1368,-0.1677,0.9763,0.4951,-0.4053,9.9033,0.5215,-0.2705,8.7092,63.02070794032704
34998000,3.5222,3.2374,-31.0938,17.0625,-38.4062,31.9062,19.0312,-38.5312,-0.0418,-0.1754,0.9836,-0.1268,-0.184,0.9747,0.5288,-0.3735,9.9302,0.5498,-0.2494,8.7971,63.03087659782307
39998000,3.5589,3.2686,-30.9375,16.875,-38.4375,32.0938,18.875,-38.4375,-0.0602,-0.16,0.9853,-0.1453,-0.1686,0.9749,0.501,-0.395,9.8551,0.5381,-0.2617,8.8,63.06302228477478
44997000,3.5736,3.2723,-31.0625,16.875,-38.625,31.9688,18.9062,-38.375,-0.063,-0.1686,0.9837,-0.1374,-0.1792,0.9742,0.5142,-0.3931,9.9819,0.5327,-0.2583,8.7017,63.06451500749055
