timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.5553,3.2962,-31.375,16.2188,-37.75,31.6406,18.9375,-39.1875,-0.0395,-0.0659,0.997,-0.0987,-0.0776,0.9921,0.4043,-0.4397,9.2712,0.4155,-0.345,8.343,63.09059818467408
5004000,3.5387,3.2135,-31.4375,16.2188,-37.75,31.5781,18.9375,-39.0938,-0.0424,-0.0746,0.9963,-0.0967,-0.0853,0.9917,0.4072,-0.4487,9.4048,0.4231,-0.3381,8.3517,63.08853280501933
10000000,3.4763,3.1749,-31.5,16.0938,-37.8125,31.5312,18.8125,-39.0625,-0.0453,-0.0639,0.9969,-0.1035,-0.0746,0.9918,0.397,-0.4548,9.359,0.4036,-0.3586,8.3611,63.10218699165663
15003000,3.4873,3.3017,-31.5625,16.2812,-37.75,31.4375,19.0312,-39.1562,-0.0316,-0.0795,0.9963,-0.0879,-0.0902,0.992,0.4185,-0.4419,9.4535,0.4221,-0.3291,8.2409,63.0756680380002
20000000,3.5626,3.3017,-31.375,16.25,-37.75,31.6406,19.0,-39.0,-0.0472,-0.0795,0.9957,-0.1169,-0.0912,0.9889,0.4055,-0.4375,9.2602,0.4124,-0.3455,8.313,63.08796116027209
25000000,3.5461,3.1768,-31.375,16.2188,-37.8125,31.6406,19.0312,-38.8438,-0.0501,-0.0746,0.9959,-0.1179,-0.0873,0.9892,0.4023,-0.4463,9.3231,0.4253,-0.3298,8.2844,63.08675785622526
30000000,3.5406,3.2521,-31.5,16.25,-37.7812,31.5,18.9375,-38.9062,-0.0424,-0.0727,0.9965,-0.1073,-0.0834,0.9907,0.4199,-0.4392,9.4398,0.4036,-0.3362,8.1125,63.06733133128434
35000000,3.5461,3.1933,-31.4375,16.3125,-37.875,31.5469,19.0,-38.9688,-0.0423,-0.0805,0.9959,-0.1034,-0.0931,0.9903,0.4204,-0.4336,9.3825,0.4192,-0.3325,8.246,63.0511990215095
40000000,3.5295,3.1308,-31.25,16.1875,-37.6562,31.7812,18.8125,-39.125,-0.0472,-0.0688,0.9965,-0.1141,-0.0805,0.9902,0.3948,-0.4392,9.1598,0.4155,-0.356,8.4646,63.10293314799241
45125000,3.5498,3.2631,-31.2812,16.3125,-37.75,31.6875,19.0625,-39.0625,-0.053,-0.0824,0.9952,-0.1169,-0.0941,0.9887,0.4094,-0.4353,9.2792,0.4299,-0.3298,8.3362,63.04238523358709
