saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s],main sequence ratio,Q ratio
1,145126000,175253000,30,33.82906723022461,2.1663949489593506,1158.3082275390625,1377.266845703125,40.71252796685463,1.1890331199919568
2,500505000,555505000,55,278.9202880859375,17.967784881591797,4773.32421875,8809.0224609375,31.582580533630352,1.8454691232443323
3,1396264000,1431398000,35,72.42768096923828,4.670716762542725,1938.02197265625,2758.857666015625,38.091205311231434,1.4235430273446996
7,3863666000,3893676000,30,58.081634521484375,3.7474093437194815,1949.5247802734373,2500.0517578125,43.04375691919847,1.2823903461549468
8,4218917000,4248917000,30,47.85807037353516,3.085096597671509,1575.0445556640625,1866.6771240234373,39.00443769366187,1.185158297465698
9,4474169000,4519170000,45,158.8043212890625,10.256354331970217,3102.074462890625,5606.9638671875,35.307375905605625,1.8074884836783476
10,4894549000,4984675000,90,309.7508239746094,19.998889923095703,4099.8154296875,8899.8349609375,28.732239826638942,2.170789176627854
11,5540180000,5600181000,60,341.45465087890625,22.014848709106445,5009.10791015625,9942.6142578125,29.11840337280559,1.9849071803091498
16,7081575000,7126696000,45,240.1031646728516,15.503132820129396,5340.6884765625,8230.998046875,34.281089372936854,1.5411866996168309
17,7331823000,7481950000,150,174.0824737548828,11.251194953918455,4822.84716796875,9214.662109375,52.93273877960698,1.9106270193620838
18,7727208000,7787203000,60,231.59591674804688,14.936461448669434,3968.5634765625,7071.01953125,30.531710707760706,1.7817579517147581
19,7912329000,7937454000,25,27.66152000427246,1.7797927856445312,1122.8983154296875,1276.18359375,46.13570019120016,1.136508601192136
20,8382834000,8412834000,30,47.09040069580078,3.0042314529418945,1582.564453125,1947.15185546875,41.34923098334104,1.2303776011294958
21,8602961000,8758212000,155,261.9024353027344,16.83063316345215,3960.166015625,7505.79833984375,28.65875733903642,1.8953241632369224
22,8868213000,9053465000,185,255.3716278076172,16.46205711364746,4399.1533203125,9809.5048828125,38.412665365482326,2.229862014019477
23,9979353000,10024350000,45,126.8663101196289,8.13665771484375,2860.06298828125,4338.36962890625,34.19638850389338,1.5168790501056013
24,11045235000,11085361000,40,152.9169158935547,9.7985200881958,3840.32666015625,5685.7734375,37.182109018323786,1.4805442194515466
28,12131246000,12181372000,50,211.3261108398437,13.637221336364746,4294.29248046875,7022.36669921875,33.23000017040366,1.6352790898984628
29,12356499000,12386499000,30,43.14529037475586,2.782921314239502,1427.8074951171875,1758.3995361328125,40.755306566708036,1.2315382445786165
30,12531636000,12576750000,45,233.8609771728516,15.088733673095703,4767.60986328125,7963.53125,34.05241586805646,1.6703403756529682
31,13242395000,13282382000,40,145.5266876220703,9.39705753326416,3640.389404296875,5322.8232421875,36.576268787280846,1.4621576570640469
34,14343393000,14388397000,45,194.81655883789065,12.580279350280762,3778.50830078125,6880.29345703125,35.31677952876906,1.8209020357606918
35,14898902000,14928899000,30,36.89284133911133,2.380767583847046,1245.8250732421875,1528.8720703125,41.44088703440935,1.2271964203880559
38,15939784000,15994910000,55,182.2970428466797,11.780591011047363,3529.562744140625,6108.32080078125,33.507514468672056,1.7306168620806028
39,16185037000,16245162000,60,271.94415283203125,17.544450759887695,4555.68505859375,8232.51171875,30.272802827405833,1.807085347838161
40,16370291000,16400289000,30,37.41910552978516,2.402460813522339,1255.1715087890625,1493.2347412109375,39.90567706174431,1.189665898847201
41,17105926000,17160921000,55,253.32208251953125,16.22857093811035,4682.76025390625,8514.0927734375,33.60975359414653,1.8181782350132576
42,17416174000,17461299000,45,140.10411071777344,9.032118797302246,2894.56201171875,5074.580078125,36.220065579283855,1.7531426369793979
46,18427190000,18447184000,20,19.23534393310547,1.2432984113693235,971.3969116210938,1072.1513671875,55.738611740767844,1.103721202282046
47,18567311000,18612311000,45,147.51402282714844,9.530987739562988,3470.211181640625,5327.90478515625,36.11795463946702,1.5353258076464833
48,18797438000,18842563000,45,186.5267333984375,12.048866271972656,4148.24609375,6469.5537109375,34.68432429531677,1.5595877305073398
52,19723322000,19748322000,25,26.88413429260254,1.7384696006774902,1081.68408203125,1347.5963134765625,50.12608175548983,1.2458316950971182
53,20053700000,20098701000,45,240.2292633056641,15.509917259216309,5445.18408203125,8332.3076171875,34.684815257438466,1.5302159654590133
54,20303828000,20328953000,25,26.45850372314453,1.7034882307052612,1196.0167236328125,1339.9814453125,50.644641863869026,1.1203701577369296
55,20689207000,20754332000,65,372.14544677734375,24.001623153686523,5814.0771484375,10714.2255859375,28.790425030640957,1.842807605127305
56,21179712000,21204712000,25,28.28158187866211,1.8205242156982424,1217.6810302734375,1420.3424072265625,50.221462622576375,1.1664322362873767
57,21920344000,21960472000,40,94.61630249023438,6.064721584320068,2434.476318359375,3562.380615234375,37.650811979278714,1.4633046903635971
