fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,125126000,495506000,370,664.634,729.871,-9.705068225349828,-7.562724054005674,51.96600000000001,0.0,0.0,0.0,586.5942821428571,keyboard,0
2,540507000,770766000,230,767.968,728.592,-2.9929174763765207,-7.517534460793518,37.01099999999997,103.34191500548066,-0.00021601429635638913,45001000.0,586.5942821428571,keyboard,0
3,830761000,960887000,130,698.539,437.397,-7.555322773710651,11.265444262534483,21.672999999999945,299.3575021040896,-0.03150064934159005,59995000.0,586.5942821428571,screen,1
4,985888000,1366268000,380,673.603,442.511,-9.17850593340454,10.919818220444691,34.099999999999966,25.455001316047937,0.05130068033244573,25001000.0,586.5942821428571,screen,0
5,1421393000,1586521000,165,704.359,695.102,-7.106827569577702,-5.3417346597665,34.716999999999985,254.45656764367467,0.02530082900096434,55125000.0,586.5942821428571,keyboard,1
6,1611521000,1996901000,385,713.232,715.472,-6.541804600807068,-6.657376421181441,31.425000000000068,22.218618971484233,0.02024562469337379,25000000.0,586.5942821428571,keyboard,0
7,2031901000,2372281000,340,692.02,747.429,-7.941497440708845,-8.706240427745163,50.644000000000005,38.356209314790206,0.03764306473849939,35000000.0,586.5942821428571,keyboard,0
8,2442283000,2567408000,125,813.891,718.55,-0.007913746271182,-6.872456057936179,24.942999999999984,125.24590724650446,-0.004060893366919719,70002000.0,586.5942821428571,keyboard,0
9,2692535000,4949572000,2257,702.759,442.847,-7.273936352093558,10.91753947193322,90.28099999999989,297.2582473759138,-0.034103038136630306,125127000.0,586.5942821428571,screen,1
10,5004699000,5299943000,295,648.674,725.183,-10.735897918410192,-7.25264308772443,57.72899999999993,287.4696577397344,0.030718945590309268,55127000.0,586.5942821428571,keyboard,1
11,5349944000,5645323000,295,889.823,720.77,4.922075568856414,-7.004882783391407,67.35199999999998,241.1893753256971,-0.0003193576744048968,50001000.0,586.5942821428571,keyboard,0
12,5695328000,6115704000,420,676.618,685.21,-8.897682759184917,-4.696171208514938,41.15999999999997,216.1501460212321,-0.05194668982463583,50005000.0,586.5942821428571,keyboard,0
13,6180715000,6305831000,125,704.371,423.204,-7.189027060267421,12.181539197626472,16.07899999999995,263.4717689715542,-0.02557369499342925,65011000.0,586.5942821428571,screen,1
14,6330956000,6506084000,175,682.468,446.877,-8.594578279524432,10.645658868670314,29.277000000000044,32.251392807133165,0.040445872062327595,25125000.0,586.5942821428571,screen,0
15,6566084000,6741342000,175,776.44,735.573,-2.4439136081431005,-7.96949890891458,41.769000000000005,303.60519956021835,0.021923215362399464,60000000.0,586.5942821428571,keyboard,1
16,6776337000,6986465000,210,718.011,734.494,-6.242331547231111,-7.884972740201926,30.488000000000056,58.438962020213964,-0.05450886473156028,34995000.0,586.5942821428571,keyboard,0
17,7036591000,7186731000,150,867.047,699.124,3.438496328493409,-5.612784978002649,31.005999999999972,153.17560574712937,-0.0040668673846676025,50126000.0,586.5942821428571,keyboard,0
18,7206718000,7847351000,641,863.428,705.169,3.2052073059195867,-6.00372710175186,96.54300000000012,7.045508214458323,0.03683067379265002,19987000.0,586.5942821428571,keyboard,0
