timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.829,3.807,-30.9062,16.5312,-38.4062,32.125,18.4375,-37.6875,-0.1364,-0.0776,0.9876,-0.1861,-0.0912,0.9783,0.4072,-0.4287,9.1811,0.468,-0.3391,8.8648,63.06411565082
5000000,3.8364,3.7776,-30.9375,16.4375,-38.375,32.0938,18.3125,-37.5625,-0.1336,-0.0698,0.9886,-0.192,-0.0834,0.9779,0.3977,-0.4399,9.2006,0.4424,-0.3435,8.6265,63.064415964472396
10010000,3.8584,3.7996,-30.9062,16.6875,-38.4688,32.125,18.5625,-37.625,-0.1458,-0.0941,0.9848,-0.1963,-0.1077,0.9746,0.4197,-0.4131,9.1456,0.4832,-0.3191,8.8133,63.06472704198441
15004000,3.7813,3.7813,-30.9062,16.5938,-38.4062,32.125,18.5,-37.6562,-0.1363,-0.0834,0.9871,-0.1879,-0.096,0.9775,0.4128,-0.4197,9.1429,0.4648,-0.3308,8.7374,63.06447709986978
20001000,3.829,3.7996,-31.0938,16.5312,-38.375,31.9375,18.4375,-37.75,-0.1199,-0.0805,0.9895,-0.167,-0.0912,0.9817,0.4121,-0.4255,9.2001,0.4604,-0.3325,8.7071,63.06321736464134
25001000,3.7519,3.8143,-31.0,16.5625,-38.25,32.0312,18.2812,-37.875,-0.1142,-0.0746,0.9907,-0.1728,-0.0873,0.9811,0.406,-0.4297,9.1784,0.4468,-0.3567,8.8216,63.055743022582796
30001000,3.8217,3.8401,-30.75,16.5312,-38.3125,32.3125,18.4062,-37.9375,-0.146,-0.0805,0.986,-0.1908,-0.0931,0.9772,0.4043,-0.428,9.1403,0.4775,-0.3525,9.1202,63.091482438202384
35126000,3.818,3.7813,-31.0938,16.5312,-38.375,31.9531,18.3125,-37.75,-0.1219,-0.0727,0.9899,-0.1757,-0.0853,0.9807,0.4175,-0.4336,9.3499,0.4419,-0.3564,8.7643,63.075155602661816
40126000,3.8401,3.7776,-30.75,16.5625,-38.2812,32.2812,18.3125,-37.75,-0.1432,-0.0727,0.987,-0.1986,-0.0873,0.9762,0.4053,-0.4209,9.0722,0.4641,-0.3503,8.9453,63.05772630598093
45126000,3.8474,3.8143,-30.875,16.5,-38.4375,32.1562,18.3125,-37.9375,-0.1441,-0.0727,0.9869,-0.1833,-0.0873,0.9792,0.4038,-0.4304,9.1621,0.4531,-0.3557,8.8818,63.059236672275055
50126000,3.8584,3.8731,-30.7812,16.6875,-38.3438,32.25,18.4688,-37.875,-0.1459,-0.0883,0.9854,-0.1878,-0.1019,0.9769,0.4124,-0.4172,9.1102,0.478,-0.3401,8.9879,63.058107936806984
55126000,3.8217,3.8621,-30.8125,16.5625,-38.3438,32.2188,18.375,-37.8125,-0.1431,-0.0766,0.9867,-0.1909,-0.0902,0.9775,0.4136,-0.4265,9.2273,0.4763,-0.3394,8.9606,63.059592574246786
60126000,3.8143,3.7923,-30.875,16.5938,-38.3125,32.1562,18.4688,-37.8438,-0.1353,-0.0853,0.9871,-0.1803,-0.097,0.9788,0.4055,-0.4216,9.0831,0.4756,-0.3345,8.8984,63.060823639800326
65126000,3.8254,3.8584,-30.6875,16.5938,-38.1562,32.3438,18.375,-37.8125,-0.1441,-0.0776,0.9865,-0.1985,-0.0902,0.9759,0.3979,-0.4211,8.9934,0.4819,-0.3518,9.1614,63.057399112396006
70126000,3.7133,3.7151,-30.75,16.5312,-38.0625,32.2812,18.3125,-37.6875,-0.1326,-0.0717,0.9886,-0.1996,-0.0834,0.9763,0.3865,-0.4265,8.9258,0.4536,-0.3496,8.8196,63.057480350312126
75126000,3.7923,3.818,-30.8125,16.5938,-38.4375,32.2188,18.4062,-37.625,-0.1488,-0.0834,0.9853,-0.2013,-0.097,0.9747,0.4128,-0.4221,9.1701,0.4817,-0.3406,9.0344,63.06258581520425
80126000,3.7629,3.8805,-30.9375,16.5938,-38.125,32.125,18.375,-37.9375,-0.1219,-0.0746,0.9897,-0.1785,-0.0873,0.9801,0.4087,-0.4319,9.2329,0.48,-0.3481,9.099,63.08792860714322
85126000,3.8143,3.8401,-30.7812,16.5938,-38.25,32.25,18.4375,-37.875,-0.1412,-0.0776,0.9869,-0.189,-0.0912,0.9777,0.4019,-0.4248,9.0777,0.4807,-0.3362,8.9748,63.05927392644162
90126000,3.8143,3.8584,-31.0625,16.5,-38.4688,32.0,18.375,-37.7188,-0.1287,-0.0717,0.9891,-0.1776,-0.0853,0.9804,0.4185,-0.4341,9.3662,0.4607,-0.3411,8.8043,63.09482570900723
95126000,3.7849,3.8143,-30.875,16.5625,-38.3125,32.1562,18.375,-37.8125,-0.1335,-0.0727,0.9884,-0.1862,-0.0873,0.9786,0.4087,-0.4236,9.1402,0.4695,-0.3445,8.9406,63.059236672275055
100126000,3.7849,3.9135,-31.0,16.7188,-38.4375,32.0312,18.5938,-37.875,-0.1304,-0.0931,0.9871,-0.1744,-0.1067,0.9789,0.4363,-0.4087,9.2819,0.4932,-0.3257,8.9986,63.06159056581113
105128000,3.7574,3.7261,-30.875,16.625,-38.25,32.1562,18.4062,-37.625,-0.1335,-0.0795,0.9879,-0.2023,-0.0912,0.9751,0.4094,-0.4192,9.0994,0.4617,-0.3342,8.7396,63.05945981278304
110126000,3.807,3.807,-30.8125,16.5625,-38.25,32.2188,18.4375,-37.75,-0.1306,-0.0746,0.9886,-0.1967,-0.0873,0.9766,0.4043,-0.4265,9.124,0.4775,-0.342,9.004,63.06116399726539
115137000,3.7813,3.807,-30.6875,16.75,-38.25,32.3125,18.5938,-37.75,-0.1535,-0.0902,0.984,-0.204,-0.1038,0.9735,0.4192,-0.4077,9.0803,0.5112,-0.3208,9.148,63.028958411511134
120126000,3.7996,3.7849,-30.9688,16.5,-38.375,32.0312,18.25,-37.75,-0.1259,-0.0668,0.9898,-0.1853,-0.0805,0.9794,0.4104,-0.4355,9.2928,0.4485,-0.3557,8.8299,63.027399795644435
125127000,3.7923,3.8878,-30.875,16.5938,-38.4062,32.1562,18.4688,-37.8438,-0.144,-0.0805,0.9863,-0.1851,-0.0941,0.9782,0.4141,-0.4248,9.2137,0.4744,-0.3342,8.882,63.0615896739053
130126000,3.7133,3.7923,-30.8125,16.5938,-38.25,32.2188,18.3125,-37.75,-0.1355,-0.0717,0.9882,-0.1919,-0.0853,0.9777,0.4097,-0.4324,9.2492,0.4612,-0.3516,8.926,63.05671026449128
135136000,3.7555,3.8658,-30.9062,16.5938,-38.375,32.1562,18.375,-38.0625,-0.1393,-0.0776,0.9872,-0.1746,-0.0931,0.9802,0.4172,-0.4243,9.2436,0.47,-0.3481,8.9867,63.088323986693446
140137000,3.7849,3.7776,-30.7812,16.5,-38.1562,32.25,18.125,-37.6875,-0.1336,-0.061,0.9892,-0.1988,-0.0746,0.9772,0.3936,-0.4348,9.0971,0.4424,-0.3789,9.0189,63.05388551175891
145127000,3.7996,3.7133,-31.0,16.5312,-38.5625,32.0,18.375,-37.6875,-0.1412,-0.0727,0.9873,-0.1833,-0.0873,0.9792,0.4224,-0.4285,9.3471,0.4651,-0.3462,8.9103,63.03304866052411
150127000,3.7059,3.7702,-30.8125,16.5625,-38.1875,32.2188,18.3125,-37.875,-0.1355,-0.0717,0.9882,-0.191,-0.0853,0.9779,0.4055,-0.4304,9.1812,0.4568,-0.3479,8.8363,63.0563631677248
155127000,3.7702,3.7629,-30.9375,16.5938,-38.25,32.125,18.25,-37.625,-0.1258,-0.0727,0.9894,-0.1919,-0.0853,0.9777,0.407,-0.4292,9.1838,0.4475,-0.3608,8.8758,63.08734048674108
160136000,3.7813,3.8474,-30.75,16.5625,-38.125,32.2812,18.25,-37.9375,-0.1326,-0.0659,0.989,-0.1958,-0.0795,0.9774,0.4021,-0.4287,9.124,0.4612,-0.364,9.064,63.05406399225985
165134000,3.7592,3.8437,-30.6875,16.5938,-38.1875,32.3438,18.3125,-37.9688,-0.1383,-0.0727,0.9877,-0.1919,-0.0873,0.9775,0.3972,-0.4253,9.0316,0.4661,-0.3577,9.0483,63.05510716087952
170141000,3.6784,3.7408,-30.6875,16.5312,-38.0,32.3125,18.1875,-37.6562,-0.1356,-0.061,0.9889,-0.2064,-0.0746,0.9756,0.3855,-0.4285,8.9367,0.4448,-0.3633,8.8728,63.02270644878717
175252000,3.7702,3.7408,-30.875,16.5,-38.3125,32.1562,18.2812,-37.7188,-0.1385,-0.061,0.9885,-0.1921,-0.0766,0.9784,0.4072,-0.4343,9.2438,0.4651,-0.3521,8.9752,63.059157356961244
180252000,3.7261,3.8033,-30.875,16.5938,-38.25,32.1562,18.375,-37.7188,-0.1326,-0.0698,0.9887,-0.191,-0.0824,0.9781,0.4067,-0.4331,9.2247,0.4761,-0.3438,9.0065,63.058599891846626
185252000,3.728,3.9025,-30.8125,16.7188,-38.3125,32.2188,18.375,-37.8125,-0.1393,-0.0746,0.9874,-0.1833,-0.0883,0.9791,0.4236,-0.4131,9.1892,0.4731,-0.344,8.9763,63.05503769033843
190257000,3.7408,3.7923,-30.75,16.5,-38.125,32.2812,18.125,-37.8438,-0.1356,-0.0561,0.9892,-0.196,-0.0688,0.9782,0.3933,-0.4353,9.0999,0.4441,-0.3816,9.0678,63.05277053294327
195252000,3.761,3.7996,-30.7812,16.5,-38.25,32.25,18.0938,-38.125,-0.1395,-0.0561,0.9886,-0.1816,-0.0698,0.9809,0.3943,-0.4343,9.0998,0.4409,-0.3811,9.0269,63.05147101281619
200252000,3.7739,3.8841,-30.875,16.5312,-38.3125,32.1875,18.1562,-37.9375,-0.1385,-0.061,0.9885,-0.1777,-0.0766,0.9811,0.4065,-0.4299,9.1866,0.4519,-0.3711,9.0387,63.084547682059195
205262000,3.7408,3.7813,-30.6875,16.625,-38.125,32.3438,18.25,-37.8125,-0.1384,-0.0668,0.9881,-0.2016,-0.0805,0.9762,0.4055,-0.4192,9.0559,0.4568,-0.3547,8.912,63.05301785751416
210252000,3.7243,3.7702,-30.7812,16.5938,-38.25,32.25,18.2812,-37.6875,-0.1365,-0.0659,0.9884,-0.1997,-0.0795,0.9766,0.3992,-0.4285,9.0887,0.4656,-0.3647,9.1214,63.056291505685614
215252000,3.7537,3.7169,-30.9062,16.5312,-38.375,32.1562,18.25,-37.625,-0.1394,-0.062,0.9883,-0.1959,-0.0766,0.9776,0.4109,-0.4348,9.29,0.4575,-0.3601,8.9797,63.090277120963734
220257000,3.7298,3.7996,-30.7812,16.6875,-38.0625,32.25,18.3125,-37.9375,-0.1306,-0.0727,0.9888,-0.1881,-0.0853,0.9784,0.405,-0.4197,9.0559,0.4624,-0.3618,9.0533,63.05226739333011
