fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg],dispersion [px],euclidian distance from previous [px],angle from previous [rad],time since previous [ns],threshold y [px],region,transition
1,125001000,535379000,410,638.018,501.906,-11.424790392668022,7.083987778424938,40.646000000000015,0.0,0.0,0.0,594.5865649867374,screen,0
2,595509000,745631000,150,643.693,755.467,-11.09266670419112,-9.191541398786992,41.958999999999946,253.6244987101995,0.027025007316859445,60130000.0,594.5865649867374,keyboard,1
3,770632000,1301136000,531,659.196,783.016,-10.119271426161744,-10.96989257201389,60.52099999999996,31.6115550076234,0.018469466539920563,25001000.0,594.5865649867374,keyboard,0
4,1341137000,1646515000,305,770.414,770.396,-2.8471606290761526,-10.215125327062212,27.861999999999966,111.93171098486788,-0.0019720050431807625,40001000.0,594.5865649867374,keyboard,0
5,1781644000,2116894000,335,685.217,486.948,-8.376095118291996,8.07109614661197,57.50100000000003,295.97516367594085,-0.032511632419633785,135129000.0,594.5865649867374,screen,1
6,2171894000,3187903000,1016,700.468,755.176,-7.398279920882535,-9.208953630669775,56.73900000000003,268.6612234487888,0.026424269790808055,55000000.0,594.5865649867374,keyboard,1
7,3247904000,3508156000,260,672.145,467.282,-9.24478380677869,9.327952437882509,40.26100000000008,289.28385292822696,-0.0291271143672243,60001000.0,594.5865649867374,screen,1
8,3573281000,3833535000,260,679.139,774.342,-8.807077887361608,-10.428314026860676,45.412000000000035,307.13964191553004,0.027018097499630075,65125000.0,594.5865649867374,keyboard,1
9,3883534000,4434039000,551,824.702,747.3,0.6956619885449569,-8.728691680722203,43.39999999999998,148.05356035232654,-0.0032058423987373573,49999000.0,594.5865649867374,keyboard,0
10,4474039000,4664291000,190,737.186,746.66,-5.002245880602952,-8.675764760704153,27.712000000000103,87.51834011223015,-0.054703502807639186,40000000.0,594.5865649867374,keyboard,0
11,4724292000,5299801000,576,699.594,461.994,-7.462317464550387,9.684054966952711,51.36999999999995,287.1374061664554,-0.029707129370742068,60001000.0,594.5865649867374,screen,1
12,5354922000,5590174000,235,867.152,715.161,3.449188474401063,-6.648255094347353,28.968000000000075,303.5938294053421,0.017211343565438856,55121000.0,594.5865649867374,keyboard,1
13,5640175000,6065559000,425,658.27,699.955,-10.093640112802364,-5.637531700495147,33.90200000000016,209.43474487295566,-0.053562824080700455,50001000.0,594.5865649867374,keyboard,0
14,6120679000,6500932000,380,712.917,460.894,-6.594861580183765,9.76163276615376,57.09699999999998,245.2273564062542,-0.023493306795827017,55120000.0,594.5865649867374,screen,1
15,6546058000,6706184000,160,729.487,683.877,-5.475256654911536,-4.623725565228371,25.280000000000086,223.59781570713068,0.026120982611274785,45126000.0,594.5865649867374,keyboard,1
16,6731185000,6921311000,190,721.383,723.268,-6.016994071580143,-7.162571632386698,37.01200000000006,40.215988076883114,0.03095686241785712,25001000.0,594.5865649867374,keyboard,0
17,6981440000,7286690000,305,719.461,463.797,-6.166094904335189,9.577680634364496,64.5750000000001,259.4781183934399,-0.027544848566361937,60129000.0,594.5865649867374,screen,1
18,7336815000,7662068000,325,586.923,697.069,-14.703604995807044,-5.415919150987307,49.34899999999993,268.29488893379977,0.036433434641763816,50125000.0,594.5865649867374,keyboard,1
19,7702068000,8362699000,661,640.871,748.445,-11.267386235374245,-8.739336053553275,60.73299999999995,74.49751727406765,0.013281661178747869,40000000.0,594.5865649867374,keyboard,0
20,8412699000,8672952000,260,883.125,716.811,4.486021552577808,-6.751271997047508,32.49199999999996,244.31068431814438,-0.002266261881170923,50000000.0,594.5865649867374,keyboard,0
21,8723077000,9373583000,651,666.672,677.599,-9.537095638980388,-4.203361930107748,70.81999999999994,219.97609450347096,-0.051703269779344356,50125000.0,594.5865649867374,keyboard,0
22,9418708000,9628839000,210,795.941,751.553,-1.1777184775236451,-9.003079569432744,31.261999999999944,148.9284005050749,0.009069559629637527,45125000.0,594.5865649867374,keyboard,0
23,9683962000,9974213000,290,718.983,724.809,-6.173606561387997,-7.261134399362582,35.91999999999996,81.47254322776486,-0.048993731613243864,55123000.0,594.5865649867374,keyboard,0
24,10019214000,10319467000,300,899.094,694.197,5.513048919432335,-5.2883849602439215,33.031999999999925,182.69391578539236,-0.0029383156416362102,45001000.0,594.5865649867374,keyboard,0
25,10349592000,10499718000,150,874.89,716.862,3.9517201780625046,-6.756476706339145,31.354000000000042,33.159249705022,0.04169624568596214,30125000.0,594.5865649867374,keyboard,0
26,10524718000,10664844000,140,856.854,725.477,2.7831883851101,-7.316081909003255,28.641000000000076,19.987884355278776,0.0470537215385628,25000000.0,594.5865649867374,keyboard,0
27,10709845000,10925097000,215,706.56,727.104,-6.981605070977942,-7.404491075515612,35.621000000000095,150.30280624459422,0.05464220321738561,45001000.0,594.5865649867374,keyboard,0
28,10980097000,11330481000,350,890.836,684.174,4.975462611713566,-4.643325378123789,29.341000000000008,189.21054166192755,-0.003994767517927147,55000000.0,594.5865649867374,keyboard,0
29,11385476000,11940981000,556,618.129,660.525,-12.663591415319924,-3.0923179489550656,61.524,273.73049346026465,-0.05332137274510747,54995000.0,594.5865649867374,keyboard,0
30,11981112000,12181233000,200,707.518,732.745,-6.923044228588313,-7.768214923684566,32.88300000000004,114.91789121368355,0.011860511774917737,40131000.0,594.5865649867374,keyboard,0
31,12196233000,12526611000,330,728.494,726.752,-5.557002083125948,-7.389460482733382,30.849000000000046,21.815330045635353,-0.004857135461889698,15000000.0,594.5865649867374,keyboard,0
32,12576611000,13082116000,506,892.768,704.592,5.106873929899181,-5.96051266837578,43.808000000000106,165.76191563806205,-0.002340262303997492,50000000.0,594.5865649867374,keyboard,0
33,13132116000,13782747000,651,710.275,653.703,-6.710150942348924,-2.673403800438067,63.35200000000009,189.45549706989243,-0.050084779074165774,50000000.0,594.5865649867374,keyboard,0
34,13827747000,13982874000,155,903.383,715.834,5.799508751061764,-6.682566184025085,26.187999999999988,202.8569959971803,0.005432905375293483,45000000.0,594.5865649867374,keyboard,0
35,14012999000,14178126000,165,935.911,712.986,7.905897433679179,-6.487457064990054,22.696000000000026,32.652440766349976,-0.0015242419234686665,30125000.0,594.5865649867374,keyboard,0
36,14243126000,14383258000,140,774.735,431.317,-2.573557804703348,11.689191927740046,26.662000000000035,324.52292451689755,-0.03648675647632735,65000000.0,594.5865649867374,screen,1
37,14418378000,14753631000,335,720.767,427.294,-6.110922743981251,11.928175426734468,81.35399999999998,54.11773787770509,-0.053532496168493524,35120000.0,594.5865649867374,screen,0
38,14958882000,15274135000,315,723.099,447.061,-5.941513529765734,10.65704088184559,36.82799999999992,19.904082822375912,0.0253659996031643,205251000.0,594.5865649867374,screen,0
39,15314135000,16064892000,751,840.557,490.932,1.7258888031068829,7.844103558895438,48.551999999999964,125.38359703326427,0.0062388228544409605,40000000.0,594.5865649867374,screen,0
40,16104893000,16595397000,491,719.894,474.15,-6.130565035259485,8.910936903442426,60.67500000000007,121.82444374180415,-0.05241917679785139,40001000.0,594.5865649867374,screen,0
41,16620397000,16980658000,360,703.916,470.583,-7.173440414682858,9.13349072495384,31.92300000000006,16.371315554957643,-0.05099764433145381,25000000.0,594.5865649867374,screen,0
42,17020783000,17551280000,530,639.141,494.537,-11.359577526121274,7.557274054098128,30.565999999999974,69.06225264933087,0.04864906110886765,40125000.0,594.5865649867374,screen,0
