timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm],distance between pupils center [mm]
0,3.5112,3.3881,-30.8125,16.25,-38.375,32.1875,18.0,-37.8125,-0.1036,-0.061,0.9927,-0.196,-0.0717,0.978,0.3669,-0.4441,8.9052,0.4143,-0.3523,8.4105,63.02681101126726
5000000,3.5057,3.5185,-30.7812,16.4375,-38.0625,32.25,18.125,-38.0938,-0.0929,-0.0766,0.9927,-0.1805,-0.0853,0.9799,0.3694,-0.4224,8.6897,0.4316,-0.3501,8.5795,63.05379298170729
10000000,3.4946,3.3954,-30.8125,16.25,-38.25,32.1875,17.9688,-37.9375,-0.0959,-0.0532,0.994,-0.1884,-0.0639,0.98,0.3591,-0.4404,8.7777,0.4109,-0.353,8.3805,63.02421700973365
15000000,3.57,3.4138,-30.75,16.375,-38.4375,32.25,18.1562,-37.75,-0.1181,-0.0688,0.9906,-0.2015,-0.0824,0.976,0.3762,-0.4299,8.85,0.4387,-0.3411,8.5585,63.02892454809934
20000000,3.5534,3.4781,-30.875,16.25,-38.1875,32.1875,18.0,-37.875,-0.091,-0.0552,0.9943,-0.1913,-0.0659,0.9793,0.3584,-0.4443,8.8132,0.4148,-0.3569,8.4673,63.08755077271585
25000000,3.5516,3.5204,-30.75,16.375,-38.125,32.25,18.125,-38.0,-0.0987,-0.0659,0.9929,-0.1911,-0.0766,0.9786,0.3645,-0.4292,8.7118,0.4363,-0.3457,8.5826,63.024424828791574
30000000,3.4836,3.4413,-30.75,16.4375,-38.125,32.25,18.1562,-37.9375,-0.0958,-0.0766,0.9925,-0.1919,-0.0873,0.9775,0.3735,-0.4187,8.6949,0.4399,-0.3401,8.5614,63.02371843948911
35000000,3.4873,3.3881,-30.6875,16.25,-38.1875,32.3125,18.0625,-37.8125,-0.1037,-0.0552,0.9931,-0.197,-0.0668,0.9781,0.3623,-0.4399,8.8074,0.4231,-0.3606,8.6004,63.02718287572434
40125000,3.5277,3.4983,-30.75,16.5938,-38.0,32.2812,18.375,-38.0625,-0.0986,-0.0795,0.9919,-0.1918,-0.0912,0.9772,0.3799,-0.4099,8.6675,0.4619,-0.3262,8.6533,63.056393435796814
45125000,3.5424,3.5167,-30.75,16.2188,-38.2812,32.25,17.9688,-37.9062,-0.1037,-0.0425,0.9937,-0.1962,-0.0532,0.9791,0.3423,-0.45,8.6976,0.4065,-0.377,8.5969,63.02541650001212
50126000,3.5038,3.4983,-30.875,16.1875,-38.4375,32.1562,17.9688,-38.1875,-0.0989,-0.021,0.9949,-0.1705,-0.0337,0.9848,0.3513,-0.448,8.7758,0.4141,-0.3965,8.8982,63.05686087278687
55131000,3.5791,3.5387,-31.0625,16.0,-38.5625,31.9688,17.7812,-38.0,-0.1077,0.0268,0.9938,-0.1628,0.0151,0.9865,0.3289,-0.4712,8.787,0.3533,-0.4336,8.6364,63.05897128387047
60134000,3.6655,3.6471,-30.8125,16.0,-38.5312,32.2188,17.6875,-38.0938,-0.1201,0.06,0.9909,-0.1972,0.0493,0.9791,0.2913,-0.4685,8.3419,0.3269,-0.4331,8.3392,63.05540226419938
65125000,3.5902,3.4965,-30.9688,15.5,-38.4688,32.0625,17.0625,-38.2812,-0.1038,0.1377,0.985,-0.1825,0.1271,0.975,0.2332,-0.5342,8.442,0.2488,-0.5332,8.6026,63.05094273442706
70126000,3.5442,3.3789,-31.0938,15.5625,-38.5625,32.0,17.0312,-38.125,-0.0888,0.1754,0.9805,-0.1691,0.1657,0.9716,0.224,-0.5396,8.4023,0.2375,-0.5522,8.6947,63.112408323403415
75126000,3.513,3.4395,-31.0938,15.4688,-38.4688,32.0,16.8438,-38.3125,-0.0805,0.2146,0.9734,-0.1613,0.2051,0.9654,0.1982,-0.5952,8.7518,0.2166,-0.5952,8.9526,63.10897442622563
80132000,3.5902,3.5185,-30.8125,15.375,-38.3125,32.2188,16.8125,-38.0938,-0.0911,0.2498,0.964,-0.1861,0.2393,0.9529,0.1532,-0.6074,8.3981,0.1738,-0.6099,8.6517,63.048069087244855
85126000,3.5204,3.5222,-30.9375,15.0625,-38.4062,32.0938,16.5312,-38.1875,-0.093,0.2846,0.9541,-0.1649,0.2743,0.9474,0.1024,-0.6665,8.521,0.1107,-0.6606,8.5441,63.04878816496
90126000,3.4542,3.4046,-31.125,15.125,-38.5,31.9062,16.4375,-38.0625,-0.089,0.2939,0.9517,-0.1691,0.2836,0.9439,0.0969,-0.667,8.466,0.0671,-0.6792,8.2818,63.04638162448341
95126000,3.513,3.513,-31.0625,15.125,-38.5312,32.0,16.5312,-37.8438,-0.1003,0.2911,0.9514,-0.1766,0.2808,0.9434,0.1032,-0.6606,8.4622,0.0817,-0.6611,8.2334,63.08192152629785
100126000,3.4303,3.5498,-31.0,15.3125,-38.5625,32.0,16.5938,-37.8125,-0.1028,0.2705,0.9572,-0.1795,0.2602,0.9487,0.1149,-0.6406,8.36,0.0833,-0.6445,8.0598,63.017491458245146
105126000,3.5204,3.4781,-31.125,15.1562,-38.4375,31.9062,16.5938,-37.6875,-0.093,0.2865,0.9536,-0.1786,0.2771,0.9441,0.0917,-0.665,8.3869,0.0809,-0.6523,8.1236,63.05205283890446
110126000,3.4652,3.4763,-31.375,15.3438,-38.4375,31.6875,16.7188,-37.75,-0.0747,0.2696,0.9601,-0.1554,0.2602,0.953,0.1176,-0.6436,8.423,0.0997,-0.6318,8.0927,63.08123482859225
115128000,3.5498,3.592,-31.0,14.9688,-38.4375,32.0,16.4062,-37.9688,-0.1046,0.2995,0.9483,-0.1742,0.2911,0.9407,0.0801,-0.6899,8.5477,0.0695,-0.6714,8.2183,63.01813864634531
120126000,3.491,3.5148,-31.0625,15.25,-38.25,32.0,16.5,-37.875,-0.0892,0.2865,0.9539,-0.1713,0.2771,0.9455,0.0988,-0.6572,8.3742,0.0744,-0.6631,8.1759,63.07600202335275
125126000,3.5608,3.4873,-31.1875,15.1562,-38.5938,31.875,16.5625,-37.875,-0.105,0.2893,0.9515,-0.1665,0.2799,0.9455,0.0961,-0.6777,8.5819,0.087,-0.6538,8.207,63.08227373343482
130133000,3.4965,3.5112,-31.0938,15.1562,-38.4375,31.9375,16.5312,-37.5625,-0.0976,0.2883,0.9526,-0.1822,0.2799,0.9426,0.0935,-0.6699,8.4631,0.0775,-0.6509,8.0688,63.05236735991758
135126000,3.4046,3.3936,-31.2812,15.1562,-38.3125,31.75,16.5312,-37.75,-0.077,0.2911,0.9536,-0.1608,0.2827,0.9456,0.0894,-0.6733,8.4579,0.0815,-0.647,8.0679,63.04870501992884
140126000,3.4469,3.4505,-31.25,15.25,-38.5938,31.7812,16.6875,-37.9062,-0.0932,0.2771,0.9563,-0.1597,0.2677,0.9502,0.1115,-0.6621,8.5697,0.1085,-0.6284,8.1501,63.05133918839472
145133000,3.4763,3.4891,-31.125,15.0312,-38.4375,31.8906,16.3125,-37.75,-0.0916,0.2995,0.9497,-0.1706,0.2893,0.9419,0.084,-0.686,8.5452,0.0555,-0.6851,8.2227,63.03237445392645
150126000,3.4763,3.6379,-31.125,15.0625,-38.3125,31.8906,16.5625,-37.8125,-0.09,0.2911,0.9524,-0.159,0.2818,0.9462,0.0759,-0.6924,8.5307,0.0829,-0.6514,8.1337,63.03543323687083
155126000,3.4175,3.3182,-31.1875,15.0,-38.2812,31.875,16.3125,-37.625,-0.0859,0.3042,0.9487,-0.1674,0.2977,0.9399,0.0665,-0.6963,8.4734,0.0428,-0.688,8.1181,63.07957007573847
160126000,3.4836,3.5736,-31.2188,14.9688,-38.4375,31.8125,16.4062,-37.9375,-0.0889,0.2986,0.9502,-0.1615,0.2874,0.9441,0.0753,-0.6948,8.5516,0.062,-0.6709,8.1302,63.04967008993783
