section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091690142047,3.7996,3.7169,-30.9688,15.1875,-39.0,32.0,18.5,-39.5625,-0.1013,-0.1048,0.9893,-0.1799,-0.1155,0.9769,0.4492,-0.3789,9.0953,0.5083,-0.2639,8.488
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091695142047,3.7298,3.66,-31.0938,15.375,-38.9688,31.875,18.7188,-39.3438,-0.0866,-0.1223,0.9887,-0.1881,-0.1339,0.973,0.468,-0.3623,9.1216,0.5352,-0.2494,8.6314
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091700142047,3.7592,3.6839,-31.0,15.3438,-38.9688,31.9531,18.7188,-39.5,-0.0896,-0.1155,0.9893,-0.1825,-0.1281,0.9748,0.4688,-0.365,9.1596,0.5449,-0.2422,8.6627
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091705142047,3.7335,3.7592,-30.9375,15.125,-38.875,32.0312,18.4062,-39.5,-0.0879,-0.0941,0.9917,-0.1916,-0.1048,0.9759,0.4441,-0.3835,9.0895,0.5088,-0.2876,8.7542
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091710147047,3.7629,3.8107,-31.125,15.1875,-39.0625,31.8438,18.5938,-39.75,-0.0878,-0.1067,0.9904,-0.1646,-0.1174,0.9793,0.4636,-0.3826,9.2973,0.5215,-0.261,8.6044
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091715142047,3.7702,3.7629,-31.0625,15.25,-38.9688,31.9062,18.5,-39.5312,-0.0907,-0.1019,0.9907,-0.1847,-0.1126,0.9763,0.4585,-0.3674,9.0718,0.5078,-0.2771,8.6276
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091720151047,3.7188,3.7188,-31.0625,15.1562,-39.0625,31.8906,18.4688,-39.3125,-0.0927,-0.096,0.9911,-0.1887,-0.1067,0.9762,0.4504,-0.3772,9.09,0.5112,-0.2749,8.6419
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091725142047,3.7298,3.6508,-31.0938,15.125,-39.125,31.875,18.4062,-39.2188,-0.0966,-0.096,0.9907,-0.1887,-0.1077,0.9761,0.4543,-0.3833,9.2015,0.5078,-0.2864,8.7298
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091730142047,3.7169,3.7335,-30.9688,15.3125,-39.0,31.9531,18.5625,-39.5,-0.0935,-0.1116,0.9893,-0.175,-0.1223,0.9769,0.4761,-0.3706,9.3041,0.5303,-0.2817,8.932
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091735142047,3.7996,3.7849,-31.0938,15.125,-39.25,31.875,18.4688,-39.5312,-0.0956,-0.1009,0.9903,-0.1771,-0.1116,0.9778,0.4585,-0.3855,9.2724,0.5132,-0.2754,8.6693
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091740148047,3.8143,3.7408,-30.9688,15.2812,-39.0625,32.0,18.5625,-39.5,-0.0965,-0.1048,0.9898,-0.1875,-0.1155,0.9754,0.4607,-0.3699,9.1235,0.5273,-0.27,8.77
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091745267047,3.7813,3.796,-30.9375,15.0312,-39.0625,32.0,18.375,-39.5625,-0.0966,-0.0941,0.9909,-0.183,-0.1048,0.9775,0.4309,-0.3918,9.0345,0.5083,-0.2869,8.7407
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091750267047,3.7813,3.6673,-30.9062,14.9688,-39.0312,32.0312,18.4375,-39.375,-0.1005,-0.0873,0.9911,-0.1965,-0.097,0.9757,0.4265,-0.3953,9.0235,0.5142,-0.2925,8.8686
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091755267047,3.807,3.671,-31.0,15.1875,-39.0625,31.9531,18.4375,-39.4062,-0.0927,-0.099,0.9908,-0.1857,-0.1116,0.9762,0.4592,-0.3853,9.2779,0.5078,-0.2954,8.8293
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091760267047,3.75,3.7261,-31.0,15.3438,-38.9688,31.9688,18.5625,-39.625,-0.0877,-0.1096,0.9901,-0.1722,-0.1203,0.9777,0.4807,-0.3623,9.2641,0.5366,-0.2822,9.0092
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091765267047,3.7261,3.6288,-31.0625,15.125,-39.0,31.9062,18.4375,-39.375,-0.0898,-0.0941,0.9915,-0.1849,-0.1048,0.9772,0.4524,-0.3889,9.242,0.501,-0.292,8.7147
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091770267047,3.7482,3.6747,-31.0625,15.1875,-39.0,31.9062,18.4375,-39.4375,-0.083,-0.096,0.9919,-0.1724,-0.1067,0.9792,0.4563,-0.3875,9.2695,0.5044,-0.2805,8.6268
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091775277047,3.7206,3.6582,-30.9688,15.3438,-38.875,32.0,18.5,-39.4375,-0.0878,-0.1077,0.9903,-0.1808,-0.1184,0.9764,0.4663,-0.3728,9.2189,0.5288,-0.2837,8.937
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091780267047,3.7004,3.6196,-31.25,15.0,-39.0,31.7188,18.4062,-39.5312,-0.0763,-0.0853,0.9934,-0.1621,-0.096,0.9821,0.448,-0.3997,9.3123,0.4961,-0.2881,8.6167
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091785267047,3.7463,3.7078,-31.25,15.0625,-39.1562,31.7188,18.375,-39.6875,-0.0821,-0.0931,0.9923,-0.1572,-0.1019,0.9823,0.4636,-0.3948,9.4329,0.501,-0.2842,8.6286
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091790267047,3.6747,3.6269,-31.25,15.0625,-39.0625,31.6875,18.4375,-39.3125,-0.0743,-0.0902,0.9931,-0.1697,-0.099,0.9805,0.4541,-0.3921,9.2965,0.5,-0.2805,8.5773
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091795267047,3.7225,3.682,-31.1875,15.125,-39.0,31.8125,18.375,-39.375,-0.0802,-0.0883,0.9929,-0.1707,-0.099,0.9803,0.4641,-0.3862,9.3434,0.4988,-0.2893,8.6604
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091800268047,3.682,3.6067,-31.125,15.1875,-39.0,31.8594,18.4688,-39.5,-0.082,-0.097,0.9919,-0.1696,-0.1077,0.9796,0.4644,-0.3899,9.3869,0.522,-0.2908,8.9378
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091805267047,3.6931,3.5553,-31.0938,15.3125,-38.875,31.8594,18.4688,-39.3125,-0.0742,-0.1038,0.9918,-0.1799,-0.1145,0.977,0.47,-0.3696,9.2248,0.5107,-0.2856,8.7547
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091810268047,3.7151,3.5718,-31.125,15.2812,-38.9375,31.7969,18.4375,-39.4062,-0.0743,-0.1019,0.992,-0.1723,-0.1126,0.9786,0.4695,-0.3716,9.241,0.5078,-0.2952,8.8266
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091815268047,3.7298,3.6839,-31.25,15.1562,-39.0,31.7188,18.4062,-39.5625,-0.0666,-0.0883,0.9939,-0.1563,-0.097,0.9829,0.47,-0.3811,9.3521,0.5137,-0.2917,8.855
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091820268047,3.7408,3.75,-31.2812,15.1875,-38.875,31.6875,18.4688,-39.6562,-0.0588,-0.0931,0.9939,-0.1495,-0.1038,0.9833,0.4673,-0.3879,9.398,0.5142,-0.293,8.8739
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091825268047,3.7482,3.5755,-31.3125,15.125,-39.0938,31.6406,18.4375,-39.4688,-0.0714,-0.0912,0.9933,-0.1591,-0.1019,0.982,0.4805,-0.3918,9.5893,0.5073,-0.2969,8.84
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091830268047,3.7188,3.6967,-31.25,15.0625,-39.0625,31.7188,18.4062,-39.625,-0.0724,-0.0873,0.9935,-0.1544,-0.097,0.9832,0.4585,-0.4001,9.4353,0.5107,-0.3108,9.032
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091835273047,3.7206,3.7023,-31.3125,14.875,-39.0625,31.6406,18.25,-39.5938,-0.0667,-0.0698,0.9953,-0.1546,-0.0795,0.9848,0.4485,-0.4099,9.432,0.4895,-0.3193,8.8873
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091840272047,3.6931,3.671,-31.3125,14.9688,-38.9375,31.625,18.3125,-39.625,-0.056,-0.0727,0.9958,-0.1469,-0.0824,0.9857,0.4504,-0.4058,9.4076,0.4951,-0.3132,8.8831
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091845268047,3.6398,3.491,-31.3125,14.8125,-38.75,31.5938,18.0938,-39.125,-0.0502,-0.0561,0.9972,-0.1712,-0.0639,0.9832,0.4343,-0.4265,9.4588,0.4592,-0.3416,8.7933
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091850268047,3.829,3.5718,-31.125,14.875,-39.1875,31.7969,18.2812,-39.25,-0.0853,-0.0474,0.9952,-0.1703,-0.0581,0.9837,0.4373,-0.4097,9.3037,0.4895,-0.3313,9.0195
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091855268047,3.8878,3.8878,-30.9062,15.0,-39.1562,32.0625,18.2812,-39.5312,-0.0989,-0.0298,0.9946,-0.1858,-0.0395,0.9818,0.4231,-0.4141,9.1946,0.4905,-0.344,9.1709
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091860268047,3.9319,3.8584,-31.0,14.75,-39.0,31.9375,17.9688,-39.5625,-0.0795,0.0278,0.9964,-0.1753,0.0151,0.9844,0.356,-0.4543,8.8982,0.4084,-0.3999,8.8737
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091865275047,3.9172,3.7813,-31.0938,14.875,-39.3438,31.8906,17.8438,-39.9688,-0.0765,0.0571,0.9954,-0.1521,0.0444,0.9874,0.3789,-0.4624,9.2429,0.3772,-0.4485,9.0682
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091870268047,3.7629,3.8437,-31.125,15.0312,-39.0625,31.875,17.8125,-39.9375,-0.0481,0.0941,0.9944,-0.1536,0.0824,0.9847,0.3608,-0.4617,9.0343,0.353,-0.4568,8.893
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091875393047,3.739,3.6802,-31.0938,14.25,-39.125,31.8906,17.1562,-40.125,-0.058,0.1878,0.9805,-0.1394,0.1763,0.9744,0.2386,-0.5762,8.9783,0.2625,-0.5518,8.9628
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091880393047,3.7702,3.5332,-31.1875,14.125,-39.25,31.8125,17.0,-40.1875,-0.0491,0.2184,0.9746,-0.1385,0.207,0.9685,0.2186,-0.6074,9.1146,0.1891,-0.6016,8.7239
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091885393047,3.965,3.9356,-31.2188,14.2188,-39.4375,31.7969,17.1562,-40.1875,-0.0535,0.2422,0.9688,-0.1378,0.2299,0.9634,0.2019,-0.6094,8.9535,0.1714,-0.5786,8.2688
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091890393047,3.8511,3.818,-31.2188,13.9062,-39.375,31.7812,16.8125,-40.25,-0.0539,0.2771,0.9593,-0.1413,0.263,0.9544,0.1218,-0.647,8.5082,0.1101,-0.6509,8.4251
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091895393047,3.7996,3.5902,-31.25,13.9375,-39.1875,31.7188,17.0312,-39.7188,-0.0408,0.2761,0.9602,-0.1553,0.262,0.9525,0.1085,-0.6396,8.2789,0.1189,-0.6216,8.1852
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091900393047,3.7923,3.7151,-31.1875,13.8125,-38.9375,31.8125,16.75,-39.5625,-0.0407,0.2874,0.9569,-0.164,0.2743,0.9476,0.0803,-0.6567,8.1675,0.0815,-0.6655,8.282
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091905394047,3.75,3.7372,-31.4062,13.875,-38.875,31.5938,16.6875,-39.75,-0.022,0.2818,0.9592,-0.1382,0.2696,0.953,0.0896,-0.6431,8.1116,0.0645,-0.6455,7.866
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091910394047,3.7923,3.7463,-31.4062,13.7812,-38.9062,31.5625,16.75,-39.375,-0.0257,0.2846,0.9583,-0.1446,0.2733,0.951,0.075,-0.6509,8.0415,0.0809,-0.6587,8.1959
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091915400047,3.7996,3.75,-31.25,13.8125,-38.875,31.75,16.8125,-39.625,-0.036,0.2865,0.9574,-0.1548,0.2733,0.9494,0.0831,-0.6543,8.17,0.0884,-0.6426,8.0927
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091920393047,3.7114,3.649,-31.5625,14.1875,-39.1875,31.4375,17.125,-39.75,-0.0222,0.2602,0.9653,-0.125,0.2479,0.9607,0.1339,-0.6138,8.2598,0.1376,-0.6064,8.2162
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091925404047,3.6857,3.5498,-31.4062,14.0938,-39.0,31.5781,17.0312,-39.5625,-0.0259,0.2686,0.9629,-0.1425,0.2564,0.956,0.112,-0.6289,8.1937,0.1042,-0.6294,8.114
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091930401047,3.7445,3.6214,-31.4062,14.1875,-39.0625,31.5781,17.1875,-39.6875,-0.0288,0.2592,0.9654,-0.1372,0.2479,0.959,0.1184,-0.6206,8.1687,0.1271,-0.6104,8.1461
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091935394047,3.7996,3.6729,-31.5625,14.0,-39.2812,31.4219,16.9062,-40.0625,-0.0277,0.2733,0.9615,-0.1114,0.262,0.9586,0.1104,-0.666,8.6026,0.1157,-0.6367,8.3239
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091940394047,3.7996,3.6214,-31.375,14.2188,-38.875,31.5938,17.125,-39.4688,-0.0155,0.2649,0.9642,-0.1501,0.2526,0.9559,0.1165,-0.6362,8.327,0.1152,-0.6255,8.1892
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091945394047,3.7372,3.6379,-31.5312,14.0,-39.0,31.4375,16.875,-39.5,-0.0174,0.2771,0.9607,-0.1384,0.2658,0.954,0.0905,-0.665,8.3736,0.0928,-0.647,8.1911
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091950394047,3.6967,3.796,-31.5312,13.9062,-38.9375,31.4375,16.75,-39.5,-0.0145,0.2911,0.9566,-0.136,0.279,0.9506,0.0723,-0.6846,8.4011,0.0755,-0.6611,8.1654
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091955394047,3.7629,3.7078,-31.4062,14.0625,-39.0625,31.5781,16.8438,-39.7188,-0.0286,0.2808,0.9593,-0.128,0.2686,0.9547,0.0983,-0.6558,8.3527,0.0903,-0.6567,8.276
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091960394047,3.7372,3.6343,-31.2812,14.2188,-39.125,31.6562,17.1875,-39.0625,-0.0382,0.263,0.964,-0.1651,0.2498,0.9541,0.1147,-0.6255,8.1839,0.097,-0.6152,7.874
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091965394047,3.671,3.7133,-31.2812,14.0625,-39.0,31.7031,16.9375,-39.375,-0.0351,0.2818,0.9588,-0.1614,0.2705,0.9491,0.0921,-0.6577,8.3072,0.066,-0.6514,7.9493
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091970394047,3.7482,3.7629,-31.2812,14.2188,-39.0,31.7031,17.0312,-39.4688,-0.0381,0.2649,0.9635,-0.1622,0.2526,0.9539,0.1069,-0.6304,8.1545,0.0756,-0.6313,7.8247
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091975394047,3.8437,3.9172,-31.2812,14.4375,-39.0625,31.6875,17.2188,-39.5938,-0.0307,0.2488,0.9681,-0.1601,0.2356,0.9586,0.1271,-0.6187,8.241,0.1112,-0.5952,7.8001
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091980394047,3.7666,3.6508,-31.0938,14.0625,-39.0938,31.875,17.0,-39.6875,-0.0587,0.2733,0.9601,-0.1517,0.2602,0.9536,0.0844,-0.6606,8.2564,0.0912,-0.6406,8.1015
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091985394047,3.7923,3.6931,-31.5,14.3125,-39.375,31.4844,17.25,-39.5312,-0.0363,0.2554,0.9661,-0.1402,0.2431,0.9598,0.126,-0.6279,8.3352,0.0844,-0.6069,7.6407
29ffa145-e4f1-4ff6-a19c-9afe182fe94e,69a6c356-eb9b-4cf6-8f08-cdd2220414cc,1762169091990394047,3.7776,3.8952,-31.4062,14.0625,-39.0,31.5625,16.875,-39.625,-0.023,0.2771,0.9606,-0.1365,0.2667,0.9541,0.0801,-0.6655,8.266,0.0696,-0.6514,7.9885
